cluster,n_cells,percentage
Differentiated keratinocytes I,3100,20.34
Differentiated keratinocytes II,3010,19.75
Endothelial cells,370,2.43
Fibroblasts I,2069,13.57
Fibroblasts II,976,6.4
Immune,612,4.01
Melanocytes/melanocyte-like,467,3.06
Pericytes,623,4.09
Terminally differentiated keratinocytes,848,5.56
Undifferentiated keratinocytes I,2580,16.93
Undifferentiated keratinocytes II,588,3.86
