cluster,n_cells,percentage
b_memory,7,0.4
cd4_cm,228,13.17
cd4_naive,65,3.76
cd4_tem,57,3.29
cd4_temra,20,1.16
cd4_treg,75,4.33
cd4_trm,166,9.59
cd8_naive,27,1.56
cd8_tem,16,0.92
cd8_temra,7,0.4
cd8_trm,89,5.14
dc2,428,24.73
dc_migratory,141,8.15
ilc3,17,0.98
macrophage,320,18.49
mast_cell,52,3.0
nk_cd56br,6,0.35
nk_ilc_precursor,5,0.29
progenitor,5,0.29
