author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
b_memory,0.8261895,0.04869875,0.82935554,7
cd4_cm,-0.48694184,0.20005731,-0.50685227,228
cd4_naive,0.6153707,0.17256334,0.6676757,65
cd4_tem,-0.3067752,0.28782812,-0.14624183,57
cd4_temra,0.16864054,0.29075742,0.31838065,20
cd4_treg,-0.39987206,0.36660177,-0.4038239,75
cd4_trm,-0.28879026,0.38580957,-0.17456013,166
cd8_naive,-0.10945038,0.31594798,-0.0024149937,27
cd8_tem,-0.49851897,0.18832432,-0.53424335,16
cd8_temra,0.06856649,0.25960675,0.024628468,7
cd8_trm,0.076382965,0.309796,0.1901523,89
dc2,-0.011670468,0.22866072,0.006622047,428
dc_migratory,0.11233919,0.23135044,0.24222298,141
ilc3,0.26196125,0.5371682,0.56709164,17
macrophage,0.1265605,0.3229241,0.26215184,320
mast_cell,0.9051274,0.03537045,0.9212753,52
nk_cd56br,-0.16055427,0.34410766,0.00285458,6
nk_ilc_precursor,0.07076814,0.42164677,0.23092008,5
progenitor,-0.76416993,0.22715884,-0.90952843,5
