,Antigen presenting cell (RPS high),B cell (Plasmocyte),Dendritic cell,Endothelial cell (APC),Fibroblast,Macrophage,Mast cell,Monocyte,Smooth muscle cell,Stromal cell,T cell,Ventricle cardiomyocyte
NFKBIA,0.0,0.0,2.4650664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCOLCE2,0.0,0.0,0.0,0.0,2.9120603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARC,0.0,0.0,0.0,0.0,2.922842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGD2A,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFDN5,3.0618289,1.9329935,0.0,0.0,0.0,1.7516615,2.9063745,2.6147363,0.0,0.0,0.0,3.0341105
UBC,0.0,0.0,0.0,0.0,0.0,2.696737,2.7913861,2.958282,0.0,0.0,0.0,0.0
SAP18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515643
HLA-DRB5,0.0,0.0,3.1292977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMSB10,3.792878,0.0,2.478969,0.0,0.0,0.0,0.0,3.4874802,0.0,0.0,0.0,0.0
TPI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732705
HLA-A,3.1096535,0.0,0.0,2.5359092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMADHC,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPT1,3.2414207,0.0,3.1819913,2.9944983,0.0,3.5491512,2.7913861,2.4992857,0.0,0.0,0.0,3.0568652
RPS27,0.0,0.0,2.6852047,0.0,0.0,0.0,3.2440877,0.0,0.0,0.0,3.6005738,0.0
CCL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8329365,0.0
CRYAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6918879
GPX3,0.0,0.0,0.0,0.0,3.1793017,0.0,0.0,0.0,0.0,3.2948775,0.0,1.4821815
RPL41,3.0618289,1.9329935,2.6941612,0.0,0.0,0.0,3.223888,2.6858473,0.0,0.0,2.7026305,2.732705
RPS15,0.0,1.9329935,2.4650664,0.0,0.0,0.0,3.263232,2.1973777,0.0,0.0,2.6045308,0.0
DUSP1,3.2414207,1.9329935,3.1797805,2.1894403,0.0,3.1775749,0.0,2.7928934,0.0,0.0,0.0,0.0
RPL23A,0.0,2.454301,2.6285357,2.7071173,0.0,2.0946388,1.3288203,2.821292,2.8526244,2.743088,3.286169,3.1351743
RPL8,3.1096535,0.0,2.933516,0.0,0.0,0.0,0.0,0.0,0.0,2.2133873,0.0,2.732705
COX20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0596898
PSMB9,3.1096535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPGDS,0.0,0.0,0.0,0.0,0.0,0.0,1.2961677,0.0,0.0,0.0,0.0,0.0
HSPA5,0.0,0.0,0.0,0.0,0.95017856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYSL2,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS1,0.0,2.7891493,0.0,0.0,0.0,0.0,3.1324677,0.0,0.0,0.0,0.0,0.0
RTRAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
C7,0.0,0.0,0.0,0.0,2.8148162,0.0,0.0,0.0,0.0,3.0964522,0.0,0.0
SRP14,0.0,0.0,0.0,2.6826625,2.3461883,0.0,1.2961677,0.0,2.8476357,2.7595649,2.7435975,0.0
OST4,0.0,0.0,2.3816903,0.0,0.0,0.0,2.8960533,0.0,0.0,0.0,0.0,0.0
NKG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3286252,0.0
CALM2,3.1220112,0.0,0.0,0.0,0.0,0.0,2.8960533,0.0,3.0666957,0.0,0.0,0.0
RPS20,0.0,0.0,2.175479,2.662588,0.0,2.263916,2.994493,2.5597963,0.0,0.0,0.0,3.0341105
SNRPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
PRDX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0234036
RPL18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4821815
ELOB,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5184675
MRPL51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5412222
