,Antigen presenting cell (RPS high),B cell (Plasmocyte),Dendritic cell,Endothelial cell (APC),Fibroblast,Macrophage,Mast cell,Monocyte,Smooth muscle cell,Stromal cell,T cell,Ventricle cardiomyocyte
RPL13A,0.0,0.27970578453757544,0.32853361151435156,0.3104157231070779,0.0,0.2727272727272727,0.33440658721056854,0.2771147706291892,0.0,0.31486903537403454,0.3172291571443731,0.3447656848213889
RPL7,0.5531029051000421,0.4080117778344588,0.38498744097622956,0.0,0.0,0.37848237427798187,0.4796354282986034,0.4101295904679732,0.0,0.36363636363636365,0.3706095272844488,0.0
CD52,0.8723150491714478,0.0,0.0,0.0,0.0,0.0,0.0,0.8289435397494923,0.0,0.0,0.8181818181818182,0.0
LAPTM5,0.0,0.0,0.7816255526109175,0.0,0.0,0.7641209038821134,0.7272727272727273,0.7903950322758068,0.0,0.0,0.0,0.0
IFITM1,0.0,0.0,0.0,0.9168983481147073,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0
PMP22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFAP4,0.0,0.0,0.0,0.0,0.9170701557939703,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0
MYL12A,0.0,0.5824099291454662,0.0,0.6247983033006842,0.0,0.0,0.5454545454545454,0.5924206917936151,0.0,0.0,0.6660099463029341,0.6040471250360663
FOSB,0.0,0.0,0.0,0.0,0.0,0.0,0.965903721072457,0.0,0.0,0.0,0.0,0.9090909090909091
UBA52,0.0,0.0,0.9535621458833868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091
ANXA5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EFEMP1,0.0,0.0,0.0,0.0,0.9262771823189475,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0
RPL30,0.3024806434457952,0.18181818181818182,0.23110564730384134,0.237762835892764,0.20377529209310358,0.1962102001363581,0.282110485163602,0.2148832462050698,0.0,0.18515119769356467,0.2529965747486461,0.0
C1R,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.9095863212238658,0.0,0.0
ITM2B,0.7669249068606984,0.0,0.0,0.0,0.7354102080518549,0.7272727272727273,0.0,0.0,0.0,0.7445358037948608,0.0,0.0
ITM2C,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
