author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
CD4T,0.49329556356997983,0.20005069551283616,0.5731849623644502,7178
NK/NKT,0.5040497699484981,0.18252966144053367,0.5588094254465175,5679
CD8T,0.3275411361664504,0.2216184762542475,0.36072480719294664,2599
AT1,0.6267229614674106,0.17119424163834365,0.7121604239088787,335
AT2,0.5027653409893384,0.20185558356674405,0.5681050717515195,1296
Club/Basal,0.5429617486551185,0.1446645256825619,0.5734040707057158,134
Cilia,0.5612729878287898,0.18725406453717908,0.6157548051056438,1054
Artery_cell,0.6742646734433859,0.14030758771352833,0.7270582642678606,587
Vein_cell,0.625781457102226,0.17915332218369112,0.6961068977280388,1186
Capillary_Cell,0.16951240010669286,0.22404944926310608,0.24173568104413248,4401
Lymphatic_Cell,0.943839352737071,0.020264344630267588,0.9508199340188039,137
SM/Pericyte,0.4871743951083947,0.19870263587804,0.5187247507900692,836
Fibroblast,0.1014845078744773,0.3282773526357197,0.20658447452864587,2281
Mono,0.42761387523450595,0.19497670716303206,0.471991373033465,1789
Macrophage,0.44746469814256046,0.22571646236935017,0.5167324300749983,2287
DC1,0.0033378328850920624,0.24235340617467263,0.009974742569624506,1191
DC2,0.7301549955331215,0.13098680710695337,0.7775291770192186,485
Neutrophil,0.7359602900022519,0.23554361095016182,0.7899650210000317,357
Prolif.immune,0.6727593165222358,0.23979910810126606,0.7422410698421397,191
Mast_cell,0.7457399883426213,0.09903430242110546,0.7680303325151476,1220
B_cell,0.7123193207122555,0.15689821093390097,0.7657576850558008,367
Plasma_cell,0.7349471005531907,0.1501104260935409,0.7852243796586759,209
