cluster,count
b_memory,145197
cd8_trm,127126
macrophage,124931
cd4_cm,121625
b_naive,100350
cd4_naive,86909
monocyte_classical,84946
nk_cd56dim,80243
cd4_trm,77749
cd8_naive,40444
cd4_tem,34790
cd4_treg,34620
cd8_temra,33694
nk_cd56br,25864
cd8_tem,25315
plasma_cell,17897
mast_cell,17255
cd3_gd,16984
progenitor,13406
nk_ilc_precursor,11823
monocyte_nonclassical,11650
ilc1,10131
cd4_temra,8888
plasmablast,8739
cd8_mait,5174
ilc3,4661
cd8_cm,3953
dc2,3180
pdc,1045
b_gc,936
dc_migratory,794
b_age,657
dc1,523
