cluster,count
Tem/Trm cytotoxic T cells,39056
Periportal hepatocytes,34031
Pericentral hepatocytes,27012
MAIT cells,25463
Classical monocytes,18034
Tem/Temra cytotoxic T cells,12662
CD16+ NK cells,11831
CD16- NK cells,11492
Non-classical monocytes,11186
Central venous LSECs,10747
Interzonal hepatocytes,10200
Inflammatory macrophages,8426
CD4 T cells,5879
Immune mix,4861
Non-inflammatory macrophages,3976
Cholangiocytes,3631
Macrophages,3510
Neutrophils,3002
B cells,2513
Stellate cells,1997
Plasma cells,1994
DC2,1308
NK cells,1248
Fibroblasts,1248
DC1,1216
pDC,1213
Periportal LSECs,1153
Portal endothelial cells,747
Migratory DCs,42
