,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
RPL13A,0.0,0.10454422980546951,0.020067676901817322,0.048095621168613434,0.13149525225162506,0.012546665966510773,0.016995348036289215,0.10077201575040817,0.11851364374160767
RPL7,0.0,0.08811485767364502,0.019004955887794495,0.15160926431417465,0.11720477789640427,0.0020783618092536926,0.03836436569690704,0.08136957883834839,0.07655368000268936
LAPTM5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IFITM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SCG5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MYL12A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H2AZ1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA52,0.5159546658396721,0.0,0.375,0.5228096768260002,0.0,0.0,0.5212977379560471,0.4020923152565956,0.47483260184526443
COL6A3,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.8856586366891861
ANXA5,0.0,0.0,0.0,0.8857700601220131,0.0,0.0,0.875,0.0,0.0
RPL30,0.13649192452430725,0.0,0.0965123251080513,0.06378445029258728,0.15079787373542786,0.06000153720378876,0.08009615540504456,0.11072711646556854,0.16575587540864944
C1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ITM2B,0.0,0.875,0.9575229734182358,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.625,0.0,0.0,0.7450697347521782,0.0,0.0,0.7260143607854843,0.0,0.7002129554748535
HLA-B,0.0,0.875,0.8952792137861252,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP7,0.0,0.6415359377861023,0.6805367991328239,0.625,0.0,0.0,0.0,0.0,0.6619752570986748
GATM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FGL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COL1A2,0.0,0.0,0.0,0.8880437463521957,0.0,0.0,0.0,0.0,0.875
RPL26,0.25,0.30098357051610947,0.2634618952870369,0.0,0.28918231278657913,0.0,0.2545939162373543,0.2529332563281059,0.2574258893728256
RPS27A,0.0,0.047074347734451294,0.003727070987224579,0.07714132219552994,0.1058056578040123,0.043811455368995667,0.017119668424129486,0.047198496758937836,0.03640128672122955
RPS27L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SERF2,0.0,0.1590314283967018,0.14915648847818375,0.2656862363219261,0.12372793257236481,0.09949013590812683,0.13512961566448212,0.030590370297431946,0.21596547961235046
ENSG00000211592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,0.0,0.25,0.31117478013038635,0.31678860634565353,0.394615076482296,0.0,0.30877073109149933,0.37665416300296783,0.3414827883243561
MSN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS3,0.0,0.11437082290649414,0.05138019472360611,0.0545443594455719,0.16305262595415115,0.06979642063379288,0.06253632158041,0.11371253430843353,0.1260741576552391
CD74,0.625,0.6931830942630768,0.7097116634249687,0.0,0.0,0.0,0.7012831121683121,0.0,0.0
MORF4L1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF1,0.8798560872673988,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
PRSS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SRGN,0.8497288525104523,0.0,0.75,0.0,0.0,0.0,0.7997768819332123,0.0,0.0
COL15A1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GNG5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1,0.03865862637758255,0.05544094741344452,0.03264187276363373,0.10428576916456223,0.0269479900598526,0.0,0.03178658336400986,0.017076529562473297,0.08559709042310715
MYL12B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RPS5,0.625,0.0,0.0,0.0,0.7002108246088028,0.0,0.0,0.6978033855557442,0.6945978552103043
CHGA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RPSA,0.625,0.0,0.0,0.0,0.6934598535299301,0.0,0.0,0.6870944127440453,0.6853203102946281
ISG20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H3-3B,0.6376160830259323,0.6608647629618645,0.0,0.0,0.0,0.0,0.625,0.0,0.6432680711150169
LGALS1,0.0,0.0,0.0,0.7848980948328972,0.0,0.0,0.75,0.0,0.7671013996005058
PSMA4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPX1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP5MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CFL1,0.375,0.4893907755613327,0.4578392803668976,0.5174058973789215,0.0,0.0,0.4694923385977745,0.0,0.4521730989217758
ZFAS1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ACTG1,0.0,0.0,0.75,0.8142018914222717,0.0,0.0,0.0,0.0,0.8060747683048248
SELENOF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL36,0.0,0.06190391629934311,0.12028971314430237,0.021267123520374298,0.14583620429039001,0.009117551147937775,0.025051534175872803,0.11009816080331802,0.10774798691272736
JUN,0.0,0.0,0.8871515616774559,0.0,0.0,0.0,0.0,0.0,0.875
ADGRL4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS21,0.0,0.40309305489063263,0.0,0.38897811621427536,0.397515207529068,0.0,0.40726248174905777,0.375,0.37547510862350464
VWF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL28,0.22412723302841187,0.17465098202228546,0.1614026501774788,0.17972585558891296,0.16373302042484283,0.0,0.13446254283189774,0.125,0.14341449737548828
