clusterName,gene
B cell (Plasmocyte),ENSG00000170476
Fetal endocrine cell,ENSG00000166922
Enterocyte progenitor,ENSG00000291237
Pancreas exocrine cell,ENSG00000204983
Endothelial cell (APC),ENSG00000174640
Endothelial cell (APC),ENSG00000213088
Endothelial cell,ENSG00000183291
Endothelial cell,ENSG00000163513
Endothelial cell (endothelial to mesenchymal transition),ENSG00000168374
Endothelial cell (endothelial to mesenchymal transition),ENSG00000108821
Stromal cell,ENSG00000132386
Stromal cell,ENSG00000189058
Macrophage,ENSG00000196154
