,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
COL15A1,0.0,0.0,3.007234,0.0,0.0,0.0,0.0,0.0,0.0
GNG5,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1,3.8253143,3.9177437,3.7864594,4.152271,3.7269998,3.0814714,3.7795427,3.569047,4.067406
MYL12B,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
RPS5,1.1768202,0.0,0.0,0.0,2.7249184,0.0,0.0,2.7032104,2.6551776
CHGA,0.0,0.0,0.0,0.0,0.0,3.1180224,0.0,0.0,0.0
RPSA,1.3551934,0.0,0.0,0.0,2.6986742,0.0,0.0,2.643775,2.6190474
ISG20,1.5091199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3588278
H3-3B,2.9302673,3.157488,0.0,0.0,0.0,0.0,2.6345193,0.0,3.001737
LGALS1,0.0,0.0,0.0,3.9693112,0.0,0.0,3.1644506,0.0,3.6660006
PSMA4,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPX1,0.0,0.0,0.0,0.0,0.0,0.0,2.7581758,0.0,0.0
ATP5MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
CFL1,1.0408161,3.0804744,2.8124762,3.2592993,0.0,0.0,2.9293141,0.0,2.7202682
ZFAS1,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ACTG1,0.0,0.0,1.499961,2.8392575,0.0,0.0,0.0,0.0,2.7202682
SELENOF,0.0,1.2961677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRA,0.0,0.0,1.8414267,0.0,0.0,0.0,0.0,0.0,0.0
RPL36,2.4940798,3.1047578,3.4381561,2.8332133,3.540985,2.6903124,2.8638523,3.3923461,3.3799326
JUN,0.0,0.0,2.7581856,0.0,0.0,0.0,0.0,0.0,2.4900556
ADGRL4,0.0,0.0,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
RPS21,0.0,2.7105267,0.0,2.615516,2.678863,0.0,2.729593,2.4645743,2.4739776
VWF,0.0,0.0,2.776636,0.0,0.0,0.0,0.0,0.0,0.0
RPL28,3.008175,2.8247247,2.7581856,2.8453426,2.7721202,0.0,2.5215757,2.3306916,2.6190474
COX7C,0.0,1.4469839,2.6230612,0.0,2.5653193,2.2116718,2.7992365,0.0,2.3273454
UQCRH,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524212
ATP5IF1,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8035953
EMP3,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL9,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ATP5PF,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI27,0.0,0.0,2.6272116,0.0,0.0,0.0,0.0,0.0,0.0
