cluster,n_cells,percentage
B cell (Plasmocyte),6,0.06
Endothelial cell,20,0.21
Endothelial cell (APC),12,0.12
Endothelial cell (endothelial to mesenchymal transition),9,0.09
Enterocyte progenitor,3784,38.97
Fetal endocrine cell,124,1.28
Macrophage,147,1.51
Pancreas exocrine cell,5566,57.32
Stromal cell,43,0.44
