,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
ENSG00000100764,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198668,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.29132716795977426,0.4789150742923512,0.4789150742923512,0.29132716795977426,0.6502541864619535,0.29132716795977426,0.29132716795977426,0.29132716795977426,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
ENSG00000183648,0.0,0.0,0.0,0.0,0.6470588235294118,0.7773189053815954,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000089737,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165949,0.0,0.0,0.9594834271599265,0.0,0.0,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000119632,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090060,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.7647058823529411,0.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000080824,0.021710013642030603,0.1828513916801004,0.021710013642030603,0.1828513916801004,0.24205835777170517,0.4605070808354546,0.1828513916801004,0.1828513916801004,0.021710013642030603,0.3841069130336537,0.4062489762025721,0.021710013642030603,0.021710013642030603,0.021710013642030603,0.24205835777170517,0.021710013642030603,0.021710013642030603,0.0
ENSG00000100664,0.0,0.0,0.0,0.0,0.6470588235294118,0.7773189053815954,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
