,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
ENSG00000101182,0.0,0.0,0.6931472,0.6931472,0.6931472,1.7917595,1.3862944,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0
ENSG00000130706,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171858,1.0986123,1.3862944,1.3862944,1.3862944,2.0794415,2.6390574,2.1972246,2.0794415,0.6931472,1.9459102,2.0794415,1.0986123,0.0,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472
ENSG00000101193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125534,0.0,0.0,0.6931472,0.0,1.609438,1.609438,2.0794415,1.0986123,3.4011974,2.3025851,2.3978953,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0
ENSG00000101213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172270,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0
ENSG00000070423,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011304,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4011974,0.0,0.0
ENSG00000099817,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167468,0.0,0.0,0.6931472,0.6931472,1.3862944,1.3862944,0.6931472,1.3862944,0.0,1.609438,1.3862944,0.6931472,0.6931472,0.6931472,0.0,1.0986123,0.0,0.0
ENSG00000099624,0.0,0.0,0.6931472,0.6931472,1.0986123,1.9459102,1.609438,1.0986123,0.0,1.0986123,1.3862944,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0
ENSG00000167470,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099622,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.0,1.0986123,1.0986123,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0
ENSG00000228300,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115286,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115268,1.9459102,2.1972246,2.4849067,2.4849067,3.1354942,3.7612002,3.4011974,3.4011974,2.1972246,3.0445225,3.3672957,2.1972246,1.3862944,1.7917595,1.609438,2.3978953,2.0794415,1.609438
ENSG00000127540,0.0,0.0,0.6931472,0.6931472,0.6931472,1.3862944,1.3862944,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0
ENSG00000099875,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104904,0.6931472,1.0986123,0.6931472,1.7917595,1.3862944,2.1972246,1.7917595,1.3862944,1.9459102,1.7917595,1.9459102,1.3862944,0.89587975,1.3862944,0.6931472,1.3862944,0.6931472,0.6931472
