,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ENSG00000117691,0.0,0.7471559,0.0,0.0,0.0,0.0
ENSG00000162772,0.0,0.0,0.0,1.0256505,0.0,0.0
ENSG00000143742,0.0,0.9077075,0.0,0.0,0.0,0.0
ENSG00000143819,0.0,0.5275827,0.0,0.0,0.0,0.0
ENSG00000163041,2.242947,2.3913753,2.4997485,3.0511734,2.33658,3.1062503
ENSG00000143761,0.0,1.2868143,1.1038395,0.95863104,0.9865948,0.0
ENSG00000143774,0.0,1.1291175,1.2967674,0.9164866,0.0,0.0
ENSG00000135744,0.0,0.0,0.0,0.0,2.2363873,0.0
ENSG00000168264,0.0,0.0,0.0,0.5074707,0.0,0.0
ENSG00000173726,0.0,0.0,0.0,0.75609595,0.0,0.0
ENSG00000143669,0.0,0.0,0.0,0.67243767,0.0,0.0
ENSG00000153187,0.0,0.7601948,1.1038395,1.7315073,0.0,0.0
ENSG00000182551,0.0,1.2129843,0.0,0.0,0.0,0.0
ENSG00000171863,2.5474977,2.2654624,3.185794,2.6401792,2.8053448,0.0
ENSG00000115738,0.0,0.0,1.5889567,1.0832522,0.0,0.0
ENSG00000134308,0.0,0.9315582,0.0,0.0,0.813858,0.0
ENSG00000143870,0.0,0.9731857,0.0,0.0,0.0,0.0
ENSG00000068697,0.84515274,2.4700055,0.0,1.0374429,1.6745725,0.0
ENSG00000143878,0.0,0.0,0.0,0.0,1.6226885,0.0
ENSG00000115128,0.0,0.7984955,0.0,0.0,0.0,0.0
ENSG00000084733,0.0,0.0,0.0,0.6244151,0.0,0.0
ENSG00000084754,0.0,0.0,0.0,0.53093743,0.0,0.0
ENSG00000228474,0.0,1.187046,1.3743395,0.9943077,0.9085021,0.0
ENSG00000138085,0.0,1.2200891,0.0,0.0,0.0,0.0
ENSG00000075426,0.0,0.0,0.0,0.8016511,0.0,0.0
ENSG00000213639,0.0,0.8801384,0.0,0.96677876,0.0,0.0
ENSG00000049323,0.0,1.6208956,0.0,0.0,0.0,0.0
ENSG00000205221,0.0,0.87602913,0.0,0.0,0.0,0.0
ENSG00000115875,0.0,0.900102,1.665819,0.8908476,0.8224904,0.0
ENSG00000152518,0.0,1.7971967,2.453208,1.4451132,0.0,0.0
ENSG00000116016,2.090512,0.0,0.0,0.0,0.90331984,0.0
ENSG00000143933,1.30425,2.1574621,1.7418859,2.204547,2.7171822,0.0
ENSG00000115306,2.1343517,1.9655356,0.0,0.0,0.0,0.0
ENSG00000115310,0.0,1.8414981,0.0,1.4010617,0.8758656,0.0
ENSG00000143947,2.8883438,2.702074,3.9098752,3.2430828,2.8408916,2.833282
ENSG00000115355,0.0,0.0,0.0,0.69930387,0.0,0.0
ENSG00000115380,0.0,1.7769151,0.0,0.0,0.0,0.0
ENSG00000162924,0.0,0.0,0.0,1.2237766,0.0,0.0
ENSG00000138071,0.0,0.0,0.0,1.5227976,0.0,0.0
ENSG00000115956,0.0,0.0,0.0,1.3184607,0.0,0.0
ENSG00000196975,0.0,1.043242,0.0,0.0,0.0,0.0
ENSG00000169564,0.0,0.0,0.0,1.4581223,0.0,0.0
ENSG00000143977,0.0,0.0,0.0,0.39318842,0.0,0.0
ENSG00000114978,0.0,0.0,0.0,0.9832314,0.0,0.0
ENSG00000065911,0.0,0.0,0.0,0.0,1.1521438,0.0
ENSG00000034510,3.630034,2.4327016,3.4788322,3.6115158,1.3296468,2.1635137
ENSG00000152291,0.0,0.0,0.0,0.76174474,0.0,0.0
ENSG00000168906,0.0,0.0,0.0,0.9677906,0.0,0.0
ENSG00000118640,0.0,0.0,0.0,1.2623391,0.0,0.0
ENSG00000115523,0.0,0.0,3.643079,0.0,0.0,0.0
ENSG00000158050,0.0,0.0,1.8532752,1.35615,0.0,0.0
ENSG00000135940,0.0,1.1034354,0.0,1.0531672,1.8544104,0.0
ENSG00000071082,0.0,1.0728266,1.817854,1.5422788,0.0,0.0
ENSG00000163162,0.0,0.0,0.0,0.9797629,0.0,0.0
ENSG00000169756,0.0,0.0,0.0,1.2098396,0.0,0.0
ENSG00000125538,0.0,0.0,0.0,3.6362877,0.0,0.0
ENSG00000115091,0.0,0.0,1.2570653,1.2734778,0.0,0.0
ENSG00000155368,0.0,1.1659495,1.1424607,0.77634007,0.0,0.0
ENSG00000152082,0.0,0.80268615,0.0,0.0,0.0,0.0
ENSG00000144224,0.0,0.8503571,0.0,0.0,0.0,0.0
ENSG00000121966,0.0,0.0,2.3723814,0.70206547,0.0,0.0
ENSG00000115919,0.0,0.0,0.0,0.7847989,0.0,0.0
ENSG00000169554,0.0,0.0,0.0,1.6506383,0.0,0.0
ENSG00000196504,0.0,0.0,0.0,0.6550069,0.0,0.0
ENSG00000153234,0.0,0.0,1.6338791,1.7122338,0.0,0.0
ENSG00000115165,0.0,0.0,1.2440813,0.8027211,0.0,0.0
ENSG00000241399,0.0,0.0,0.0,0.9531059,0.0,0.0
ENSG00000153250,0.0,0.94770366,0.0,0.0,0.0,0.0
ENSG00000136560,0.0,0.0,0.0,0.57550645,0.0,0.0
ENSG00000115271,0.0,0.0,0.0,0.51351804,0.0,0.0
ENSG00000136546,0.0,1.5850896,0.0,0.0,0.0,0.0
ENSG00000138385,0.0,0.56672513,0.0,0.0,0.0,0.0
ENSG00000071967,0.0,1.5878717,0.0,0.0,0.0,0.0
ENSG00000091436,0.0,0.0,0.0,0.0,1.3606049,0.0
ENSG00000154518,0.0,0.9794771,0.0,0.89241844,1.4496397,0.0
ENSG00000170144,0.0,1.0367962,1.3636297,1.174187,0.75266504,0.0
ENSG00000116044,0.0,1.4136429,0.0,1.6732526,0.0,0.0
ENSG00000003436,0.0,1.4616114,0.0,0.0,0.0,0.0
ENSG00000168542,0.0,1.5445701,0.0,0.0,0.0,0.0
ENSG00000115419,0.0,0.0,0.0,0.653883,0.0,0.0
ENSG00000173559,0.0,0.0,0.0,1.2067512,0.0,0.0
ENSG00000168497,1.7024447,0.0,0.0,0.0,0.0,0.0
ENSG00000081320,0.0,0.0,0.0,0.91246784,0.0,0.0
ENSG00000115524,0.0,0.6640709,0.0,0.8623573,0.0,0.0
ENSG00000144381,0.0,0.0,0.0,0.83274835,0.0,0.0
ENSG00000115541,0.0,0.0,1.2959955,1.0549028,0.0,0.0
ENSG00000082153,0.0,1.0768298,1.3580245,0.90014553,0.0,0.0
ENSG00000013441,0.0,0.0,0.0,0.59779,0.0,0.0
ENSG00000003402,0.0,0.0,0.0,1.3569529,0.0,0.0
ENSG00000114942,0.0,1.2416257,2.2641735,1.9591753,1.0534104,0.0
ENSG00000115414,0.0,3.012204,0.0,0.0,0.0,0.0
ENSG00000079246,0.0,0.0,0.0,0.5424875,0.0,0.0
ENSG00000197756,2.4829838,2.3155756,2.9987137,2.7982135,2.6327198,0.0
ENSG00000115461,0.0,0.0,0.0,0.0,2.5940526,0.0
ENSG00000163466,0.0,1.227629,2.3532095,2.1174207,1.0948929,0.0
