cluster,count
None,45246
Multiciliated (non-nasal),17805
4_Basal resting,10664
4_Suprabasal,5050
Unknown,4618
Club (non-nasal),3275
4_CD8 T cells,2418
SMG serous (bronchial),1614
4_EC venous systemic,1085
4_CD4 T cells,701
4_DC2,465
Goblet (nasal),398
Goblet (bronchial),329
4_SMG mucous,303
3_Mast cells,261
4_Peribronchial fibroblasts,245
2_Smooth muscle,235
4_Classical monocytes,227
4_Alveolar macrophages,192
4_B cells,161
4_SMG duct,160
4_Plasma cells,135
4_Ionocyte,120
Club (nasal),106
4_Deuterosomal,99
4_NK cells,94
3_Fibromyocytes,85
Interstitial Mφ perivascular,73
4_Non-classical monocytes,60
3_EC arterial,40
Monocyte-derived Mφ,27
Alveolar Mφ CCL3+,25
4_Neuroendocrine,25
Goblet (subsegmental),24
4_Tuft,15
4_EC venous pulmonary,15
4_Plasmacytoid DCs,14
Multiciliated (nasal),13
4_Alveolar fibroblasts,9
4_EC general capillary,8
4_Adventitial fibroblasts,7
3_Lymphatic EC mature,7
4_T cells proliferating,6
4_Pericytes,6
Alveolar Mφ proliferating,5
SMG serous (nasal),5
4_Migratory DCs,2
4_DC1,1
4_EC aerocyte capillary,1
