clusterName,gene
NK-like,ENSG00000187118
NK-like,ENSG00000134545
abT cell,ENSG00000167286
abT cell,ENSG00000277734
B cell,ENSG00000105369
B cell,ENSG00000156738
Plasma,ENSG00000099958
Plasma,ENSG00000048462
gdT cell 2,ENSG00000148773
gdT cell 2,ENSG00000131747
Hepatocyte,ENSG00000091513
Hepatocyte,ENSG00000091583
Cholangiocyte,ENSG00000135480
Cholangiocyte,ENSG00000137731
Stellate,ENSG00000168542
Stellate,ENSG00000101335
LSEC 1,ENSG00000152583
LSEC 1,ENSG00000111341
Portal endothelial,ENSG00000146374
Portal endothelial,ENSG00000241644
Non-inflammatory Macs,ENSG00000162692
Non-inflammatory Macs,ENSG00000019169
Inflammatory Macs,ENSG00000257764
Inflammatory Macs,ENSG00000090382
Erythroid,ENSG00000206172
Erythroid,ENSG00000147454
Erythroid,ENSG00000004939
Erythroid,ENSG00000169877
gdT cell 1,ENSG00000115523
gdT cell 1,ENSG00000137441
