,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
ENSG00000175756,0.0,0.3104879,0.0,0.8406787,0.0,0.0,0.0,0.0,0.0,0.6294845,0.0,0.0,0.0,0.0,0.81956446
ENSG00000242485,0.0,0.22719859,0.0,0.8128328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53461474,0.0,0.0,0.40182418
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40203956,0.0,0.0,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13601094,0.0,0.0,0.0
ENSG00000235169,0.0,0.0,0.9835929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,3.6226017,1.9022411,0.0,2.4999385,2.9479818,2.504037,2.044481,2.6425595,2.582938,2.893299,2.4040942,1.9378474,2.943529,2.652441,2.7637112
ENSG00000116288,0.0,0.5766458,0.0,0.6705463,0.0,0.0,0.0,0.0,0.0,0.8464927,0.0,0.81039846,0.0,0.0,1.0588393
ENSG00000116285,0.0,0.0,0.0,1.5517359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34288204,0.0,0.0,0.0
ENSG00000074800,0.0,0.5689352,0.0,0.70345336,0.9011665,0.0,0.0,0.0,0.0,0.0,0.0,0.49659634,0.0,0.0,1.2398664
ENSG00000162444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5564985,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009724,0.0,0.0,0.0,1.4538631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93448097,0.0
ENSG00000159423,0.0,0.0,0.0,0.92794365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,0.0,0.46897304,0.0,0.0,0.0,0.38720658,0.0,0.0,0.49659634,0.0,0.0,0.35864192
ENSG00000173436,0.0,0.6300651,0.0,0.6651037,0.0,0.0,0.0,0.0,0.4449246,0.0,0.0,0.53794724,0.0,0.0,0.78750336
ENSG00000162545,0.0,0.22719859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142798,0.0,0.0,0.0,0.0,0.0,1.3490851,1.1107814,0.0,0.0,0.0,1.6980281,0.31760412,0.0,0.0,0.0
ENSG00000070831,0.0,0.5680352,0.0,0.0,1.3373585,0.68267745,0.0,1.2017603,1.4450626,0.0,0.7129686,0.73188835,1.011354,1.3329307,1.0034003
ENSG00000173372,0.0,0.0,0.0,0.0,3.0535197,0.0,0.0,0.0,4.6243544,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,1.1432836,0.0,0.0,0.0,3.1170282,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,2.5643768,0.0,0.0,0.0,4.3647375,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.0,0.0,0.0,0.0,2.5083184,1.522283,0.0,0.0,0.0,2.2681656,1.4036031,0.0,0.0,0.0
ENSG00000142676,5.1459093,3.0955324,3.6325953,3.5981293,4.26859,3.67514,2.888512,3.8803415,3.2888675,4.1569023,3.4501042,3.428284,4.4149,3.8838565,3.8673453
ENSG00000179163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25154144,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.0,0.15067512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139544,0.0,0.0,0.6250845
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911946,0.0,0.0,0.0
ENSG00000117614,0.0,0.24344587,0.0,0.0,0.0,0.31972128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188672,0.0,0.0,3.1761863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5252717
ENSG00000142669,1.4511783,0.39971802,0.0,0.0,3.0180163,0.8274767,0.39134917,1.1836648,1.7635057,0.0,0.7036906,0.6848116,2.0972333,2.4031348,0.87270856
ENSG00000169442,3.1186981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8657368,0.0,0.0
ENSG00000198830,0.0,0.3491585,0.0,0.0,0.58889633,0.0,0.0,0.65867734,0.69176567,0.7229858,0.0,0.34802738,0.0,0.0,2.5369601
ENSG00000090273,0.0,0.0,0.0,1.3989342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25085145,0.0,0.0,0.0
ENSG00000142748,0.0,0.0,0.0,0.0,0.0,0.0,3.9489684,0.0,0.0,0.0,1.7701888,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.0,0.0,0.0,0.0,0.38111824,0.0,0.0,0.5479373,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130770,0.0,0.8496013,0.0,1.9320679,0.0,0.44089657,0.0,0.7218544,0.0,0.83553827,0.36807245,0.6036433,0.0,0.0,1.2555506
ENSG00000162511,2.0669737,0.0,0.0,0.0,2.0845418,0.0,0.0,0.0,1.6859183,0.0,0.0,0.0,1.0334976,1.0843925,0.0
ENSG00000162512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772662,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142910,0.0,0.0,0.0,0.0,0.0,0.7884364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31760412,0.0,0.0,0.0
ENSG00000183615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5702424,0.0,0.0,0.0,0.0
ENSG00000182866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74157244,0.0,0.0
ENSG00000175130,0.0,0.0,0.0,0.0,0.0,0.23348688,1.3431247,0.0,0.0,0.0,0.78841364,0.42409784,0.0,0.0,0.0
ENSG00000116560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34682858
ENSG00000126067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4759997
ENSG00000054118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31000897,0.0,0.0,0.0
ENSG00000197982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24623597,0.0,0.0,0.0
ENSG00000168653,0.0,0.90987206,0.0,1.4152191,0.5498356,0.6466378,0.0,0.0,0.0,1.1237324,0.702101,1.3359305,0.0,0.0,0.93270504
ENSG00000090621,0.0,0.0,0.0,0.0,0.64995646,0.0,0.0,0.0,1.3254049,0.0,0.0,0.0,0.0,0.0,0.16897595
ENSG00000168389,0.0,0.0,0.0,0.18139598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131236,0.0,0.0,0.0,0.0,0.73170584,0.0,0.0,0.0,1.1099107,0.0,0.0,0.114840515,0.0,0.0,0.0
ENSG00000131238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0191121,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599476,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065978,1.6826978,0.9476315,5.017799,1.1486362,2.2075481,1.1606474,0.90263623,1.3629811,2.7570374,1.6159427,1.1086817,1.3311574,1.5925674,1.652392,2.0990381
ENSG00000117394,0.0,0.0,3.780569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117410,0.0,0.0,0.0,0.0,0.7537445,0.0,0.0,0.0,0.14843045,0.0,0.0,0.0,0.0,0.0,0.46663812
ENSG00000142937,5.1547422,2.9631891,3.339458,3.0935562,4.132386,3.8950484,2.7872298,3.850972,3.462925,4.5433955,3.782495,3.450539,4.191297,3.6505008,4.1766644
ENSG00000126088,0.0,0.0,2.4489255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117450,0.0,0.90431213,0.40685728,1.7372108,0.35512358,0.83209133,0.58011895,0.0,0.97355473,0.6526997,1.1174097,0.7335197,0.0,0.0,1.0192312
