,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
RPL11,5.1459093,3.0955324,3.6325953,3.5981293,4.26859,3.67514,2.888512,3.8803415,3.2888675,4.1569023,3.4501042,3.428284,4.4149,3.8838565,3.8673453
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25154144,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.15067512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139544,0.0,0.0,0.6250845
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911946,0.0,0.0,0.0
SYF2,0.0,0.24344587,0.0,0.0,0.0,0.31972128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHCE,0.0,0.0,3.1761863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5252717
SH3BGRL3,1.4511783,0.39971802,0.0,0.0,3.0180163,0.8274767,0.39134917,1.1836648,1.7635057,0.0,0.7036906,0.6848116,2.0972333,2.4031348,0.87270856
CD52,3.1186981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8657368,0.0,0.0
HMGN2,0.0,0.3491585,0.0,0.0,0.58889633,0.0,0.0,0.65867734,0.69176567,0.7229858,0.0,0.34802738,0.0,0.0,2.5369601
NUDC,0.0,0.0,0.0,1.3989342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25085145,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,0.0,0.0,3.9489684,0.0,0.0,0.0,1.7701888,0.0,0.0,0.0,0.0
WASF2,0.0,0.0,0.0,0.0,0.0,0.38111824,0.0,0.0,0.5479373,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,0.0,0.8496013,0.0,1.9320679,0.0,0.44089657,0.0,0.7218544,0.0,0.83553827,0.36807245,0.6036433,0.0,0.0,1.2555506
LAPTM5,2.0669737,0.0,0.0,0.0,2.0845418,0.0,0.0,0.0,1.6859183,0.0,0.0,0.0,1.0334976,1.0843925,0.0
SDC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772662,0.0,0.0,0.0,0.0,0.0,0.0
TINAGL1,0.0,0.0,0.0,0.0,0.0,0.7884364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31760412,0.0,0.0,0.0
FAM167B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5702424,0.0,0.0,0.0,0.0
LCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74157244,0.0,0.0
MARCKSL1,0.0,0.0,0.0,0.0,0.0,0.23348688,1.3431247,0.0,0.0,0.0,0.78841364,0.42409784,0.0,0.0,0.0
SFPQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34682858
PSMB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4759997
THRAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31000897,0.0,0.0,0.0
C1orf122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24623597,0.0,0.0,0.0
NDUFS5,0.0,0.90987206,0.0,1.4152191,0.5498356,0.6466378,0.0,0.0,0.0,1.1237324,0.702101,1.3359305,0.0,0.0,0.93270504
PABPC4,0.0,0.0,0.0,0.0,0.64995646,0.0,0.0,0.0,1.3254049,0.0,0.0,0.0,0.0,0.0,0.16897595
MFSD2A,0.0,0.0,0.0,0.18139598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.0,0.0,0.0,0.0,0.73170584,0.0,0.0,0.0,1.1099107,0.0,0.0,0.114840515,0.0,0.0,0.0
PPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0191121,0.0,0.0,0.0,0.0,0.0,0.0
SMAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599476,0.0,0.0,0.0,0.0,0.0,0.0
YBX1,1.6826978,0.9476315,5.017799,1.1486362,2.2075481,1.1606474,0.90263623,1.3629811,2.7570374,1.6159427,1.1086817,1.3311574,1.5925674,1.652392,2.0990381
SLC2A1,0.0,0.0,3.780569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V0B,0.0,0.0,0.0,0.0,0.7537445,0.0,0.0,0.0,0.14843045,0.0,0.0,0.0,0.0,0.0,0.46663812
RPS8,5.1547422,2.9631891,3.339458,3.0935562,4.132386,3.8950484,2.7872298,3.850972,3.462925,4.5433955,3.782495,3.450539,4.191297,3.6505008,4.1766644
UROD,0.0,0.0,2.4489255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX1,0.0,0.90431213,0.40685728,1.7372108,0.35512358,0.83209133,0.58011895,0.0,0.97355473,0.6526997,1.1174097,0.7335197,0.0,0.0,1.0192312
NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31393766
UQCRH,1.3479108,0.9712276,0.0,1.3795315,1.5896682,0.95003295,0.5803824,0.9774803,1.5507367,2.245445,0.78660345,1.2408488,0.7203678,0.0,2.0434356
CYP4A11,0.0,0.0,0.0,1.3541515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDZK1IP1,0.0,0.42343783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHDC2,0.0,0.0,0.0,1.8931315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCP2,0.0,0.5575129,0.0,2.341913,0.0,0.0,0.0,0.0,0.51883227,0.0,0.0,0.0,0.0,0.0,0.0
TMEM59,0.0,0.9874926,0.0,0.9109951,0.0,0.83339125,0.6532763,0.0,0.84545195,0.95738834,0.71556914,0.87259316,0.0,0.0,0.46337852
DHCR24,0.0,0.0,0.0,2.0723143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLPP3,0.0,0.0,0.0,0.0,0.0,1.1709818,1.6230744,0.0,0.0,0.0,0.83544296,0.0,0.0,0.0,0.0
