cell_type,mean_silhouette,std_silhouette,median_silhouette,count
fibroblast,0.43722966918009637,0.2103311008874797,0.5023725123064797,2582
endothelial cell,0.37229473574657457,0.2647492221351265,0.4993292429105407,1213
smooth muscle cell,0.8048750848500453,0.15047114150766533,0.8512493242667066,83
neuron,0.8729284364463759,0.21769354737996457,0.9139163363672231,112
leukocyte,0.406635882373855,0.2548760748094618,0.4968792068998802,1408
cardiac muscle cell,0.5857955176601596,0.23247426225827017,0.6641078117657677,2638
mesothelial cell of epicardium,0.5159602443783919,0.3266108459260012,0.6392878320555707,911
