cluster,n_cells,percentage
fibroblast,2582,28.86
endothelial cell,1213,13.56
smooth muscle cell,83,0.93
neuron,112,1.25
leukocyte,1408,15.74
cardiac muscle cell,2638,29.48
mesothelial cell of epicardium,911,10.18
