cluster,n_cells,percentage
Cardiomyocyte,8132,16.48
Endothelial,15336,31.07
Fibroblast,11154,22.6
Lymphoid,1002,2.03
Myeloid,4502,9.12
Neuronal,757,1.53
Pericyte,7100,14.38
Smooth Muscle,1376,2.79
