,ASDC,BFU-E,Basophilic Erythroblast,CD14 Mono,CD16 Mono,CD4 Central Memory,CD4 Effector Memory,CD4 Naive,CD4 Regulatory,CD8 Central Memory,CD8 Effector Memory 1,CD8 Effector Memory 2,CD8 Naive,CD8 Tissue Resident Memory,CFU-E,CLP,Cycling Progenitor,Early GMP,Early ProMono,EoBasoMast Precursor,GMP-Cycle,GMP-Mono,GMP-Neut,HSC,Immature B,LMPP,Large Pre-B,Late ProMono,MEP,MLP,MLP-II,MPP-MkEry,MPP-MyLy,Mature B,Megakaryocyte,Megakaryocyte Precursor,NK,NK CD56high,NK Proliferating,Orthochromatic Erythroblast,Plasma Cell,Polychromatic Erythroblast,Pre-ProB,Pre-cDC,Pre-pDC,Pre-pDC Cycling,Pro-B Cycling,Pro-B VDJ,Pro-Erythroblast,Small Pre-B,Stromal,T Proliferating,cDC1,cDC2,pDC
ENSG00000134056,0.7928532030847337,0.7876712503256621,0.8364081283410391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7990582883358002,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002924576953605,0.0,0.0,0.0,0.0,0.0,0.7905471424261729,0.0,0.7861990652702473,0.7933863346223478,0.8048362113811351,0.0,0.0,0.8380839471463803,0.0,0.0,0.8004033035702176,0.7842953006426493,0.0,0.0
ENSG00000144029,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657052656014761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969458262125651,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243927,0.7754095285027115,0.7469449374410841,0.744725892941157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639258095511684,0.0,0.7705961366494497,0.7473433602739263,0.0,0.0,0.750547754543799,0.0,0.0,0.0,0.0,0.0,0.8233799150696507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743846144941118,0.0,0.0,0.0,0.0,0.0,0.0,0.7536616380567904,0.7407407407407407,0.7517701575049648,0.7918586598502265,0.7619173913090317,0.0,0.7722288922027305,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125445,0.0,0.8658860690063901,0.8840196916350612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727859689129723,0.0,0.8622321939026868,0.8587283337557757,0.0,0.0,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8772988595344402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571414892320279,0.0,0.0,0.0,0.894101513756646,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135972,0.0,0.0,0.970199582753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701546651345713,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053372,0.0,0.0,0.9506210011464579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476174226513615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565092601158001,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818612855893595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974464683621018,0.9445560000560902,0.9444444444444444,0.951012005408605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110077,0.0,0.0,0.0,0.9673717286851671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9654485605381153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
