AuthorCellType,mean_silhouette,std_silhouette,median_silhouette,count
ASDC,-0.09273893741705026,0.31527157435518477,-0.09111660035103802,552
BFU-E,0.01958322128074097,0.3055678970041648,0.07548957589179973,6554
Basophilic Erythroblast,0.05942320285990575,0.225015408857077,0.11007674534180993,5253
CD4 Central Memory,-0.003384591656692478,0.30186075017974,0.03473700477367933,12152
CD4 Effector Memory,0.31057945251081615,0.3063534085110983,0.43423039838319355,7361
CD4 Naive,0.24042518265517782,0.3057302882769244,0.34567516201301485,24063
CD4 Regulatory,0.49912929846871884,0.25330458610913936,0.5981610050248036,1538
CD8 Central Memory,-0.13498196362256198,0.3050130395998469,-0.12109731175864002,2458
CD8 Effector Memory 1,0.47426960479959407,0.2328425240560887,0.5574955332937606,3360
CD8 Effector Memory 2,0.2937046171560193,0.31697703904107155,0.41833241019239553,8486
CD8 Naive,0.574671633304932,0.1812513563106534,0.6436363329624271,8502
CD8 Tissue Resident Memory,0.48886601354181114,0.2625259712170358,0.5868501078312542,1478
CD14 Mono,0.33826236719085,0.2810775827511438,0.43514183506389753,23957
CD16 Mono,0.8173483198681786,0.1593104021419245,0.8669964198517539,4996
CFU-E,0.3163330106095124,0.2699619781026153,0.3938760401830792,7318
CLP,0.43959143635551584,0.27389369665091284,0.5431829673906026,1274
Cycling Progenitor,0.024673054583375924,0.34521845720540045,0.1461682610611298,9366
Early GMP,-0.09041099426083496,0.38234663303126293,-0.006822231129478766,11432
Early ProMono,0.3316810364975704,0.24923177321863396,0.3936605971585132,5086
EoBasoMast Precursor,0.6951397921588481,0.21502566392363748,0.769347427393581,1930
GMP-Cycle,0.19305652467210874,0.34446191708758084,0.3739317709606655,1993
GMP-Mono,0.06307512008566941,0.29650060055770777,0.1416118396387366,4557
GMP-Neut,0.4367263226028524,0.19931658989072193,0.5137364290918175,3518
HSC,0.41496547285004465,0.26705170071581424,0.5331395610444711,12641
Immature B,0.5930376139037502,0.15778721641191817,0.6425159885546396,1751
LMPP,0.301596968992739,0.29810717490285565,0.4095924117695766,6718
Large Pre-B,0.2597598727712719,0.33084088248684423,0.4097283850549091,3488
Late ProMono,0.5849920898654246,0.23067779991714554,0.6653185926882442,2993
MEP,0.40939767013787937,0.2690003094471519,0.5009382856942735,4856
MLP,0.10353585717732627,0.2947265513982859,0.19629975069178818,1242
MLP-II,0.47218781797174836,0.26615125490716723,0.5630151283513509,506
MPP-MkEry,0.16905763898223813,0.27086408144075885,0.24861495128216043,5771
MPP-MyLy,0.29603147494183396,0.2663768811118449,0.37586583438425614,5591
Mature B,0.3071260890033988,0.3794647901477086,0.5139371876833383,6730
Megakaryocyte,0.7392332644509567,0.2338214715618332,0.7834593660508364,54
Megakaryocyte Precursor,0.6091884331470027,0.1503258001237437,0.6492120554328769,2053
NK,0.2373284932337611,0.24473585794130462,0.30247577072820947,5771
NK CD56high,0.5345687072209564,0.22183015335433556,0.6346645311645759,1935
NK Proliferating,0.4121675271038027,0.3827467690253611,0.6293833788461836,215
Orthochromatic Erythroblast,0.5228497515389743,0.22532872080247357,0.6143535655330303,3734
Plasma Cell,0.9467631755871585,0.019621051225755727,0.9544939450759832,2539
Polychromatic Erythroblast,0.3545198380253635,0.2321089143163341,0.4261957033950951,5061
Pre-ProB,0.08405820989009313,0.3357165628865839,0.15501948839435364,787
Pre-cDC,0.12017895387463709,0.2786271506975747,0.2073961336632732,3704
Pre-pDC,-0.08802393980696362,0.2874371323295827,-0.09203455797169569,2179
Pre-pDC Cycling,0.41126054658435196,0.2735513340770364,0.5007862209180655,1880
Pro-B Cycling,0.4411934493261853,0.2298597125680887,0.5263603011043831,1118
Pro-B VDJ,0.5816580914588043,0.2432315299536833,0.6595085707747824,4909
Pro-Erythroblast,0.2822968969833369,0.24868401860363898,0.36812008282460273,7390
Small Pre-B,0.7791506629871515,0.15866261748868174,0.8328280854861226,1213
Stromal,0.9971647279375768,0.0016666380587325664,0.9978942171444374,213
T Proliferating,0.12155205503571613,0.39665165412258496,0.3448801570291513,580
cDC1,0.5552379485853134,0.22505878050941316,0.6596303508894379,370
cDC2,0.35159432427429055,0.275532315011871,0.4451513286429538,3714
pDC,0.5609328068430129,0.27875027904293614,0.6742460042342893,4269
