cluster,count
Smooth muscle cell,984
Macrophage,677
Stromal cell,458
Monocyte,226
Endothelial cell (APC),183
T cell,142
Dendritic cell,45
Fibroblast,28
Mast cell,14
Ventricle cardiomyocyte,8
Antigen presenting cell (RPS high),5
B cell (Plasmocyte),5
