cluster,n_cells,percentage
Antigen presenting cell (RPS high),5,0.18
B cell (Plasmocyte),5,0.18
Dendritic cell,45,1.62
Endothelial cell (APC),183,6.59
Fibroblast,28,1.01
Macrophage,677,24.4
Mast cell,14,0.5
Monocyte,226,8.14
Smooth muscle cell,984,35.46
Stromal cell,458,16.5
T cell,142,5.12
Ventricle cardiomyocyte,8,0.29
