,B Cells,Basal,Endothelial,Fibroblasts,Intercalated,Ionocytes,Macrophages,Mucous,Myoepithelial,Myofibroblasts,RBCs,Schwann Cells,Seromucous,Serous,Striated,T Cells
ENSG00000143742,0.0,0.0,0.0,0.0,0.0,1.1488976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22224222,0.0,0.0
ENSG00000143819,0.0,0.0,0.0,1.5379356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15038787,0.0,0.0
ENSG00000163041,0.0,1.704554,1.6510212,1.4481437,1.9401041,2.5641704,1.485076,1.6866597,1.5781853,1.5399476,0.0,0.45436156,0.0,0.7587125,1.5673645,1.409537
ENSG00000143761,0.0,0.0,0.0,0.0,0.84857965,1.2275329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32136613,0.0,0.0
ENSG00000143774,0.0,0.0,1.4564164,0.0,0.84735525,1.3955376,0.0,0.8170197,0.0,0.0,0.0,0.0,0.0,0.5926032,0.0,0.0
ENSG00000168118,0.0,0.0,0.0,0.0,0.76253647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42205983,0.0,0.0
ENSG00000173726,0.0,0.0,0.0,0.0,1.1364884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43663764,0.0,0.0
ENSG00000153187,0.0,0.0,0.0,0.0,0.7351132,0.4712074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17022663,0.0,0.0
ENSG00000171863,1.6248415,2.9583564,2.248233,1.9943181,2.5764666,2.3953233,2.326511,2.3663788,2.6937325,2.3256774,1.3574944,1.7608933,1.5626502,1.661388,1.9583555,2.5137157
ENSG00000134308,0.0,0.0,0.0,0.0,0.0,1.1088746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391101,0.0,0.0
ENSG00000143882,0.0,0.0,0.0,0.0,0.0,0.9080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143870,0.0,0.0,0.0,0.0,0.8987613,0.0,0.0,0.6727878,0.0,0.0,0.0,0.0,0.0,0.48104286,0.0,0.0
ENSG00000068697,0.0,0.0,0.0,1.6635615,0.7526958,0.42614055,0.0,0.0,1.2670518,1.2871939,0.0,0.0,0.0,0.2367261,0.0,0.0
ENSG00000143878,0.0,1.3199201,0.0,1.275357,0.84139895,1.3747814,0.0,0.0,0.0,1.9488301,0.0,2.2431355,0.0,0.0,0.0,0.0
ENSG00000115128,0.0,0.0,0.0,0.0,0.5760052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000228474,0.0,1.2473432,0.0,0.0,1.2091513,1.4649342,0.6483309,1.5264164,0.95738614,0.0,0.0,0.0,0.0,0.7869115,0.0,0.0
ENSG00000138085,0.0,0.0,0.0,0.0,0.0,1.0633694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17508176,0.0,0.0
ENSG00000213639,0.0,0.0,0.0,0.0,0.62740666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24337777,0.0,0.0
ENSG00000115944,0.0,0.0,0.0,0.0,0.54286516,1.1437731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24299741,0.0,0.0
ENSG00000152518,0.0,0.0,0.0,0.0,0.0,0.33594802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548189
ENSG00000116016,0.0,0.0,2.0202518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000180398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35088715,0.0,0.0
ENSG00000143933,0.0,1.2837919,1.1566057,1.4331372,1.4674344,2.8191552,1.1785685,1.487458,1.9472828,1.6721102,0.0,1.8621527,0.0,0.7814114,1.4632041,0.0
ENSG00000119888,0.0,0.0,0.0,0.0,1.2085049,1.5209806,0.0,0.82695186,0.0,0.0,0.0,0.0,0.0,0.29906857,0.0,0.0
ENSG00000179915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6556186,0.0,0.0,0.0,0.0
ENSG00000115306,0.0,0.0,1.4333802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19145516,0.0,0.0
ENSG00000143947,2.1642818,3.464069,2.7853365,2.661658,3.2163234,2.8563385,2.905868,2.9804451,3.3078876,2.7910619,1.8472109,2.15423,1.9903216,2.1100736,2.517113,3.2291083
ENSG00000115380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2383103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000236780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6677977,0.0,0.0
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,1.2219974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169564,0.0,0.0,0.0,0.0,0.0,1.0369017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143977,0.0,0.0,0.0,0.0,0.0,0.9715128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302685,0.0,0.0
ENSG00000124374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345282,0.0,0.0
ENSG00000163017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18280618,0.0,0.0
ENSG00000163541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26096183,0.0,0.0
ENSG00000034510,0.0,1.8687158,3.2230544,2.056254,1.9401041,2.3029094,2.5719936,1.9319834,1.8851546,1.7905105,0.0,2.1654546,0.0,0.77233833,1.6600165,2.6026897
ENSG00000118640,0.0,0.0,0.0,0.0,1.5175743,1.4312798,0.0,0.84638464,0.0,0.0,0.0,0.0,0.0,0.40277225,0.6486052,0.0
ENSG00000168894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15051942,0.0,0.0
ENSG00000211592,6.5739164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115042,0.0,0.0,0.0,0.0,0.6204256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16916151,0.0,0.0
ENSG00000135940,0.0,1.5356545,1.1358175,0.0,1.4076746,2.2406843,0.0,1.2887149,1.2360535,1.4821767,0.0,0.0,0.0,0.79831624,1.8990883,0.0
ENSG00000071082,0.0,0.92660224,0.0,0.0,0.8619228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33227992,0.0,0.0
ENSG00000119147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3070936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155368,0.0,0.0,0.0,0.0,1.3737354,1.4321274,0.6483309,1.0827348,0.0,0.0,0.0,0.0,0.0,0.61230785,0.0,0.0
ENSG00000115112,0.0,1.8398011,0.0,0.0,1.0311038,1.9437819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7103624,0.0
ENSG00000152082,0.0,1.2444377,0.0,0.920148,1.3490455,1.3146956,0.0,1.3763278,1.4000249,0.0,0.0,0.0,0.0,0.89474,0.0,0.0
ENSG00000173272,0.0,0.0,0.0,0.0,0.5473825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3660979,0.0,0.0
ENSG00000121966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4981551
ENSG00000115963,0.0,0.0,0.0,1.876556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17401576,0.0,0.0
ENSG00000136546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605615,0.0,0.0,0.0,0.0
ENSG00000154518,0.0,1.418614,0.0,0.0,1.0303206,1.632525,0.0,0.94529176,0.0,0.0,0.0,0.0,0.0,0.75733644,1.8967376,0.0
ENSG00000116044,0.0,0.0,0.0,0.0,0.0,1.1488976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138434,0.0,0.0,0.0,0.0,0.0,0.33594802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168542,0.0,0.0,0.0,1.6489818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16408959,0.0,0.0
ENSG00000168497,0.0,0.0,1.8056433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115524,0.0,0.0,0.0,0.0,0.0,0.8255308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144381,0.0,0.0,0.0,0.0,0.0,0.9080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115541,0.0,0.0,0.0,0.0,0.5730432,1.1760147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19393568,0.0,0.0
ENSG00000196141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748746,0.0,0.0
ENSG00000119013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21271223,0.0,0.0
ENSG00000116030,0.0,0.0,0.0,0.0,0.49578175,1.0557165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114942,0.71944463,1.8522557,1.1015543,1.1665581,1.5206467,1.2401521,1.8289576,1.5509802,1.5889567,1.398875,0.0,0.0,0.0,1.0739248,0.75213116,1.7380133
