cluster,n_cells,percentage
B Cells,332,2.12
Basal,418,2.67
Endothelial,781,4.98
Fibroblasts,665,4.24
Intercalated,518,3.3
Ionocytes,32,0.2
Macrophages,241,1.54
Mucous,265,1.69
Myoepithelial,353,2.25
Myofibroblasts,189,1.21
RBCs,132,0.84
Schwann Cells,50,0.32
Seromucous,5088,32.44
Serous,5097,32.5
Striated,968,6.17
T Cells,555,3.54
