cluster,n_cells,percentage
fibroblast,59341,12.21
mesothelial cell,718,0.15
mast cell,1543,0.32
endothelial cell,13263,2.73
smooth muscle cell,16242,3.34
macrophage,14640,3.01
B cell,1195,0.25
dendritic cell,814,0.17
monocyte,1684,0.35
natural killer cell,3628,0.75
pericyte,77856,16.02
"CD8-positive, alpha-beta cytotoxic T cell",2956,0.61
mature NK T cell,1463,0.3
"activated CD4-positive, alpha-beta T cell",1047,0.22
"activated CD8-positive, alpha-beta T cell",3001,0.62
"CD4-positive, alpha-beta cytotoxic T cell",3113,0.64
CD14-positive monocyte,1883,0.39
regular atrial cardiac myocyte,23483,4.83
regular ventricular cardiac myocyte,125289,25.77
endothelial cell of lymphatic vessel,754,0.16
capillary endothelial cell,57759,11.88
neural cell,3961,0.81
"CD14-positive, CD16-positive monocyte",3278,0.67
vein endothelial cell,8486,1.75
epicardial adipocyte,3799,0.78
endothelial cell of artery,20317,4.18
unknown,34621,7.12
