,AT0,AT1,AT2,AT2 proliferating,Adventitial fibroblasts,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club (nasal),Club (non-nasal),DC1,DC2,Deuterosomal,EC aerocyte capillary,EC arterial,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Hematopoietic stem cells,Hillock-like,Interstitial Mph perivascular,Ionocyte,Lymphatic EC differentiating,Lymphatic EC mature,Lymphatic EC proliferating,Mast cells,Mesothelium,Migratory DCs,Monocyte-derived Mph,Multiciliated (nasal),Multiciliated (non-nasal),Myofibroblasts,NK cells,Neuroendocrine,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,Plasmacytoid DCs,SM activated stress response,SMG duct,SMG mucous,SMG serous (bronchial),SMG serous (nasal),Smooth muscle,Smooth muscle FAM83D+,Subpleural fibroblasts,Suprabasal,T cells proliferating,Tuft,pre-TB secretory
ENSG00000002586,0.0,0.0,0.0,0.4466984,1.4466252,1.1153966,1.2203,1.2064589,0.7380301,0.834103,0.0,0.0,1.2377512,1.299531,0.72713953,0.0,0.0,0.0,0.61994386,0.0,1.8051063,1.9684602,1.667319,1.5586022,1.0894474,0.0,0.0,0.0,1.0937049,0.6648673,1.3341645,0.0,1.1584675,1.9217238,2.4841192,0.0,1.4710321,0.0,1.2043426,0.0,0.0,0.77592504,1.5649629,0.0,0.0,1.161676,1.0273159,0.0,1.0342221,0.8855288,0.3895143,0.0,0.0,0.0,0.9401536,0.0,1.1815553,0.5316602,1.7688837,0.0,0.0
ENSG00000002587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23981483,0.0,0.0,0.0,0.2227391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18171355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12066869,0.0,0.0,0.0
ENSG00000002834,0.0,0.0,0.0,0.0,0.0,0.3962479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17122665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934877,1.7691838,0.0,0.0,0.0,0.0,0.0,1.226995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81736815,0.0,0.0,0.0,0.0
ENSG00000003056,0.0,0.0,0.0,0.0,0.0,0.9993046,0.0,0.7188603,0.0,0.7909553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38361537,0.20218821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5032765,0.7769198,0.0,0.0,0.0,0.0,0.22849992,0.630723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107292876,0.48929322,0.0,0.0
ENSG00000003147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0655575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003402,0.6096255,0.93980926,0.56136096,0.49631643,0.0,0.5116671,0.0,0.29186568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702772,0.0,0.0,1.0250542,0.9028996,1.3159385,0.906513,0.0,0.25107872,0.0,0.0,0.0,0.3424129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8640419,0.0,0.6191786,0.6231934,0.0,0.0,0.29324168,0.58531123,0.0,0.0,0.7865217,0.0,0.0,0.41519877,0.0,0.0,0.0,0.0,0.0,0.0,0.3785933,0.42853522,0.0,0.0
ENSG00000003436,0.0,0.0,1.2970476,0.5033267,1.3070924,0.0,0.0,0.0,1.1684263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2667563,1.6464608,1.8063962,0.6428172,0.0,0.0,0.0,0.14885539,0.0,0.0,0.0,2.570725,2.4133983,1.5608568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3421233,1.2775522,0.0,0.0,0.5011738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004059,0.0,0.0,0.0,0.42304534,0.0,0.48691565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43937284,0.0,0.7541368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58499926,0.0,0.24435326,0.0,0.0,0.61575854,0.0,0.70590127,0.5416449,0.0,0.0,0.0,0.0,0.0,0.54164475,0.0,0.0,0.0,0.0,0.0,0.0,0.25645268,0.0,0.0,0.0,0.0,0.0,0.30455256,0.38327488,0.76595914,0.45422968,0.0
ENSG00000004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114820704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
