cluster,count
Alveolar macrophages,68487
AT2,61429
Suprabasal,41158
Basal resting,38955
Goblet (nasal),35833
Multiciliated (non-nasal),35225
CD8 T cells,29074
Monocyte-derived Mph,28223
Club (nasal),26068
CD4 T cells,21285
Classical monocytes,17695
NK cells,16978
EC general capillary,16048
Adventitial fibroblasts,10321
Club (non-nasal),9955
DC2,9133
Non-classical monocytes,8834
Alveolar Mph CCL3+,8065
AT1,7937
EC arterial,7391
EC aerocyte capillary,7157
Mast cells,6623
EC venous systemic,6557
EC venous pulmonary,6418
Alveolar fibroblasts,5182
Multiciliated (nasal),4869
Interstitial Mph perivascular,4805
Hillock-like,4600
B cells,4511
pre-TB secretory,4393
Lymphatic EC mature,4001
Pericytes,3032
Smooth muscle,2996
Plasma cells,1773
Goblet (bronchial),1670
Peribronchial fibroblasts,1573
SMG serous (nasal),1472
AT0,1440
SMG serous (bronchial),1417
SMG duct,1274
Alveolar Mph MT-positive,1203
Alveolar Mph proliferating,1061
Deuterosomal,1004
AT2 proliferating,976
Goblet (subsegmental),968
Myofibroblasts,716
Lymphatic EC differentiating,566
Ionocyte,561
SM activated stress response,556
Plasmacytoid DCs,552
SMG mucous,537
T cells proliferating,500
Smooth muscle FAM83D+,335
DC1,322
Migratory DCs,312
Subpleural fibroblasts,276
Mesothelium,230
Tuft,165
Neuroendocrine,159
Hematopoietic stem cells,60
Lymphatic EC proliferating,28
