ann_finest_level,mean,std,median,count,q1,q3,f_score
Neuroendocrine,0.878442433032258,0.2091539306080404,0.921635,155,0.9078834250000001,0.926518795,0.9370424597364568
Plasmacytoid DCs,0.891474641884058,0.10368250953260247,0.91263215,552,0.890068345,0.9250230500000001,0.7901554404145078
Lymphatic EC proliferating,0.7930572617857142,0.2118019816105353,0.8473357749999999,28,0.8312737125,0.8600212,0.7291666666666666
Ionocyte,0.791411518430127,0.16415475997575837,0.84377193,551,0.8050994149999999,0.85990347,0.8174316658071171
Mesothelium,0.7153701141304347,0.2526949569527049,0.80196402,230,0.759698505,0.81490396,0.8872901678657075
Plasma cells,0.7777831046587704,0.10304243610173575,0.800274,1773,0.7517198,0.82931286,0.905737183564432
Subpleural fibroblasts,0.7606809696014493,0.12278544579135058,0.799784155,276,0.7572602924999999,0.82615795,0.6632653061224489
SMG mucous,0.7587013132588454,0.1354341755304254,0.7862379,537,0.75840485,0.8050485,0.9347408829174664
Goblet (subsegmental),0.6615463803809525,0.19235494539596149,0.738359035,966,0.64744395,0.76460285,0.5808690404345203
Smooth muscle FAM83D+,0.6234149129880596,0.21011521061410068,0.72482526,335,0.56800127,0.753206275,0.773286467486819
Lymphatic EC differentiating,0.6549982428886926,0.16919308084709217,0.71724703,566,0.65367309,0.7449459425,0.4211663066954643
Hematopoietic stem cells,0.6371854453333333,0.24868796021228426,0.71511885,60,0.638271,0.7488632675,0.6648936170212766
B cells,0.6586413914111333,0.1779716388627984,0.711939,4509,0.6524045,0.74060106,0.8570866915667388
Mast cells,0.6694784370582818,0.09211194541117787,0.68612313,6623,0.6188862850000001,0.74420185,0.964171853651131
Alveolar Mph proliferating,0.5751782852182846,0.2661748060830183,0.66607445,1061,0.5887829,0.70399785,0.3259911894273127
Peribronchial fibroblasts,0.5401776852035944,0.21704206956890895,0.62348612,1558,0.484558575,0.68420802,0.5803331542181622
Deuterosomal,0.5481771672560081,0.21961508326829013,0.621609815,982,0.5095569625,0.685337045,0.7070707070707071
EC aerocyte capillary,0.5199453483317222,0.23049370927983123,0.6107763,7157,0.4699611,0.67334455,0.8346962443129442
AT0,0.4882577116461111,0.22271586770792007,0.57270383,1440,0.43233932,0.629909805,0.2763728323699422
Tuft,0.45731632724844723,0.28532820988895485,0.5725189,161,0.37121397,0.6595798,0.5643044619422573
DC1,0.49462375286024846,0.1951504063816277,0.572018675,322,0.4502310175,0.6222810875,0.7704160246533128
NK cells,0.5083850396996632,0.17252845393149144,0.5648614350000001,16978,0.4318067,0.6340297,0.7891496323400063
Basal resting,0.5034494487233766,0.1845061824452367,0.56373686,38805,0.44486108,0.625993,0.7580677792014442
AT1,0.46755659063726346,0.25736285649255597,0.5615244,7937,0.420094,0.63725597,0.8511396952008663
SM activated stress response,0.440132704305036,0.248610693712224,0.5471865499999999,556,0.33440099,0.6195398425,0.6008771929824561
EC venous pulmonary,0.46130896684602835,0.20808696219033454,0.534376025,6418,0.41119389,0.6002645474999999,0.7358505756380324
Alveolar Mph MT-positive,0.4624496343319368,0.1942441099206643,0.52539027,1203,0.415996685,0.594782145,0.4091084523350058
AT2 proliferating,0.4612152639141393,0.19635620866944467,0.5253531499999999,976,0.406195815,0.592500015,0.7047477744807121
SMG serous (bronchial),0.4382481017895554,0.22234154168692816,0.5170063,1417,0.40387946,0.5779094,0.7529018921927174
EC venous systemic,0.4357624029768426,0.20989156024717656,0.51683995,6556,0.3482503175,0.5887411,0.6298502075437646
Pericytes,0.48643841836850266,0.14840733554436583,0.509567915,3032,0.387463735,0.6223673000000001,0.842040273556231
Goblet (bronchial),0.4384503773551166,0.21392449247412268,0.502670855,1630,0.357413115,0.5941479249999999,0.5608308605341247
SMG serous (nasal),0.4172862951185462,0.20669182980482662,0.49719417,1472,0.38863859500000003,0.553461685,0.9196224256292906
EC arterial,0.3755646897237586,0.30138488428525784,0.49126798,7391,0.30862108,0.576833685,0.7092710715288643
Myofibroblasts,0.3148047656346369,0.3461430476951117,0.45330927499999996,716,0.170840135,0.568525815,0.4752994011976048
Migratory DCs,0.41678822512339747,0.11816398168981163,0.449390825,312,0.36476453999999997,0.49850114,0.501432664756447
CD4 T cells,0.3435131439510157,0.258144486535423,0.43664548,21285,0.2196077,0.5366904,0.5941352882372543
Club (nasal),0.34304126453175815,0.244995081434063,0.40547514,25487,0.23706654500000002,0.52327225,0.4388717568435236
Interstitial Mph perivascular,0.34120715748880476,0.18569994343978505,0.39860103,4805,0.24878992,0.485452,0.4635482511588706
EC general capillary,0.3126827238292401,0.2335623153093767,0.38504365,16048,0.155645515,0.5010013,0.781395265679754
Alveolar Mph CCL3+,0.23151948297815747,0.3433239798137435,0.38095453,8065,0.14289992,0.4706953,0.6722647567300568
Multiciliated (nasal),0.28230537653193344,0.2937225477072492,0.3745205,4867,0.14078146000000002,0.5122524500000001,0.5888614493740952
Multiciliated (non-nasal),0.290213518005946,0.23690560780126674,0.36466628,34541,0.16822875,0.4800355,0.8611768347964531
pre-TB secretory,0.20727037705591891,0.34321914018695615,0.33620793,4391,0.018049460000000003,0.46790852,0.7314008532522939
Non-classical monocytes,0.17268782224300352,0.34505016409426,0.31670055,8833,-0.035756234,0.43667728,0.4608499463697895
Classical monocytes,0.1779556458596003,0.2998357937080813,0.26421453,17694,-0.023571829,0.4357203825,0.7743712040627252
CD8 T cells,0.1924867421757641,0.25752361212136526,0.249249365,29070,0.047890672999999995,0.3951548375,0.758457155529777
Hillock-like,0.19514813574212658,0.179033333476758,0.2233819,4345,0.08366126,0.34204158,0.5739612567595318
Lymphatic EC mature,0.06688221443105775,0.31472172418555056,0.15777002,3999,-0.13285455000000002,0.324387745,0.8831029734278574
Goblet (nasal),0.08697108317696656,0.30618021541957446,0.14303964,33707,-0.10819034799999999,0.34299599000000003,0.8105015982928689
T cells proliferating,0.0863306798394,0.29280192225185897,0.142024845,500,-0.16517488749999998,0.359742875,0.7258064516129032
Alveolar fibroblasts,0.029729916473357775,0.35680307662759836,0.10414585000000001,5182,-0.2589980425,0.3646108975,0.6899557462786643
AT2,0.031224206465430025,0.33319467707151085,0.10175332,61429,-0.18987405,0.32335272,0.9586183739710556
DC2,0.0004315626013695461,0.27542960705109876,0.045518511,9122,-0.2189359025,0.2438357575,0.5326889096767488
Monocyte-derived Mph,-0.024041640134197257,0.2794848691718908,0.04334917,28217,-0.24099089,0.22012822,0.3680835673836971
Smooth muscle,-0.05238004097541722,0.2715030261400703,0.0019719601500000003,2996,-0.2395629475,0.18181263749999999,0.69098768666492
Suprabasal,-0.03773808155726097,0.27197871837703247,-0.015656129,39491,-0.233451455,0.202356125,0.6462207419742807
Alveolar macrophages,-0.08023580347600318,0.3367479323744072,-0.020184610999999998,68484,-0.384485725,0.22380984,0.8088830945268594
Club (non-nasal),-0.06407738832645049,0.27533216164784646,-0.059580624,9947,-0.272421165,0.18086575,0.6823263206098645
Adventitial fibroblasts,-0.09812118304651184,0.32492156925088833,-0.07417786800000001,10312,-0.359911,0.1910326725,0.8492255821304394
SMG duct,-0.5139643943683782,0.15937559003597096,-0.47903857,1227,-0.6120860850000001,-0.385596475,0.454786528772209
