,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9414282,0.0,0.0,0.0,0.181487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81155574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.21537726,0.0,0.49865323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09893307,0.0,0.0,0.0,0.0,0.5205432,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.5647858,0.0,0.4428816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7810075,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.0,1.0833162,0.0,0.8658685,0.0,0.93543404,0.0,0.0,1.4976498,0.0,0.7467469,0.6102371,0.0,0.0,0.0,0.0,0.0,0.0,1.3688385,0.0,0.0,0.7805158,0.0,1.0049992,0.0,0.0,1.6385417,1.3470063,1.0346863
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.2994515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.9588576,0.0,0.7272105,0.0,0.98911715,0.0,0.0,0.0,0.0,0.64749414,0.5221971,0.0,0.699267,0.0,0.0,0.0,0.0,0.9825824,0.0,0.0,0.6633233,0.0,0.6524505,0.0,0.0,0.0,0.9287082,0.9119033
SSU72,0.0,0.0,0.0,0.0,0.62732804,0.0,0.5571047,0.0,0.5664042,0.0,0.0,0.0,0.0,0.0,0.55887127,0.0,0.0,0.0,0.0,0.0,0.0,0.58956426,0.0,0.0,0.3161235,0.0,0.20289937,0.0,0.0,0.0,0.68626887,0.6967162
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3161235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.491576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0272596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.506464,0.0,0.46497744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21345337,0.0,0.0,0.0,0.0,0.44052863,0.0,0.0,0.0,0.24271885,0.3935162
RER1,0.0,0.0,0.0,0.0,0.7186911,0.0,0.16991574,0.0,0.48637795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35470718,0.0,0.0,0.88153136,0.0,0.7896714,0.0,0.0,0.0,0.7948829,0.738663
PRDM16-DT,0.0,0.0,0.0,0.0,0.5369017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877272,0.0,0.0,0.0,0.0,0.0
SMIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,2.2662365,2.7973063,2.5747902,2.2043674,2.3602166,2.5686495,2.6363223,2.5488553,2.445681,2.579309,2.0859447,2.958884,2.7077703,2.5537612,2.7554665,2.1161675,2.7714245,2.279022,2.2796454,2.4419932,0.0,2.8330572,2.2506359,2.6916995,2.7797556,0.0,2.223328,2.5741181,2.5172002,2.6390347,2.5708776,2.8111079
CAMTA1,0.0,0.0,0.0,0.0,0.8978554,0.0,1.0610945,0.90183836,0.82784164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7301545,0.0,0.0,0.34977913,0.0,0.7543032,0.0,0.0,0.0,0.84486717,0.66867816
PARK7,0.0,0.0,0.0,0.0,1.3507739,1.1351006,1.4208088,0.9456768,1.5084887,0.0,0.0,1.9638331,0.8523096,1.1609554,1.2405765,0.0,1.1805104,1.2334608,1.3344711,1.1986341,0.0,1.575191,0.0,0.936764,2.0183578,1.850784,1.3441741,1.850784,1.3524189,2.1139245,1.7487539,1.6543199
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.8379002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48934436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
