,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937813435831377,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.9206661985766503,0.0,0.9474090818435915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.9496206448924157,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.9747045616949758,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.0,0.6929454380466092,0.0,0.6623025997992484,0.0,0.6706236081738626,0.0,0.0,0.7571399423383898,0.0,0.6510582566261292,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.7373217498102496,0.0,0.0,0.6535944054203648,0.0,0.680025496790486,0.0,0.0,0.7780225449992765,0.7341099496810667,0.6845784552635685
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.7419553822086703,0.0,0.697439314857606,0.0,0.7490758684373671,0.0,0.0,0.0,0.0,0.6836616339222077,0.6774193548387096,0.0,0.6917939955188382,0.0,0.0,0.0,0.0,0.7474070768202504,0.0,0.0,0.6855809996204991,0.0,0.6841043137734936,0.0,0.0,0.0,0.7356727123260498,0.7325849859945236
SSU72,0.0,0.0,0.0,0.0,0.7919685206105632,0.0,0.7763986029932576,0.0,0.7778506778901623,0.0,0.0,0.0,0.0,0.0,0.7765955655805526,0.0,0.0,0.0,0.0,0.0,0.0,0.7827758327607186,0.0,0.0,0.7534891674595494,0.0,0.7419354838709677,0.0,0.0,0.0,0.8070649793071132,0.8099580599415687
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
