,BEST4_enterocyte_colonocyte,B_GC_I,B_GC_II,B_memory,B_naive,B_plasma_IgA1,B_plasma_IgA2,B_plasma_IgG,B_plasma_IgM,B_plasmablast,B_preB,B_proB,Basal,Basal_cycling,Branch_A_interneuron,Chief,Colonocyte,Crypt_fibroblast_PI16,Cycling,DCS_MUC17,DCS_MUC17_cycling,DC_cDC1,DC_cDC2,DC_langerhans,DC_migratory,DC_pDC,Duct,EC_arterial_1,EC_arterial_2,EC_capillary,EC_cycling,EC_lymphatic,EC_venous,Enteric_neural_crest_cycling,Enterochromaffin,Enterocyte,Enteroendocrine,Enteroendocrine_G,Enteroendocrine_MX,Enteroendocrine_X,Enteroendocrine_progenitor,Epithelial_cycling_G2M,Epithelial_cycling_S,Epithelial_stem,Erythrocytes,Fibroblast_reticular,Follicular_DC,Gastric_fetal_epithelial,Gland_basal,Gland_duct,Gland_fetal,Gland_mucous,Glial/Enteric_neural_crest,Glial_1,Glial_2,Glial_3,Goblet,Goblet_cycling,Goblet_progenitor,ILC3,Immune_recruiting_pericyte,Ionocytes,Keratinocyte_fetal,Keratinocyte_inflammatory,Keratinocyte_outer,Keratinocyte_stratified,Lamina_propria_fibroblast_ADAMDEC1,MAIT,Macrophage,Macrophage_CD5L,Macrophage_LYVE1,Macrophage_MMP9,Macrophage_TREM2,Mast,Mature_colonocyte,Melanocyte,Mesothelium,Microfold,Mono/neutrophil_MPO,Monocyte,Mucous,Mucous_gland_neck,Myoepithelial,Myofibroblast,NK_CD16,NK_CD56bright,Neuroblast,Oesophagus_fibroblast,Oral_mucosa_fibroblast,Paneth,Pareital,Pericyte,Rectum_fibroblast,SF_like,Seromucous,Serous,Surface_foveolar,T/NK_cycling,TA,Tfh,Tfh_naive,Tnaive/cm_CD4,Tnaive/cm_CD8,Treg,Treg_IL10,Trm/em_CD8,Trm_CD4,Trm_CD8,Trm_Th17,Tuft,Vascular_smooth_muscle,Villus_fibroblast_F3,gdT,gdT_naive
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54614615,0.0,0.0,0.4809603,0.78293467,0.0,0.0,0.0,0.0,0.0,0.0,0.6963794,0.0,0.0,0.48360956,0.0,0.0,0.46053082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54813266,0.811848,0.83014923,0.0,0.0,0.0,0.0,0.0,0.0,0.8227051,0.0,0.8917385,0.0,0.0,0.0,0.0,0.0,0.49437177,0.0,0.0,0.0,0.0,0.7770127,0.0,0.6477982,0.78925234,0.0,0.0,0.0,0.85548234,0.0,0.0,0.0,0.0,0.0,0.0,0.51807594,0.0,0.0,0.0,0.8703792,0.0,0.4976614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60407233,0.37971082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61291766,0.501492,0.0,0.0,0.0,0.0,0.29822394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43501666,0.3256148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33450675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1158378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54121614,0.0,0.0,0.5420575,0.0,0.41654733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39015818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41177994,0.0,0.0,0.0,0.0,0.0,0.0,0.28929952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34904355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51931405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62400234,0.0,0.0,0.0,0.7272056,0.0,0.0,0.0,0.0,0.0,0.52203137,0.5756187,0.0,0.0,0.0,0.0,0.0,0.48905164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64434123,0.6359469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71896076,0.0,1.349292,0.0,0.0,0.0,0.5218642,0.0,0.0,0.0,0.0,0.7573694,0.0,1.1011521,0.7021163,0.0,0.0,0.0,0.60952646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7707225,0.0,0.0,0.74144995,0.0,0.6094881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647694,0.5408183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20034395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16826469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88687646,0.0,0.3308211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49077025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7762237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,1.2324271,2.6980278,2.779333,2.8835506,2.9613793,1.3276571,1.2221403,1.1645069,1.1603158,1.9088788,2.726585,1.8967879,2.9654098,2.8876271,1.8404571,1.5846272,1.7102208,2.3806367,2.4099133,0.8383328,2.401497,2.8671885,2.6666281,2.7781768,2.5055327,2.7153137,2.1391108,2.3499138,2.4246843,2.4359522,2.2228773,2.5493088,2.683467,1.3203198,2.1737676,1.0747924,2.0365448,1.7508748,2.108581,1.8208851,2.592183,2.8834782,2.9755461,2.7063346,1.5625013,2.606131,0.93769294,2.5853198,2.88208,2.526419,2.888862,2.6194408,1.6886351,2.2159302,1.8742177,1.9081383,1.9770048,2.7004302,2.4212494,2.6776004,2.2588377,2.2721977,2.3255668,1.0399787,1.5708302,2.7182832,2.5265915,2.6960926,2.3759787,2.4139223,2.3852649,2.3378475,2.2531753,2.6820915,0.0,2.6675632,2.9425828,1.7573926,2.5838013,2.5535152,2.519338,2.4209898,2.2623725,2.3489137,2.3981984,2.3666706,2.1644833,2.4376285,2.1391346,1.1020015,1.1868087,2.2022178,2.2534018,0.0,2.305199,1.9546285,1.4997754,2.474102,2.5267007,2.9979358,3.0122151,3.1929543,3.2414207,3.110592,2.7269187,2.393362,2.8711033,2.6523128,2.7276897,0.0,2.5146031,2.3122904,2.6267488,2.7293253
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64356863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088072,0.61798614,0.0,0.0,0.0,0.0,0.0,0.0,0.5954617,0.0,0.84395945,0.0,0.0,0.0,0.0,0.0,0.5630796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25762206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71663487,0.0,0.45413575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42518842,0.18642549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86263585,0.0,0.0,0.0
