level_3_annot,mean,std,median,count,q1,q3,f_score
Trm/em_CD8,0.3203670268016378,0.28795944067022927,0.44059939000000004,12834,0.3182737475,0.4814998675,0.6835928784971665
Gland_duct,0.37176557177290837,0.2033318428856062,0.425994,251,0.350813955,0.47755221999999997,0.6259904912836767
Tnaive/cm_CD8,0.21518932337200136,0.384852085388012,0.41253707,2943,0.04935138,0.48858409,0.6560735245266305
Macrophage_CD5L,0.29236363944,0.17705586465888612,0.3793695,75,0.140395365,0.4462503,0.7526881720430108
DC_langerhans,0.23485767384313724,0.29778998813779195,0.36038201000000003,102,0.15239270500000002,0.43764539,0.4357798165137614
Gland_mucous,0.2307341879245283,0.27155098439478564,0.34381774,53,0.23987003,0.379377,0.7692307692307693
Goblet_cycling,0.19690013895512776,0.34530372883361815,0.31552243,861,-0.044460706,0.47152907,0.6319971108703503
DCS_MUC17,0.18326258083982683,0.2878295868752661,0.30342475,231,0.23211922499999998,0.33707775500000003,0.4603854389721627
Mucous_gland_neck,0.17826394976327445,0.32197593832003485,0.28647253,12308,-0.0073762912,0.4319655075,0.809473167539267
Immune_recruiting_pericyte,0.14430692228901734,0.3019752976990679,0.274676585,346,0.157914715,0.30838166499999997,0.6797752808988764
EC_capillary,0.1735126058299243,0.24667735674869842,0.2581269,7201,0.07474249,0.3508701,0.5702717293503689
Serous,0.08182735679245384,0.3378506974341013,0.23955886,4279,-0.11667294,0.34984101,0.7212928834703715
Glial_2,0.15636772425448028,0.1564617094209387,0.22653268,279,0.138180735,0.25449394999999997,0.4015748031496063
Surface_foveolar,0.08950939727825005,0.2929815670639595,0.189301595,9846,-0.02435195425,0.3007000275,0.7506286917363588
Tfh_naive,0.0980143438951437,0.2795275953574696,0.18187761,5115,-0.110677105,0.33800347,0.1810828536034394
DC_cDC2,0.07286216476905781,0.31289747524405603,0.17874323,4065,-0.15047057,0.33250466,0.7176900468663119
Tfh,0.02119082643639007,0.35692407960499833,0.159847895,4712,-0.3088012175,0.3580637975,0.4189287006876583
Goblet,-0.017118922578463387,0.34057681170846954,0.14540129499999999,13492,-0.2107460925,0.25300642749999996,0.7787290088903523
Basal,0.024815144608545243,0.2845711388671582,0.14533229,12985,-0.18888795,0.25214726,0.6664800089595699
Trm_Th17,0.026855472075227663,0.28733458620520824,0.13010692000000001,12066,-0.1395235225,0.2385266825,0.3546622823205717
DCS_MUC17_cycling,0.007227644246728972,0.24638668292927327,0.12002722,107,-0.17055598,0.213660975,0.6046511627906976
Myoepithelial,0.011912132497435899,0.2668658538451319,0.11381507,195,0.029929189000000002,0.173335235,0.6684141546526867
Gastric_fetal_epithelial,0.019614720000000002,0.30046210947184,0.11042933,5,0.06274073,0.20496428,0.5555555555555556
Glial_1,-0.02624512772727272,0.31042420737945425,0.110093325,11,-0.293435255,0.236896865,0.3333333333333333
MAIT,0.0220946832676282,0.31934629600974185,0.1078077825,1560,-0.2436425625,0.31499234750000005,0.2323717948717948
SF_like,-0.05724872168125,0.34627234789472494,0.099735235,28,-0.15502591,0.1755119475,0.6547619047619048
EC_arterial_2,0.00983852591773323,0.31808441434972423,0.079328638,2594,-0.27230206,0.303889655,0.3626563747671014
Tnaive/cm_CD4,-0.03138618685514061,0.29832523527282284,0.076403864,15625,-0.27819487,0.22672383,0.4273913563988986
Trm_CD4,0.00022463475309441477,0.29445276516970237,0.06833172800000001,21342,-0.20419973,0.25070977,0.47411305614334
Gland_basal,-0.08063284334097222,0.2602415713837089,0.0586134685,720,-0.2110565925,0.1071751995,0.6158088235294118
Epithelial_cycling_S,-0.007923769203641736,0.2138058914513115,0.05609357,7327,-0.057744097,0.136911175,0.2968803176403857
Fibroblast_reticular,-0.10384773634029128,0.3798121019469749,0.034416899,206,-0.3136846875,0.2275351775,0.57356608478803
Oral_mucosa_fibroblast,-0.07276796775166286,0.26720618736299334,0.0215719765,4206,-0.29139375,0.145612035,0.5229698932469713
B_plasma_IgA2,-0.0031984760407886624,0.056271686587036705,0.0002332498,4791,-0.021982794,0.027270764000000003,0.7652170018363417
Keratinocyte_stratified,-0.04159606473588452,0.3357845478088925,-0.0015318957,61929,-0.3029523,0.26051396,0.8323601673037005
B_plasma_IgA1,-0.018081801361634852,0.07517728184560336,-0.015788514,53361,-0.064714566,0.033495724,0.9114873514722056
gdT,-0.09676819145392437,0.20321955952188478,-0.018781824,11121,-0.16915178,0.050545044,0.7028722912663862
Macrophage_TREM2,-0.05591037484284524,0.20521283782254954,-0.022399652,840,-0.161005435,0.10943274875,0.3922121896162528
Trm_CD8,-0.09588702895989026,0.21675714600872886,-0.041458037,20449,-0.22372422,0.023530185,0.5211293806388938
B_plasma_IgM,-0.0712403683623527,0.11292633591193686,-0.0576799425,4834,-0.098694615,-0.0044703019,0.9260896472460436
EC_cycling,-0.04188794541675676,0.30437728662201635,-0.060827961,370,-0.3304083325,0.27796983000000003,0.395010395010395
Duct,-0.17059392534305634,0.23789681458110606,-0.07700989,1331,-0.162894595,-0.028222563,0.5677785663591199
Epithelial_cycling_G2M,-0.10733784642319369,0.1732498581210847,-0.08537485,8369,-0.16871719,0.0134084625,0.4608871082317506
Treg,-0.110456270978768,0.23552499511729824,-0.095608602,2362,-0.3133259175,0.0975657975,0.1607425854652479
Macrophage_MMP9,-0.14968779847214492,0.22709949245195105,-0.09968114,345,-0.26476926,0.024482986,0.3993933265925177
Cycling,-0.15355506832000887,0.2590964378040691,-0.11428967000000001,10918,-0.3139398925,0.05542455625,0.430357780012326
Colonocyte,-0.13087022318607025,0.24575940596199627,-0.126650515,31850,-0.29987066,0.077328436,0.6169544740973313
Rectum_fibroblast,-0.006526419724328594,0.38304931679348836,-0.13537647,1266,-0.34663321999999996,0.3846942825,0.4468599033816425
Lamina_propria_fibroblast_ADAMDEC1,-0.18999400444057185,0.3742764693074202,-0.13862815,12757,-0.56799984,0.1789232,0.7236996022771582
Enteroendocrine_progenitor,-0.2241853883952381,0.23543368370386444,-0.1553875,42,-0.23446263750000002,-0.0765604615,0.4651162790697674
Keratinocyte_inflammatory,-0.24538312680473373,0.21732923132054524,-0.15999019,169,-0.24952872,-0.12002738,0.8163265306122449
Goblet_progenitor,-0.2643234070768206,0.2805636218464711,-0.1776759,1165,-0.37839848,-0.03350963,0.4892456831263254
Enteroendocrine_MX,-0.28265144366627515,0.24284392699227061,-0.19496539000000002,596,-0.37866235000000004,-0.10944055375,0.4641812865497076
Macrophage,-0.2400362603182943,0.1907666955794044,-0.19747789,3731,-0.3635464,-0.111776535,0.5346318017145522
Ionocytes,-0.2947654056716418,0.20502740294055846,-0.21212634,67,-0.26998911999999997,-0.191636645,0.8935361216730038
DC_migratory,-0.31599180519163766,0.17358377184874357,-0.21653008,287,-0.461625725,-0.19805015999999998,0.5921938088829072
BEST4_enterocyte_colonocyte,-0.3110377826405808,0.24465126446906207,-0.22667557,10425,-0.4521594,-0.1257113,0.8819630275206835
Glial/Enteric_neural_crest,-0.22911764025,0.06322855245579335,-0.24201098999999998,1066,-0.2617718875,-0.208452885,0.7128948507139766
gdT_naive,-0.30351130850589225,0.18706244801775654,-0.243085355,1188,-0.310564225,-0.1870532225,0.0519207683073229
B_GC_I,-0.3403465643498313,0.23088940183125387,-0.24408422,889,-0.5310449,-0.15213703,0.6159177285937849
Macrophage_LYVE1,-0.24420398214385972,0.1335882589907716,-0.25491336,1276,-0.3209223575,-0.17672305500000002,0.5837696335078534
Mono/neutrophil_MPO,-0.44938342652173907,0.2165300237896706,-0.3165228,23,-0.53138825,-0.29279953000000003,0.3225806451612903
B_plasmablast,-0.3117561615802632,0.2864176342105988,-0.3372549,228,-0.57158975,0.0128660285,0.203125
Branch_A_interneuron,-0.270539947,0.1638771704228271,-0.35366908,5,-0.38170266,-0.21580681,0.5555555555555556
Crypt_fibroblast_PI16,-0.31742070076072,0.21651033132895406,-0.35944102499999997,20996,-0.4697509475,-0.1453080175,0.6982346694982745
Epithelial_stem,-0.3891116692982456,0.10824394531164401,-0.38291478,4389,-0.44497213,-0.3118545,0.3414716853170566
NK_CD16,-0.4507029635064935,0.186404575266923,-0.40610185,1925,-0.66403145,-0.26590058,0.7920792079207921
TA,-0.4604473600343772,0.10992702744267155,-0.45110664,18617,-0.5142759,-0.39651245,0.4769677805315785
Follicular_DC,-0.54402010625,0.1776778628825556,-0.532385915,24,-0.5992303125,-0.356785145,0.875
Glial_3,-0.4699622259671533,0.18306026561570682,-0.5434153,137,-0.5836579,-0.4648173,0.3485254691689008
Gland_fetal,-0.5838349426229508,0.133523424542706,-0.56023073,61,-0.7050872,-0.49684355,0.0769230769230769
Keratinocyte_fetal,-0.590556402,0.17837813110294337,-0.5717398300000001,20,-0.673475115,-0.4827109825,0.2083333333333333
Microfold,-0.6431015596428571,0.12248460124710467,-0.6352677499999999,56,-0.7229929,-0.593952445,0.2205882352941176
Enteroendocrine,-0.6652898291582915,0.13565413803984483,-0.6599686,796,-0.7818610850000001,-0.554500875,0.5828516377649325
T/NK_cycling,-0.6499774396307239,0.12063615484210141,-0.6664036,677,-0.74657947,-0.57294977,0.2665840049597024
Enteroendocrine_G,-0.7017014827142857,0.07572188263002806,-0.710694985,420,-0.739774675,-0.680832275,0.8747357293868921
Enteric_neural_crest_cycling,-0.7092519912499999,0.11156499660770582,-0.74585097,48,-0.79154685,-0.6353732675,0.1744186046511628
Seromucous,-0.555121272732644,0.26521514374401167,-0.75017695,1354,-0.7915197300000001,-0.25960848999999997,0.6109532420563162
B_preB,-0.810395104117647,0.06611717898051155,-0.7913974,119,-0.8245956,-0.771285825,0.0489662676822633
Neuroblast,-0.8008534809090909,0.11206737503096549,-0.83025044,55,-0.8542956399999999,-0.807626715,0.0709939148073022
B_proB,-0.8722011628125,0.03263130830631205,-0.87059045,32,-0.89494135,-0.8508407375,0.0925925925925925
Erythrocytes,-0.9144763818367347,0.02388278393131378,-0.9130364,49,-0.92549723,-0.8984678,0.053763440860215
