level_3_annot,mean,std,median,count,q1,q3,f_score
Mesothelium,0.937598996981132,0.02091895080914548,0.94422907,53,0.9422746,0.9488564,0.8918918918918919
DC_pDC,0.9183751971713148,0.1893315411919763,0.94151944,251,0.939239535,0.94280225,0.8344370860927153
Mast,0.8839804489198803,0.14013882582965317,0.90084359,5342,0.88665214,0.9118010049999999,0.9840323201231242
EC_lymphatic,0.8418893028761905,0.18324277335870073,0.8669183,3150,0.8520427225,0.878510675,0.8957043088680986
Paneth,0.789543163681592,0.25108964028328384,0.8477387,201,0.829584,0.85518664,0.9293044469783353
Enteroendocrine_X,0.7458456747365011,0.21020710399796083,0.8003622,463,0.778574365,0.80842003,0.971677559912854
Tuft,0.6719489322672269,0.35165995450948095,0.77956,1190,0.758163425,0.790602165,0.9001370332305584
Melanocyte,0.6627557485507246,0.42436769908463223,0.7763215,345,0.77601993,0.7765111,0.9611650485436892
ILC3,0.5979158327377306,0.403919077040515,0.7542517,2547,0.702016125,0.7665691349999999,0.6107199310245724
Enterochromaffin,0.6788384333115125,0.22843923480637335,0.73755515,886,0.7081657,0.751939625,0.937658388241257
Villus_fibroblast_F3,0.5546950978985781,0.40979124918981225,0.69803256,4501,0.63825506,0.7171553,0.8183672126833761
B_GC_II,0.6037655749329759,0.2794712072137175,0.6960328,373,0.6319924,0.7165017,0.5247181266261925
Vascular_smooth_muscle,0.639091641692064,0.19995916302105152,0.693854365,6560,0.6459651249999999,0.71966025,0.8995555890328412
Chief,0.5116653458424726,0.4470789771348578,0.664298615,2006,0.6487526,0.6732531375,0.9235171696149844
Myofibroblast,0.48644711424795695,0.37268913792819025,0.6638285500000001,1116,0.558835575,0.673621925,0.6505102040816326
B_plasma_IgG,0.5415094577475847,0.3470282366680691,0.650252,6521,0.61705977,0.67179215,0.9227318565914386
Oesophagus_fibroblast,0.45609961018607037,0.3790491533135932,0.6320945499999999,682,0.5229019225,0.6506091675,0.6044957472660997
Mucous,0.4804576918433735,0.35606732657372064,0.60784488,830,0.5811920475,0.616642025,0.5993239729589184
Pareital,0.46444233237728816,0.3478743292766005,0.59807822,1180,0.524719865,0.6132031475,0.8856453028972783
Keratinocyte_outer,0.5303174260943179,0.21707759226178291,0.5937339,14553,0.49102384,0.65667146,0.9174326959314424
DC_cDC1,0.3772521561830986,0.3839411409846241,0.575227525,426,0.4020971375,0.59685667,0.7875605815831987
Enterocyte,0.4814759529650328,0.19805592779806397,0.54264647,40195,0.41256312,0.6097799500000001,0.898044782484242
Mature_colonocyte,0.4673585802949107,0.21687970234412896,0.53872275,16194,0.4148561275,0.6038370625,0.7667875132343033
EC_arterial_1,0.3794009438887306,0.31542175555703345,0.5366529,3931,0.327551025,0.57800998,0.6474136967936543
B_naive,0.43611003234627144,0.2572433982371289,0.53556716,20429,0.41631606,0.5838034,0.8006995230524643
EC_venous,0.36226553044647314,0.3176418999293256,0.48594855000000003,22526,0.334353635,0.56303943,0.899248027829998
B_memory,0.39727089222233153,0.25298598440096465,0.47619402,20827,0.37764427,0.53430758,0.6019045472474222
NK_CD56bright,0.2920689758218358,0.4080417727407803,0.47392863,1961,0.3617341,0.51119673,0.5722956861044873
Monocyte,0.2837107938473758,0.34986197139970227,0.44775836,2858,0.221992395,0.5174293975,0.7527001035656162
Basal_cycling,0.3218661927178706,0.26963005259039435,0.44257408,2179,0.23048974,0.5117251,0.4769954431868293
Treg_IL10,0.2864248227934199,0.333756296247632,0.4424347,8047,0.18866355,0.514988465,0.3948442225529259
Pericyte,0.28009350232483404,0.33653165166442295,0.440843,2561,0.15751888,0.51088315,0.5892155695750506
