cluster,n_cells,percentage
AntiB,33,0.12
C-Hepato,5568,21.0
C-Hepato2,1665,6.28
CD4T,141,0.53
Chol,754,2.84
Chol--Stellate-Doublet,6,0.02
Chol-Doublet,137,0.52
CholMucus,41,0.15
Fibroblast,48,0.18
Hepato-Doublet,1037,3.91
I-Hepato,237,0.89
Kupffer,233,0.88
Kupffer-Doublet,157,0.59
Monocyte,249,0.94
P-Hepato,10201,38.48
P-Hepato2,2582,9.74
Prolif,268,1.01
Stellate,507,1.91
Stellate-Doublet,282,1.06
Tcell-Doublet,64,0.24
VSMC,34,0.13
aStellate,257,0.97
cvEndo,78,0.29
cvLSEC,1228,4.63
cvLSEC--Mac,10,0.04
cvLSEC-Doublet,319,1.2
lrNK,84,0.32
ppLSEC,289,1.09
