author_cell_type,mean,std,median,count,q1,q3,f_score
Neuroendocrine cells,0.9914356430056832,0.003968908241696436,0.9931439450840606,103,0.9909201490914759,0.9937505849650453,0.925925925925926
"Glial, Schwann cells",0.984781758287382,0.005826998119427338,0.9874005548263396,124,0.9826605649510343,0.9885875686059076,
"Alveolar epithelial cells, type 1",0.9829858394689069,0.009308341108233243,0.9873166798979982,144,0.9819694870264377,0.9883451867070123,
Ionocytes,0.9835063005734526,0.007486662431028031,0.9863127909450053,80,0.983062549469743,0.9877800143849744,0.7627118644067796
"Dendritic cells, plasmacytoid",0.9734750199669738,0.025071628181421075,0.980747866091424,66,0.976285529979731,0.9824638325600465,
Plasma cells,0.9472062557204213,0.09487491314012886,0.9583743356952164,396,0.9468569654637928,0.9620128633039214,0.8848314606741573
"Chondrocytes, cartilage cells",0.9197080972530843,0.047155981155961924,0.9368364090958399,290,0.9285564721469625,0.9415538811848211,
"Glandular, mucous cells",0.8224928598938787,0.09711704171180013,0.8651638542802692,206,0.8184810205949143,0.8824673501049336,
"Smooth muscle cells, airway-enriched",0.8212894602150197,0.1506011802959898,0.8574188983378659,468,0.8270078643890609,0.8767929125130441,
Mast cells,0.8418310578180587,0.030101145561410678,0.8471273472785931,1339,0.8204309941750335,0.8667196025166786,0.964898716561002
"T cells, interferon-stimulated",0.7984862398195156,0.12981031236818966,0.8378624592045004,270,0.7928071956597356,0.8619061656607023,
Pericytes,0.7848059371042091,0.15723593550835965,0.8339278916419534,455,0.7828230120785613,0.8544500864604778,0.74235807860262
"Endothelial cells, lymphatic",0.7999648058604323,0.07995305333881936,0.8320936195408813,603,0.7897144927432707,0.8495392826032172,
Neutrophils,0.7786900795236037,0.07227762111098518,0.794978774700807,4052,0.7574125201402059,0.8216264667648673,0.8163128191346413
"Macrophages, inflammatory, M1-like",0.7355797873944269,0.1423644183601983,0.7771207143551992,1254,0.7177790534341693,0.8036387067541239,
B cells,0.7432538200879748,0.09409598289520192,0.7581205955805947,3640,0.7130967557669914,0.7969481243488366,0.903471856917412
"Glandular, serous cells",0.6696308275112843,0.18029132967033212,0.7255340881910095,878,0.6558220638321508,0.7644701374502701,
"T cells, resident memory",0.6768169046081174,0.12214680903520152,0.7249613241092997,627,0.6361101511728864,0.7565932566899334,
"T cells, undefined",0.6979682788179219,0.110995459702762,0.7180840496372229,1010,0.6696224638304227,0.7518335819257584,
"Endothelial cells, smooth muscle-like",0.6360350835555774,0.2154345554737522,0.707226373736515,375,0.6091052911688792,0.7525107150270542,
"Fibroblasts, adventitial-enriched",0.6136720591766626,0.17863716471806326,0.6797555435716485,956,0.6204096495284668,0.7073524187478395,
Pre-ciliated (deuterosomal) cells,0.5796100826030252,0.18189424546675292,0.6497370673848304,438,0.5119687310095913,0.6916902956296779,0.7790697674418605
Hybrid cells,0.5214677298483559,0.32135515082918903,0.6455469564590604,685,0.548894766790591,0.6877634244736098,0.232406955956444
"Endothelial cells, arterial",0.466756558200632,0.33398179224411434,0.6047957715507437,146,0.4905451283629023,0.6639413535335239,
"Macrophages, non-inflammatory, M2-like",0.5275062125581299,0.18839844027249578,0.5998046481216358,1352,0.45612450811736105,0.6492711926642171,
Natural killer cells,0.564091977284638,0.11904651232072468,0.596640979290494,2003,0.5024089244314381,0.6497399615086157,0.6981309879063924
"Fibroblasts, alveolar-enriched",0.38483891882260995,0.3480649010061778,0.5595640633670655,169,0.3297404320192228,0.6093978370795782,
Basal cells,0.5160775802639566,0.13018663932190805,0.5548229015744804,1743,0.44689275658052363,0.6219861059950216,0.8340493433165582
Myoepithelial cells,0.5009498040521174,0.2835543512645745,0.5536615125817491,29,0.5334636019708312,0.5828606221270658,0.8024691358024691
Intermediate cells,0.47542299831313944,0.1851000899268736,0.5357903977240142,2064,0.4339464074154251,0.5885080873706398,0.7881332599118943
"Alveolar epithelial cells, type 2",0.40517728878010456,0.28092658777354845,0.521364871221073,4909,0.2206967902414238,0.6205089073711715,
"Smooth muscle cells, vascular enriched 2",0.4518401931748622,0.2213225159063219,0.5102561298215693,800,0.4152039067326885,0.5753445738228039,
"Endothelial cells, capillary, common",0.3404999925350748,0.2969734152728566,0.4755962813575422,3017,0.163214109032748,0.5681072614112955,
"Macrophages, M1-2 intermediate",0.38044881221228566,0.18357042933503073,0.4402357535217848,1246,0.3060788984087184,0.5091175426268921,
"Smooth muscle cells, vascular enriched 1",0.3094061409527867,0.26199268676851284,0.3963508466030638,2571,0.1886575857752875,0.5061467870428988,
"Fibroblasts, matrix and myofibroblasts",0.1560417598502237,0.41039258735856926,0.3805194395847014,277,-0.0278604721682602,0.4340423718512569,
"Fibroblasts, common subtype",0.23788236903560975,0.31205216461474766,0.37166720751595095,3260,0.07462300240872005,0.46990216752388947,
"Endothelial cells, venous; fenestrated",0.2798995903035011,0.25310948042825004,0.3531406032410389,4743,0.15058077741600595,0.48219281298512023,
"Ciliated cells, secretory-like",0.22947953291884393,0.25797178941773136,0.3299832637696861,2715,0.09420962320067724,0.4246373789273692,
Monocytes,0.21118886728788408,0.29684212697865153,0.3135838723185342,4935,0.0438056435720496,0.44913494715866964,0.792844386969641
Terminal airway-enriched secretory cells,0.21380913053985373,0.2433163610811735,0.2957135905162783,554,0.08248985122665399,0.4140548701101942,0.6593406593406593
"T cells, central memory and naïve",0.18166084743039568,0.30865393517417106,0.2839841086349499,8947,-0.02286951531982675,0.43734851422831833,
"Endothelial cells, capillary, aerocyte-enriched",0.21723735585277545,0.2782273535025319,0.26902757378246644,2634,0.03078634097514645,0.46523726212221883,
"Ciliated cells, major (common) subtype",0.181642492247852,0.23838921892147313,0.25639949895317304,6194,-0.008432500519555625,0.3831791923471762,
"Dendritic cells, conventional (myeloid)",0.0631353662259305,0.33299384157942374,0.1775487484940707,1317,-0.2300878582015812,0.3681893671479183,
T-NK intermediate cells,0.0979860734154768,0.2465517577733165,0.13580852123191575,3806,-0.07205779311828865,0.3001914903941891,0.4285134037367993
"Secretory cells, mucous",0.06113323683461909,0.1590806625809495,0.1035877179439232,1169,-0.0696589906819642,0.2046999670267296,
"CD8+ enriched T, common subtype",-0.0035977762343569696,0.29867638376073097,0.0178779381670126,2957,-0.2622828226835991,0.2816879132302357,
"Secretory cells, major (common) subtype",-0.06359472453382434,0.23355612354850386,-0.0144362268116474,3572,-0.23177582404203992,0.1337279323055156,
Undetermined or mixed,-0.4662763997448574,0.24407310850214217,-0.3758703404475955,388,-0.6088914648144139,-0.29775356196024905,0.4013157894736842
