cluster,n_cells,percentage
B cells,1392,0.72
C-TAL,18324,9.42
CCD-IC-A,3332,1.71
CNT,8110,4.17
Classical monocytes,534,0.27
DC,1828,0.94
DC2,393,0.2
DCT,9757,5.02
DTL,6432,3.31
EC-AEA,1121,0.58
EC-AVR,2698,1.39
EC-DVR,3000,1.54
EC-GC,3631,1.87
EC-LYM,246,0.13
EC-PTC,8242,4.24
FIB/aFIB,2419,1.24
IC-A,5029,2.59
IC-B,2395,1.23
IMCD,6351,3.27
M-FIB,5204,2.68
M-TAL,7381,3.79
Myeloid,1958,1.01
NK cells,2014,1.04
Non-classical monocytes,1093,0.56
PC,12262,6.3
PEC,1050,0.54
PT,19500,10.03
PT-S1/2,9173,4.72
PT-S3,2028,1.04
Podocytes,1984,1.02
T cells,6663,3.43
T/NK,2474,1.27
VSMC,546,0.28
VSMC/P,3361,1.73
aPT,10968,5.64
aTAL,6110,3.14
dATL,3750,1.93
dC-IC-A,1784,0.92
dM-FIB,698,0.36
dPT,7996,4.11
dVSMC,1273,0.65
