cluster,n_cells,percentage
basal1,6599,15.33
basal2,10014,23.26
spinous,16939,39.34
mitotic,1738,4.04
granular,209,0.49
folicular,3294,7.65
channel,737,1.71
WNT1,1759,4.09
melanocyte,1366,3.17
immune,399,0.93
