Re-annotation,mean,std,median,count,q1,q3,f_score
channel,0.848449093256445,0.08553920247265283,0.85793656,737,0.83807796,0.8751722,
immune,0.7950466831077695,0.09159142262391949,0.8318321,399,0.78622105,0.85367388,0.8633921719109747
granular,0.7933205448325359,0.06670886941916605,0.8213343,209,0.76048774,0.84688354,
melanocyte,0.6332107901493412,0.18413165571843043,0.69810412,1366,0.6244174225,0.7319619399999999,0.7574991573980452
WNT1,0.5938383270071916,0.19795938001151675,0.677776,1759,0.59847558,0.7169966999999999,
basal2,0.45094839125840325,0.16338161138423057,0.50420955,10014,0.37184066,0.5754115375,
spinous,0.3940389727299563,0.2959558291819717,0.489908,16939,0.31308621999999997,0.5998068249999999,
folicular,0.39147950863889197,0.19629318418243766,0.449271715,3294,0.3104181525,0.5301258875,
basal1,0.33529405543305196,0.18343111861208164,0.3781257,6599,0.240994975,0.475930705,
mitotic,-0.11411930469426353,0.13294126986277968,-0.09888761,1738,-0.2006361475,-0.01067952675,
