,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000162244,0.0,0.0,0.0,0.0,0.0,0.0,1.1194087,2.9678564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1864293,0.0,0.0,0.0,0.0,0.0
ENSG00000130755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3924584,1.8718393,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149591,0.0,0.0,0.0,0.0,0.0,0.0,1.4405819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1776485,0.0,0.0,0.0
ENSG00000105193,3.0637722,3.2278872,0.0,3.1251278,2.6890318,2.5074797,2.7456546,0.0,2.387057,2.7923574,2.467656,2.1730607,2.8317087,2.7929208,2.8907495,0.0,3.0275393,2.7403724,0.0,2.9548297,3.2273626,0.0
ENSG00000164587,3.4535446,3.118267,2.6852047,2.8883524,0.0,0.0,2.9481812,3.8511596,0.0,0.0,0.0,0.0,0.0,0.0,2.2740207,0.0,0.0,0.0,3.1168704,0.0,2.9855301,0.0
ENSG00000142192,0.0,0.0,0.0,0.0,2.6858473,2.8109076,0.0,2.9678564,1.669483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4754899,0.0,0.0
ENSG00000185650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452557,2.7403724,0.0,0.0,0.0,0.0
ENSG00000099860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.624107,0.99674803,0.0,0.0
ENSG00000051108,3.0637722,2.5438104,3.1366427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531743,0.0,0.0
ENSG00000164266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5866008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167996,4.841611,0.0,0.0,4.3567586,0.0,0.0,1.1194087,2.8545496,2.983749,0.0,0.0,0.0,4.9237604,3.2697105,4.545846,0.0,0.0,4.9482307,3.0397773,0.0,0.0,0.0
ENSG00000187109,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6788144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163466,0.0,0.0,0.0,1.9918563,0.0,0.0,1.3350308,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,2.524212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065978,0.0,0.0,0.0,0.0,0.0,0.0,1.2832137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000241343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96247464,0.0,0.0,0.0,0.0,2.4042833,0.0
ENSG00000204482,3.4535446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,2.7948995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1931264,0.0,0.0,0.0,0.0,0.0
ENSG00000126267,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3071427,0.0,2.6750803,2.4153492,1.8640168,1.0786747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861229
ENSG00000162407,0.0,0.0,0.0,0.0,0.0,2.8287072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115461,0.0,0.0,0.0,0.0,0.0,3.4298832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166598,0.0,2.542726,2.5929074,0.0,0.0,0.0,0.0,0.0,2.3728223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9801917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2924778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152291,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204525,0.0,0.0,0.0,2.2112148,0.0,2.885944,0.0,0.0,0.0,0.0,2.2670116,0.0,2.2874265,0.99510837,2.3408122,2.1942625,0.0,3.620698,0.0,2.47761,2.6776004,0.0
ENSG00000231500,3.0637722,3.009635,2.3942668,2.9963024,0.0,0.0,0.0,3.0145464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5400991,3.0454752,0.0
ENSG00000239839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2282376,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122026,3.7332869,3.9736223,2.6321208,2.9218016,0.0,0.0,2.6938374,4.031592,2.1600595,0.0,3.0196285,0.0,2.5210495,0.0,2.782014,0.0,0.0,0.0,3.0250554,3.516386,3.7372792,0.0
ENSG00000143546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2850447,0.0,3.0579545,6.8551407,0.0,3.4119895,0.0,0.0,0.0,0.0
ENSG00000117519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99674803,0.0,0.0
ENSG00000133321,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3588278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9579201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96247464,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145592,0.0,2.7409391,0.0,2.671946,0.0,0.0,2.668189,0.0,1.5973887,0.0,2.194031,0.0,0.0,0.0,2.0497425,0.0,0.0,0.0,0.0,2.6434894,2.6478302,0.0
ENSG00000116016,0.0,0.0,0.0,0.0,0.0,2.6108298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000261371,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148303,0.0,2.7110772,0.0,2.55267,0.0,2.0965147,1.3331584,0.0,2.1581953,2.4188905,2.4635904,2.1005955,2.3429363,2.450374,2.0652225,0.0,0.0,2.614342,0.0,2.404561,2.7862883,0.0
