cluster,count
Loop of Henle,8434
Epithelial cell,4396
Intercalated cell,4392
Endothelial cell (APC),2657
Dendritic cell,930
Macrophage,845
T cell,299
Smooth muscle cell,244
Monocyte,157
B cell (Plasmocyte),153
Ureteric bud cell,102
Endothelial cell,84
Mast cell,68
B cell,66
Fetal epithelial progenitor,40
Neutrophil,24
Stromal cell,16
Sinusoidal endothelial cell,11
Endothelial cell (endothelial to mesenchymal transition),10
Proximal tubule progenitor,7
Enterocyte progenitor,5
Antigen presenting cell (RPS high),5
