cluster,count
Hepatocyte,3498
abT cell,1115
Inflammatory Macs,822
NK-like,520
LSEC 1,340
gdT cell 2,338
gdT cell 1,333
Non-inflammatory Macs,326
"LSEC 2,3",301
Plasma,279
Portal endothelial,238
B cell,140
Cholangiocyte,121
Erythroid,53
Stellate,20
