CellType,mean,std,median,count,q1,q3,f_score
Cholangiocyte,0.9123986023140496,0.020241260631744144,0.9185709,121,0.9008052,0.92713225,0.9406952965235174
Stellate,0.8506841995000001,0.04965471258620986,0.86829735,20,0.8377403375,0.8864563675,0.859375
Erythroid,0.7609940922641509,0.08671073456440029,0.79571444,53,0.7451917,0.8218865,0.8597285067873304
B cell,0.7049781580714285,0.12556352605032248,0.748984885,140,0.6840574925,0.7902255650000001,0.7954545454545454
Non-inflammatory Macs,0.6800895185766871,0.12755292658337006,0.727066525,326,0.6579032475,0.7599170125,0.848585690515807
gdT cell 1,0.6117731571471472,0.10124113561746848,0.63991374,333,0.5765824,0.6847947,0.7763975155279503
Inflammatory Macs,0.42367692758590025,0.30607615024230045,0.580450385,822,0.314414035,0.62814055,0.8211192538307794
gdT cell 2,0.4761232115727811,0.2165744849661157,0.57747593,338,0.3541496675,0.6309147900000001,0.7864674868189807
Plasma,0.5377844534193548,0.14817771731239096,0.5713656,279,0.47759295,0.63816552,0.7159487776484285
NK-like,0.5045524120455769,0.16629804506559562,0.548481125,520,0.4594861925,0.62066085,0.7494918699186992
Portal endothelial,0.4231912784260504,0.24579449128482028,0.540558785,238,0.2971099675,0.5944305750000001,0.7866666666666666
Hepatocyte,0.4427518847035449,0.24775133584474276,0.5214920000000001,3498,0.37351830750000004,0.61145995,0.9692956050571944
abT cell,0.33809081585704037,0.2893386357689849,0.4292105,1115,0.225673905,0.552162125,0.8278226794024002
"LSEC 2,3",0.2592994376046512,0.2993868924840631,0.36183643,301,0.16619585,0.47222236,
LSEC 1,0.1873196974061765,0.3526782271424732,0.31936202999999996,340,0.012547087,0.44303031000000004,0.8060747663551402
