cluster,n_cells,percentage
Hepatocyte,3498,41.43
LSEC 1,340,4.03
"LSEC 2,3",301,3.56
Portal endothelial,238,2.82
Cholangiocyte,121,1.43
Stellate,20,0.24
Inflammatory Macs,822,9.73
Non-inflammatory Macs,326,3.86
abT cell,1115,13.2
NK-like,520,6.16
gdT cell 1,333,3.94
gdT cell 2,338,4.0
B cell,140,1.66
Plasma,279,3.3
Erythroid,53,0.63
