,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythrophagocytic macrophages,ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,migDC,pDC
LINC01128,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.8494183201538889,0.0,0.8153472401593861,0.853280390563764,0.8141215145587921,0.8090810650273373,0.0,0.0,0.0,0.0,0.0,0.0,0.8613414748718864,0.0,0.0,0.0,0.0,0.0,0.8616588899963781,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8590433456395802,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9462324710268724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9235755754144568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210526315789473,0.0,0.9480246023127907,0.0,0.0,0.0,0.0
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978512958476418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842105263158,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.8262204261202561,0.0,0.8467979791917299,0.8594666735122078,0.0,0.8206605738715121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8358491282714041,0.8503551702750357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839431682699605,0.0,0.0,0.0,0.0,0.8157894736842105,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.9618437164708188,0.0,0.0,0.9210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9226961841708735,0.9633971703679938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.6624190728915366,0.6614985073867597,0.7186057332314943,0.7299734557929792,0.631578947368421,0.6659280359745026,0.6379423612042477,0.0,0.7052367674676996,0.0,0.0,0.0,0.6543876309143869,0.0,0.0,0.0,0.0,0.0,0.6656634352709118,0.6902706701504556,0.8038191356157002,0.632045567035675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373592066137415,0.6773375617830377
