Manually_curated_celltype,mean,std,median,count,q1,q3,f_score
pDC,0.9688409101587302,0.008859649562778486,0.9715363,63,0.9649638,0.97512255,0.8823529411764706
Mast cells,0.9308246488456865,0.018421207974183385,0.93612343,823,0.9226198,0.94455108,0.9906473049470834
DC1,0.755549788443038,0.147961296580207,0.80262154,79,0.7615223200000001,0.82233803,0.9021406727828746
Naive B cells,0.6895361913924051,0.23252801016463026,0.76997435,79,0.71587332,0.79856422,0.7582938388625592
Nonclassical monocytes,0.5803051093425532,0.29816142673074963,0.7169276849999999,752,0.5871937625,0.74411242,0.7581227436823105
Plasmablasts,0.5978379533333333,0.13317510653936349,0.65257633,36,0.5756316025,0.672307975,0.78125
Tregs,0.427984002078125,0.4091878412093059,0.6301848999999999,256,0.45339367,0.66841315,0.6576492537313433
Progenitor,0.4934614277777778,0.31115107992210855,0.61791492,18,0.5652318625,0.644207085,0.8870967741935484
Intermediate macrophages,0.521175331199841,0.2152118125370571,0.60550815,2139,0.47783560999999997,0.654381245,0.740710692844394
Cycling T&NK,0.4186553430231481,0.3647388214043008,0.60189575,216,0.293660125,0.666057975,0.6366459627329193
NK_CD16+,0.5274068839783471,0.1952086540120951,0.5832873,2771,0.473932275,0.6500549950000001,0.8238965670976371
NK_CD56bright_CD16-,0.497259112556277,0.22282645448555824,0.5677128499999999,462,0.4622832325,0.6347415925,0.5629370629370629
Intestinal macrophages,0.48449800285714284,0.2085494111948465,0.5630828000000001,42,0.44034952,0.6023515575,0.4591836734693877
MAIT,0.24734058963709676,0.43613350496571585,0.4976096,124,-0.048000984999999996,0.55378092,0.4424778761061947
Classical monocytes,0.3741292968435355,0.29160261783144764,0.49117482,3380,0.284705135,0.564182895,0.8092224231464737
migDC,0.15730450970238094,0.47330424207082217,0.4605015,84,-0.2648576125,0.50126398,0.8680555555555556
Tem/emra_CD8,0.3270882628922222,0.32529783876290325,0.45258966,945,0.20157817,0.5725663,0.6143580303727566
Tgd_CRTAM+,0.29248335615202703,0.33788225136997807,0.432466985,148,0.15161381000000002,0.542197005,0.380859375
Tnaive/CM_CD4,0.3066737874181818,0.3031889594757499,0.41886574499999996,176,0.2210166825,0.512136375,0.506993006993007
ABCs,0.298342928,0.3383774853393215,0.39813758,10,0.33651569000000003,0.5305996075,0.6818181818181818
Trm/em_CD8,0.19767887016410074,0.3336624462807934,0.33713248,417,0.05209001,0.44139096,0.591182364729459
Trm_Th1/Th17,0.1781337135441631,0.3465444460559106,0.31804694,1876,-0.08420427124999999,0.4640781425,0.5608878224355129
Trm_gut_CD8,0.19588061808536586,0.31523111023115435,0.30118118,82,0.0729941175,0.42268872749999997,0.2156862745098039
Tnaive/CM_CD8,0.04926340153846154,0.41349463409740095,0.28282687,39,-0.375074715,0.38912948,0.5789473684210527
MNP/T doublets,0.05514256438281797,0.37263562784175885,0.22971976,1313,0.028433612,0.29986104,0.902986570455001
Plasma cells,0.09426670206060606,0.2650320409106911,0.20298827,33,-0.11146275,0.33208343,0.6521739130434783
Memory B cells,0.07200368360902255,0.2795251123037288,0.20289825,133,-0.12578622,0.28509876,0.5602240896358543
Alveolar macrophages,0.07759218848364031,0.29144556067760824,0.17994453500000002,16976,-0.10871536650000001,0.32031536,0.9126686656671664
ILC3,-0.064532748925,0.3765984299570017,0.097072467,40,-0.23655197,0.211072275,0.2840909090909091
Teffector/EM_CD4,-0.037500898889545935,0.1775187004880047,0.033755124,947,-0.10753346,0.08991925,0.5280357757137943
Trm_Tgd,-0.06209828582352942,0.30275255405065654,-0.030472819,17,-0.24086855,0.19801742,0.4545454545454545
Tfh,-0.12817706210000002,0.15944528792693677,-0.100205295,79,-0.171276045,-0.0262658045,0.1646090534979424
Tnaive/CM_CD4_activated,-0.04591535444444445,0.25975215626439047,-0.14497213,9,-0.28510794,0.19644135,0.3846153846153846
DC2,-0.29582840644036473,0.28237019589804513,-0.2519776,329,-0.49954233,-0.0528008,0.7008244994110718
Cycling,-0.41797377384999995,0.18064667982881238,-0.36743127,200,-0.4945803875,-0.26860751250000003,0.6322674418604651
MNP/B doublets,-0.49572848699999994,0.19667727839874682,-0.42637545,10,-0.53722338,-0.367871935,0.5769230769230769
Erythrophagocytic macrophages,-0.509569032,0.12320058335815985,-0.529849765,40,-0.584075155,-0.43067898000000004,0.1923076923076923
T_CD4/CD8,-0.5513134473387097,0.17636458048511533,-0.57227405,248,-0.682354975,-0.427341225,0.2560240963855422
T/B doublets,-0.6294774766666666,0.1141264852559887,-0.57987323,24,-0.6850894249999999,-0.560728925,0.5769230769230769
