,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythrophagocytic macrophages,ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,migDC,pDC
CSF1R,0.0,0.33890414,0.0,0.14964227,0.0,0.0,0.93436444,0.0,0.0,0.0,1.574537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2935138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCOF1,0.32617503,0.0,0.0,0.06801271,0.0,0.3363009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14805406,0.43445003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD74,5.118576,4.075797,2.2193832,4.2719545,1.223243,5.332369,4.9441633,3.4990273,1.719732,2.9741793,4.458039,1.3730736,4.0480957,3.04113,0.0,4.282444,1.079645,1.3316483,4.565113,3.4274154,2.3196592,1.9677346,2.906518,2.0383325,0.0,0.8534399,1.5445701,0.0,1.6663414,0.0,0.7899878,0.0,1.495666,2.0084305,1.1779459,1.4269713,1.3862574,4.8655,4.3461986
RPS14,3.704866,3.1167026,3.4554038,2.7928476,2.9532182,3.875679,3.4891808,3.254294,3.7340972,2.6754997,2.870278,3.6566815,3.8161712,3.5050797,3.696171,3.9438615,3.251178,3.5734038,3.6235335,3.5092096,2.8031793,3.3518827,4.274413,3.6421957,2.205445,4.090857,3.6724153,3.7172377,3.6083329,4.3269663,3.994764,4.1302133,3.5748875,3.6641464,3.4182687,3.616304,3.5263126,3.6148326,3.5055497
RBM22,0.0,0.0,0.0,0.0,0.44534254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11753009,0.33035773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30505723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9079722
GPX3,0.0,0.68392646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6763794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIP1,1.1641898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53935385,0.0,0.156977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4757744,0.0
ANXA6,0.6385286,0.0,0.0,0.0,0.92998177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53118545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36390883,0.50326145,0.0,0.0,0.0,0.0,1.0410442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1972504,0.87189984,0.0
CCDC69,0.17905611,0.0,0.7519829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020379,0.267614,0.2692669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9159009
