cluster,count
Tnaive/CM_CD4,33865
Memory B cells,28915
Trm_gut_CD8,25519
Classical monocytes,21847
NK_CD16+,20591
Teffector/EM_CD4,19869
Alveolar macrophages,17238
Trm_Th1/Th17,16099
Tfh,15293
Tem/emra_CD8,14612
Naive B cells,13998
Trm/em_CD8,12674
Tregs,12143
NK_CD56bright_CD16-,8902
Tnaive/CM_CD8,7801
Trm_Tgd,6887
Plasma cells,6270
T_CD4/CD8,5631
MAIT,4849
Tgd_CRTAM+,4690
Tnaive/CM_CD4_activated,3748
Mast cells,3291
MNP/T doublets,2508
Nonclassical monocytes,2420
Intermediate macrophages,2236
Cycling T&NK,2126
Erythrophagocytic macrophages,2103
Plasmablasts,1710
Progenitor,1518
T/B doublets,1458
ILC3,1312
ABCs,1209
Cycling,1161
DC2,1147
MNP/B doublets,744
pDC,713
Intestinal macrophages,599
Erythroid,445
GC_B (I),369
DC1,356
Megakaryocytes,317
migDC,262
GC_B (II),203
Pre-B,75
Pro-B,39
