Curated_annotation,mean,std,median,count,q1,q3,f_score
Lymphatic endothelial cells,0.8426572812513484,0.0454675273237895,0.86131805,927,0.83279893,0.8738752999999999,0.8980509745127436
Glia,0.7902803648182884,0.05540742333604422,0.8047994,853,0.76390356,0.83080333,0.897400055912776
Mast cells,0.7741835705055659,0.11409450376275987,0.7975222,2156,0.7447098125,0.824216,0.9616795012834616
Tuft cells,0.7186982053812223,0.17053817242244387,0.7515389,1587,0.7087835499999999,0.7720357,0.9247793439599524
ILC,0.6349783195721439,0.18845267413697883,0.71123064,709,0.60080737,0.74969137,0.4861660079051383
Cycling B cells,0.5312453509016394,0.26621699745654237,0.6474798,183,0.559297225,0.67644465,0.7793345008756567
Stromal 2,0.5702566095133597,0.20644041700610266,0.646875,2283,0.533095,0.713751265,0.8158182480865023
Paneth,0.3711726968731105,0.4780108722129881,0.6029169000000001,2752,0.5046636625,0.6289113900000001,0.9090059790732437
Plasma cells,0.5220076280469601,0.2128370629204157,0.59290865,46348,0.475597745,0.6526296375,0.941320966160373
Stromal 3,0.4938773340918147,0.21450048631133792,0.59245926,3951,0.411555885,0.6386164,0.8909527509004873
gamma-delta T cells,0.45859492175979283,0.25071197875299395,0.57013387,4006,0.40787183,0.613171475,0.7339449541284404
Follicular B cells,0.332087976690938,0.39283814795922006,0.52181145,3790,0.28030185,0.581353,0.6578699340245052
Cycling/Secretory TA,0.43256959152930924,0.22555690452975652,0.51539093,7345,0.35080886,0.58603126,0.6271877122407398
Follicular helper T cells,0.42905424826527516,0.2058822862365206,0.50220025,527,0.359287635,0.5806972,0.2755905511811024
Venous endothelial cells,0.4324857441233938,0.18533647882101156,0.4758038,2039,0.360077585,0.573049535,0.8554589832122872
Stromal 1,0.3494541947763311,0.2815864344800987,0.4626741,5146,0.23070384,0.5593545575,0.8366571108064315
Intestinal macrophages,0.3557405768444114,0.21191674286031592,0.43445343,807,0.28784386500000003,0.503362135,0.4806240563663815
Arterial endothelial cells,0.2878430837734167,0.28484643875631227,0.43377316,1279,0.143696025,0.49398265,0.6911910260640053
BEST4+ enterocytes,0.2839690283559963,0.3165696620442361,0.43348438,4903,0.20352462500000001,0.4895984,0.8391550690357006
Capillary endothelial cells,0.3791916463599641,0.17160831830181847,0.41939346499999997,1114,0.31865142,0.499942655,0.7738481505515898
Immature goblet cells,0.27816336667717134,0.31074238712669083,0.40686689499999995,2708,0.223814375,0.486597225,0.5942832764505119
Pericytes,0.2996886478013605,0.2356295957472939,0.40215318,1154,0.23212049,0.4591269775,0.8022275737507526
Myofibroblasts,0.28859479847736186,0.20804559643658513,0.369729,561,0.18731263,0.4399572,0.7450856055802156
Enterocytes,0.1857755856951758,0.2996046976897881,0.32821828,13545,-0.06352133,0.4367732,0.8871995889863566
Stem cells,0.20449447453357186,0.20322275608104978,0.2526223,1663,0.077522115,0.37262545999999996,0.6840815075838823
Tem/Effector helper T cells,0.1566703796292298,0.3013299376047728,0.24659153,1584,0.02675254825,0.38035409750000004,0.1929151624548736
Type 1 helper T cells,0.13030641066683016,0.2052406863902926,0.21589452,3115,0.024251646,0.28333445999999995,0.3935807130927311
Goblet cells,0.049694627291883633,0.3440447312306014,0.19942869,5431,-0.055649866,0.287749015,0.682574163329034
Enteroendocrine cells,0.08035490461971831,0.19894752090512416,0.17996345,213,-0.023476642,0.22287071,0.8706786171574904
Naive B cells,0.09647029334788937,0.19917841024197394,0.1722304,1374,0.0162140265,0.23377222749999998,0.742546926757453
DC1,0.12052747895832727,0.2225757923516627,0.15920214,275,-0.066365937,0.328587875,0.797011207970112
Germinal center B cells,-0.05074707604427313,0.25692456046616563,0.07227582,227,-0.15847497,0.14224877,0.5202821869488536
DC2,0.0006945940211799406,0.20829372650915234,0.024447344,1017,-0.15742218,0.18238431,0.5461264713933753
Tem/Trm cytotoxic T cells,-0.06703886421211229,0.30130279243458574,-0.00735928,2173,-0.3226685,0.21832559,0.6190212117010953
Memory B cells,-0.05370834256168033,0.19267503322178658,-0.0375862885,2584,-0.2147403825,0.1289103675,0.4914860681114551
Tcm/Naive helper T cells,-0.12601713406803047,0.3683952018786238,-0.038314503,3093,-0.46816745,0.23324159,0.246388689683434
NK cells,-0.06352756558009331,0.2764500649405718,-0.048097264,643,-0.25392489,0.182465605,0.3857677902621723
Colonocytes,-0.1646574988843286,0.32975573267494357,-0.12791303,27948,-0.51597532,0.1680178875,0.7515150091605205
Monocytes,-0.1699742422145607,0.1796316293699649,-0.155141625,560,-0.30753136000000003,-0.020149556,0.562953995157385
Macrophages,-0.21873635443796086,0.26092998201532613,-0.27475983,4291,-0.44266261500000004,0.014175295000000001,0.729517130265839
Type 17 helper T cells,-0.3236041489689909,0.13176291059741127,-0.28564289,5708,-0.373990685,-0.23552787,0.5217579562675904
TA,-0.2987208104604668,0.2348546907920472,-0.28647886,75596,-0.47522767,-0.1275448425,0.6691803612164539
Trm cytotoxic T cells,-0.4715094749388213,0.1383777177077026,-0.48347855,12488,-0.55070072,-0.4012654725,0.4687019674146941
Regulatory T cells,-0.4789704653913707,0.1307393433786845,-0.48496586,2619,-0.566946,-0.38651699,0.161124442920809
