,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
PHF21A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC37,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
ALPK3,0.0,0.45454543828964233,0.45454543828964233,0.45454543828964233,0.0,0.45454543828964233,0.0,0.45454543828964233,0.0
FABP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL35,0.476190447807312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124999403953552
ENAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVPR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP7,0.0,0.6818181574344635,0.6818181574344635,0.6818181574344635,0.0,0.0,0.0,0.0,0.0
CCDC25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPBP1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX17,0.17045453935861588,0.46370966732501984,0.46370966732501984,0.46370966732501984,0.17045453935861588,0.17045453935861588,0.0,0.46370966732501984,0.1041666716337204
SPOCK1,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0
BIVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX1,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.0,0.0
ASH1L,0.0,0.11363635957241058,0.5357142612338066,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058
PARK7,0.11363635957241058,0.5059523582458496,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.3515624552965164,0.11363635957241058,0.0
HCFC1,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0
FGFBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD17B4,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTR,0.04098360240459442,0.9332549571990967,0.5537749230861664,0.3472222313284874,0.0,0.08802816271781921,0.0,0.6963153779506683,0.29965754598379135
CLCN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997901916503906,0.0
DMXL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRC6,0.0,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.2083333432674408,0.28409089893102646,0.0
EPHX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH1,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0
TULP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP5,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222089767456,0.0,0.0
RAI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EML6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RND1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000250462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAG1,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.0
SLMAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
C5orf24,0.0,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.5059523582458496,0.11363635957241058,0.11363635957241058,0.3515624552965164
TMEM30B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
ZMYND8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINE1,0.0,0.0,0.0,0.0,0.0,0.8626760467886925,0.9226190745830536,0.0,0.0
GBE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX18,0.0,0.0,0.0,0.0,0.0,0.98591548204422,0.0,0.0,0.0
HEPACAM2,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0
PGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGDH,0.8536585569381714,0.0,0.45454543828964233,0.0,0.0,0.0,0.45454543828964233,0.45454543828964233,0.45454543828964233
SSR4,0.0,0.0,0.0,0.7954545170068741,0.0,0.0,0.0,0.7954545170068741,0.0
ZFP36,0.0,0.0,0.0,0.0,0.6818181574344635,0.6818181574344635,0.0,0.0,0.7812499850988388
PPP6R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTPCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHCHD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZC3H15,0.0,0.0,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.3125000149011612,0.0
AUTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL18,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.0,0.0,0.34090907871723175,0.34090907871723175,0.0
RBMX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF2,0.0,0.0,0.0,0.0,0.0,0.0,0.416666641831398,0.0,0.416666641831398
ARL16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
SYNE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLGA2,0.0,0.45454543828964233,0.45454543828964233,0.45454543828964233,0.0,0.0,0.45454543828964233,0.7142857015132904,0.0
MYH9,0.4268292784690857,0.0,0.0,0.0,0.4901960864663124,0.4901960864663124,0.7142857313156128,0.0,0.238095223903656
TRAPPC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPN2,0.45454543828964233,0.0,0.45454543828964233,0.0,0.7142857015132904,0.45454543828964233,0.45454543828964233,0.0,0.0
IDH3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAUS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC8C,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
CNOT2,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0,0.0
CHLSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHX15,0.0,0.0,0.0,0.0,0.6249999776482582,0.6249999776482582,0.6249999776482582,0.0,0.520833358168602
ASPH,0.3571428433060646,0.3571428433060646,0.3571428433060646,0.11363635957241058,0.11363635957241058,0.0,0.5645161122083664,0.11363635957241058,0.11363635957241058
POLR2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
