cellular_classification,mean,std,median,count,q1,q3,f_score
mesenchymal,0.8772334955128205,0.031048474216888784,0.88638967,78,0.8611069425,0.9010044150000001,0.9605911330049262
pp,0.8281589477551021,0.14532196340294906,0.84476337,98,0.8176890475,0.87089795,0.945945945945946
endothelial,0.7471053880952381,0.3788363857340356,0.8325274,21,0.8108875,0.8468386,1.0
delta,0.7055748460103627,0.09628512488726376,0.73414123,193,0.66238177,0.77411985,0.9833506763787722
acinar,0.6983673737442921,0.0659778867875012,0.7087747,219,0.654486895,0.74984277,0.9530791788856304
beta,0.535281648890625,0.22584436463595703,0.6039322,448,0.49981592499999994,0.66322033,0.927858439201452
alpha,0.4754566590979064,0.1724182264761576,0.527933815,812,0.4112645625,0.60087258,0.9942614770459082
duct,0.40845275657154473,0.2627860691468597,0.49681461000000005,246,0.37256468,0.5665324375,0.8932346723044398
unclear,-0.63474094875,0.1337557999156284,-0.60142091,8,-0.7203609750000001,-0.52399865,0.625
