,cellular_classification,silhouette_score
D31.2_4,duct,-0.0042297104
D31.2_5,delta,0.7212624
D31.2_6,acinar,0.68456656
D31.2_7,alpha,0.59577924
D31.2_9,alpha,0.61590576
D31.2_10,duct,0.46812546
D31.2_11,alpha,0.3316385
D31.2_12,delta,0.72178894
D31.2_13,alpha,0.17675756
D31.2_14,alpha,0.19967252
D31.2_15,acinar,0.6129787
D31.2_17,duct,0.53424984
D31.2_18,acinar,0.65207285
D31.2_19,mesenchymal,0.88100654
D31.2_20,duct,0.47396928
D31.2_21,duct,0.54568
D31.2_22,alpha,0.3200822
D31.2_23,beta,0.5034927
D31.2_24,mesenchymal,0.88988674
D31.2_26,acinar,0.64414227
D31.2_27,beta,0.68743
D31.2_28,beta,0.394423
D31.2_29,delta,0.79960614
D31.2_30,acinar,0.79986286
D31.2_31,alpha,0.34872314
D31.2_32,alpha,0.550946
D31.2_33,alpha,0.5188757
D31.2_34,beta,0.54920727
D31.2_35,duct,0.39870924
D31.2_36,delta,0.77405524
D31.2_37,duct,0.5474015
D31.2_38,acinar,0.68722755
D31.2_39,alpha,0.6171271
D31.2_40,duct,0.588166
D31.2_41,duct,0.19235088
D31.2_43,beta,0.66314715
D31.2_44,alpha,0.46103036
D31.2_45,alpha,0.6608769
D31.2_46,beta,0.6911885
D31.2_47,beta,0.39512315
D31.2_48,beta,0.65115553
D31.2_49,beta,0.40232474
D31.2_50,alpha,0.4468739
D31.2_52,beta,0.6936114
D31.2_53,acinar,0.74612886
D31.2_54,duct,0.41129208
D31.2_55,pp,0.7902984
D31.2_56,alpha,0.6553952
D31.2_57,alpha,0.562125
D31.2_58,beta,0.6610092
D31.2_59,duct,0.5082171
D31.2_60,pp,0.86364
D31.2_61,acinar,0.7685163
D31.2_62,unclear,-0.517859
D31.2_63,alpha,0.51205665
D31.2_64,alpha,0.593207
D31.2_65,beta,0.4693253
D31.2_66,beta,0.70009744
D31.2_67,alpha,0.30042475
D31.2_68,duct,0.5190714
D31.2_69,acinar,0.7837203
D31.2_70,delta,0.63027155
D31.2_71,beta,0.5559373
D31.2_72,beta,0.35145202
D31.2_73,duct,0.4583333
D31.2_74,alpha,0.40792423
D31.2_75,acinar,0.67903113
D31.2_76,duct,0.4715832
D31.2_77,duct,0.54125154
D31.2_78,duct,0.47333047
D31.2_79,delta,0.44196773
D31.2_80,mesenchymal,0.9128111
D31.2_81,alpha,0.60975426
D31.2_82,alpha,0.6317218
D31.2_83,acinar,0.6291856
D31.2_84,duct,0.5938946
D31.2_85,mesenchymal,0.89000326
D31.2_86,acinar,0.61383015
D31.2_87,duct,-0.4426399
D31.2_89,alpha,0.29204327
D31.2_91,mesenchymal,0.9123733
D31.2_92,beta,0.6217972
D31.2_93,alpha,0.60085464
D31.2_94,duct,0.5690005
D31.3_1,acinar,0.69660664
D31.3_2,alpha,0.596655
D31.3_3,alpha,0.6317034
D31.3_4,beta,0.5289539
D31.3_5,alpha,0.41925746
D31.3_10,beta,0.3922181
D31.3_12,duct,0.6072128
D31.3_13,alpha,0.3700687
D31.3_14,acinar,0.73747355
D31.3_15,mesenchymal,0.86769444
D31.3_16,delta,0.7223843
D31.3_17,beta,0.5119351
D31.3_18,alpha,0.418916
D31.3_19,alpha,0.29868254
D31.3_21,duct,0.30006006
D31.3_22,beta,0.6377629
D31.3_23,acinar,0.5821293
D31.3_24,alpha,0.051386725
D31.3_25,duct,-0.3847714
D31.3_26,acinar,0.7362558
D31.3_27,alpha,0.56410676
D31.3_28,alpha,0.5460518
D31.3_29,alpha,0.33217514
D31.3_30,pp,0.7902576
D31.3_31,beta,0.5700454
D31.3_32,alpha,0.21330905
D31.3_33,beta,0.514646
D31.3_35,alpha,0.5850599
D31.3_36,acinar,0.7614141
D31.3_37,duct,0.4659196
D31.3_38,alpha,0.1926267
D31.3_39,alpha,0.56702745
D31.3_40,acinar,0.7157677
D31.3_41,delta,0.65749824
D31.3_42,delta,0.6265678
D31.3_43,beta,0.6771964
D31.3_45,alpha,0.54661506
D31.3_46,alpha,0.6557419
D31.3_47,duct,-0.4201441
D31.3_48,acinar,0.72258264
D31.3_50,beta,0.6009247
D31.3_52,alpha,0.18703406
D31.3_53,acinar,0.6949564
D31.3_54,beta,0.15435213
D31.3_55,alpha,0.45155427
D31.3_56,pp,0.8165537
D31.3_57,alpha,0.54777664
D31.3_59,mesenchymal,0.84705603
D31.3_60,acinar,0.7527021
D31.3_61,pp,-0.5656738
D31.3_62,delta,0.6533037
D31.3_63,acinar,0.67715883
D31.3_64,acinar,0.76168525
D31.3_65,duct,0.54523605
D31.3_66,beta,0.7098059
D31.3_67,delta,0.7417024
D31.3_68,beta,0.6240184
D31.3_69,acinar,0.6699635
D31.3_70,alpha,0.6218109
D31.3_71,endothelial,0.84313536
D31.3_72,pp,0.8382978
D31.3_73,acinar,0.7935963
D31.3_75,beta,0.6434388
D31.3_76,alpha,0.6450336
D31.3_77,pp,0.7816284
D31.3_78,acinar,0.54221183
D31.3_79,alpha,0.36571407
D31.3_80,duct,-0.40320173
D31.3_81,duct,0.43616742
D31.3_82,duct,0.35019556
D31.3_83,beta,0.6410038
D31.3_84,alpha,0.6113124
D31.3_85,alpha,0.4184545
D31.3_86,acinar,0.7857979
D31.3_87,beta,0.56060827
D31.3_88,delta,0.715214
D31.3_89,acinar,0.70135474
D31.3_90,alpha,0.5087049
D31.3_91,alpha,0.5161964
D31.3_92,beta,0.32351154
D31.3_94,alpha,0.5808494
D31.4_1,alpha,0.49481112
D31.4_2,delta,0.74047124
D31.4_4,pp,0.8588305
D31.4_5,alpha,0.6528546
D31.4_6,alpha,0.4881625
D31.4_7,alpha,0.5796416
D31.4_8,delta,0.7240976
D31.4_9,acinar,0.75779766
D31.4_10,beta,0.58269435
D31.4_11,alpha,0.5696286
D31.4_13,acinar,0.6733708
D31.4_14,acinar,0.5846882
D31.4_15,pp,0.85508883
D31.4_16,mesenchymal,0.8106016
D31.4_17,beta,0.69265795
D31.4_18,alpha,0.5372932
D31.4_19,beta,0.121901974
D31.4_20,alpha,0.63047373
D31.4_21,beta,0.61547416
D31.4_22,alpha,0.29367965
D31.4_23,alpha,0.4584368
D31.4_24,alpha,0.36429837
D31.4_25,beta,0.59968144
D31.4_26,alpha,0.056766473
D31.4_27,alpha,0.29024774
D31.4_28,delta,0.7435298
D31.4_29,alpha,0.50493646
D31.4_30,alpha,0.54368275
D31.4_31,alpha,0.42280012
D31.4_32,alpha,0.47659206
D31.4_33,duct,0.50380874
D31.4_34,beta,0.54837936
D31.4_35,duct,0.43576124
D31.4_36,acinar,0.61188346
D31.4_37,pp,0.8662334
D31.4_38,duct,0.51046604
D31.4_39,beta,0.4334376
D31.4_40,pp,0.81199694
D31.4_41,acinar,0.69728106
D31.4_42,alpha,0.47361246
D31.4_43,acinar,0.6142
D31.4_44,beta,0.35447952
D31.4_45,beta,0.6792302
D31.4_46,delta,0.6887401
D31.4_47,alpha,0.3367426
D31.4_48,acinar,0.74979234
D31.4_49,beta,0.6772445
D31.4_50,alpha,0.3568056
D31.4_51,beta,-0.0840158
D31.4_52,alpha,0.29186356
D31.4_53,alpha,0.6613853
D31.4_54,alpha,0.5207644
D31.4_55,acinar,0.7316031
D31.4_56,duct,0.6060218
D31.4_57,duct,0.4835876
D31.4_58,beta,0.5637419
D31.4_59,alpha,0.41156936
D31.4_60,delta,0.63742614
D31.4_61,alpha,0.47673163
D31.4_62,delta,0.7032441
D31.4_63,beta,0.7040252
D31.4_64,beta,0.5861157
D31.4_65,beta,0.538423
D31.4_66,beta,0.62375104
D31.4_67,mesenchymal,0.878325
D31.4_68,duct,0.5612854
D31.4_69,duct,0.5569366
D31.4_70,acinar,0.68800867
D31.4_71,duct,0.40448055
D31.4_72,acinar,0.63903457
D31.4_73,duct,0.36194655
D31.4_74,delta,0.3132935
D31.4_75,beta,0.6767176
D31.4_76,duct,0.39574108
D31.4_77,duct,0.5279966
D31.4_78,delta,0.71444565
D31.4_79,unclear,-0.7201861
D31.4_80,alpha,0.1680292
D31.4_81,alpha,0.5959856
D31.4_82,beta,0.43182358
D31.4_83,beta,0.7006109
D31.4_84,alpha,0.51966393
D31.4_85,beta,0.6224685
D31.4_87,alpha,0.57756007
D31.4_89,alpha,0.35081944
D31.4_90,duct,-0.4554831
D31.4_91,acinar,0.73224115
D31.4_92,beta,0.70040673
D31.4_93,acinar,0.7801508
D31.4_94,beta,0.40775684
D31.5_1,acinar,0.76859605
D31.5_2,alpha,0.6307097
D31.5_3,beta,0.18586916
D31.5_4,acinar,0.7108182
D31.5_5,beta,0.6937542
D31.5_8,alpha,0.36533183
D31.5_9,beta,0.5155692
D31.5_10,alpha,0.56396693
D31.5_11,alpha,0.58799064
D31.5_12,alpha,0.13017239
D31.5_13,duct,0.51855206
D31.5_14,duct,0.39349735
D31.5_15,beta,0.67754036
D31.5_16,acinar,0.7104
D31.5_17,alpha,0.63887686
D31.5_18,delta,0.7364171
D31.5_19,duct,0.6176091
D31.5_20,alpha,0.61101323
D31.5_21,alpha,0.4395244
D31.5_22,beta,0.6502389
D31.5_23,delta,0.70110506
D31.5_24,alpha,0.41731063
D31.5_25,alpha,0.12361104
D31.5_26,beta,0.69028574
D31.5_27,beta,0.6919063
D31.5_29,beta,0.5623498
D31.5_30,beta,0.59809184
D31.5_32,beta,0.68984026
D31.5_33,alpha,0.21531232
D31.5_34,acinar,0.7167917
D31.5_35,alpha,0.037724033
D31.5_36,alpha,0.18458568
D31.5_37,duct,0.51772356
D31.5_38,beta,0.62581015
D31.5_39,acinar,0.7590797
D31.5_41,duct,0.6062953
D31.5_42,delta,0.6632017
D31.5_44,alpha,0.6458888
D31.5_45,acinar,0.6370031
D31.5_46,delta,0.6670023
D31.5_47,duct,-0.008195705
D31.5_48,acinar,0.73170733
D31.5_49,alpha,0.6323329
D31.5_50,alpha,0.57836473
D31.5_51,duct,0.5514595
D31.5_52,beta,0.17576082
D31.5_53,alpha,0.47960487
D31.5_54,alpha,0.54795283
D31.5_55,delta,0.64711124
D31.5_56,alpha,0.57526416
D31.5_57,acinar,0.6151188
D31.5_58,alpha,0.6516714
D31.5_59,alpha,0.5512882
D31.5_60,acinar,0.7017738
D31.5_61,beta,0.6302331
D31.5_62,alpha,0.3462617
D31.5_63,alpha,0.22906412
D31.5_64,duct,-0.35256395
D31.5_65,duct,0.5018611
D31.5_66,alpha,0.4570961
D31.5_67,alpha,0.51233876
D31.5_68,alpha,0.6365863
D31.5_69,acinar,0.72080773
D31.5_70,acinar,0.7574255
D31.5_71,delta,0.5215274
D31.5_72,duct,0.2137794
D31.5_73,duct,0.568863
D31.5_74,beta,0.6280654
D31.5_75,acinar,0.4595257
D31.5_76,alpha,0.35835662
D31.5_77,mesenchymal,0.8635735
D31.5_78,mesenchymal,0.90709853
D31.5_79,acinar,0.5890484
D31.5_80,beta,0.44048244
D31.5_81,duct,0.61170256
D31.5_82,mesenchymal,0.8815977
D31.5_83,mesenchymal,0.9075455
D31.5_84,delta,0.6306676
D31.5_85,beta,0.09648417
D31.5_86,alpha,0.5352325
D31.5_87,alpha,0.5399228
D31.5_88,alpha,0.2118732
D31.5_89,acinar,0.68830055
D31.5_90,alpha,0.62636614
D31.5_91,duct,0.46284488
D31.5_92,acinar,0.6164107
D31.5_93,alpha,0.25416747
D31.5_94,beta,0.60302716
D31.6_1,mesenchymal,0.86457896
D31.6_2,alpha,0.6219411
D31.6_4,duct,0.609556
D31.6_5,pp,0.8265022
D31.6_6,endothelial,0.8473518
D31.6_7,beta,0.13987803
D31.6_9,acinar,0.7145335
D31.6_10,alpha,0.49022162
D31.6_11,acinar,0.73242193
D31.6_12,delta,0.67391205
D31.6_13,acinar,0.7166717
D31.6_15,beta,0.5645224
D31.6_16,beta,0.6363833
D31.6_18,alpha,0.55992424
D31.6_19,beta,0.67048526
D31.6_20,beta,0.7079303
D31.6_21,acinar,0.7410483
D31.6_22,beta,0.60288066
D31.6_23,duct,-0.016351603
D31.6_24,acinar,0.768729
D31.6_27,duct,0.5765124
D31.6_28,duct,0.51737046
D31.6_29,acinar,0.6029331
D31.6_30,alpha,0.4155815
D31.6_31,beta,0.14129679
D31.6_32,pp,0.8465894
D31.6_33,acinar,0.5747339
D31.6_34,duct,0.5343964
D31.6_35,alpha,0.41309452
D31.6_36,alpha,0.29050937
D31.6_37,duct,0.6059613
D31.6_38,delta,0.68762857
D31.6_39,acinar,0.7481204
D31.6_40,acinar,0.6956573
D31.6_41,duct,0.52503955
D31.6_42,beta,0.38722414
D31.6_43,acinar,0.72973174
D31.6_44,duct,0.3845846
D31.6_45,alpha,0.4374149
D31.6_46,delta,0.7293378
D31.6_47,beta,0.3691829
D31.6_48,alpha,0.59877497
D31.6_49,beta,0.6384139
D31.6_50,duct,0.45616183
D31.6_51,duct,0.5082237
D31.6_52,acinar,0.6182592
D31.6_53,acinar,0.7109237
D31.6_54,alpha,0.3931793
D31.6_55,alpha,0.5807814
D31.6_56,alpha,0.39418334
D31.6_57,duct,0.1946638
D31.6_58,beta,0.62006116
D31.6_59,alpha,0.55601954
D31.6_60,beta,0.51873153
D31.6_61,acinar,0.7163
D31.6_62,acinar,0.6750845
D31.6_63,alpha,0.38877094
D31.6_64,alpha,0.62652373
D31.6_65,beta,0.693765
D31.6_66,acinar,0.74765444
D31.6_67,beta,0.6824212
D31.6_68,duct,0.4741153
D31.6_69,acinar,0.7296876
D31.6_70,endothelial,0.848495
D31.6_71,beta,-0.77204704
D31.6_72,duct,0.54746443
D31.6_73,endothelial,0.84809047
D31.6_74,alpha,0.42733604
D31.6_75,acinar,0.71158224
D31.6_76,beta,0.6936253
D31.6_77,alpha,0.32554004
D31.6_79,duct,0.5957495
D31.6_80,beta,0.3670858
D31.6_81,acinar,0.6914613
D31.6_82,duct,0.4497148
D31.6_83,alpha,0.09480023
D31.6_84,mesenchymal,0.87776566
D31.6_85,beta,0.6607888
D31.6_86,acinar,0.6379515
D31.6_87,beta,0.61441875
D31.6_88,alpha,0.5601336
D31.6_89,alpha,0.48735458
D31.6_90,alpha,0.47720858
D31.6_91,alpha,0.56678843
D31.6_92,beta,0.6229991
D31.6_93,duct,0.49004206
D31.6_94,alpha,0.34288043
D31.7_1,beta,0.6978249
D31.7_2,alpha,0.3154673
D31.7_3,beta,0.62327874
D31.7_4,endothelial,0.8325274
D31.7_6,alpha,0.66034955
D31.7_8,alpha,0.48525962
D31.7_9,acinar,0.7353735
D31.7_10,beta,-0.55277455
D31.7_11,acinar,0.7205632
D31.7_14,alpha,0.20193885
D31.7_15,pp,0.8235791
D31.7_16,duct,0.3309016
D31.7_17,alpha,0.2557203
D31.7_18,duct,0.5715498
D31.7_19,alpha,0.559627
D31.7_20,beta,0.26632088
D31.7_21,acinar,0.7276367
D31.7_22,beta,0.69227284
D31.7_23,duct,0.41440898
D31.7_25,alpha,0.29137477
D31.7_26,duct,0.41103846
D31.7_28,alpha,0.17789195
D31.7_29,duct,0.6017545
D31.7_30,alpha,0.45483097
D31.7_32,endothelial,0.8487537
D31.7_33,alpha,0.47088906
D31.7_34,beta,0.32395184
D31.7_35,alpha,0.4436355
D31.7_36,alpha,0.34483388
D31.7_37,alpha,0.34917328
D31.7_38,acinar,0.77139115
D31.7_39,beta,0.6706644
D31.7_40,beta,0.3591753
D31.7_41,alpha,0.19569099
D31.7_42,unclear,-0.5157983
D31.7_43,duct,0.05195567
D31.7_44,alpha,0.62488717
D31.7_45,beta,0.60967016
D31.7_46,beta,0.6234037
D31.7_47,beta,0.662939
D31.7_48,mesenchymal,0.9071479
D31.7_49,alpha,0.15112805
D31.7_50,alpha,0.5575924
D31.7_51,alpha,0.65856427
D31.7_53,beta,0.19095758
D31.7_54,alpha,0.451528
D31.7_55,beta,0.6681931
D31.7_56,duct,0.3199301
D31.7_57,duct,0.36265016
D31.7_58,beta,-0.6896682
D31.7_59,beta,0.5712543
D31.7_60,beta,0.4836328
D31.7_61,alpha,0.64713705
D31.7_62,alpha,0.64348763
D31.7_63,acinar,0.7329362
D31.7_64,alpha,0.41983443
D31.7_65,alpha,0.5594802
D31.7_66,delta,0.7133282
D31.7_67,beta,0.5364275
D31.7_68,alpha,0.597967
D31.7_69,beta,0.6445206
D31.7_70,acinar,0.7498932
D31.7_71,alpha,0.6270524
D31.7_72,beta,0.5372892
D31.7_73,duct,0.5879238
D31.7_74,beta,0.08426093
D31.7_75,alpha,0.60993207
D31.7_76,beta,0.6827414
D31.7_77,acinar,0.79755867
D31.7_79,beta,0.1366512
D31.7_80,alpha,0.6402315
D31.7_81,delta,0.7248518
D31.7_84,beta,0.61222696
D31.7_85,beta,0.35423338
D31.7_87,beta,0.6237466
D31.7_89,duct,0.5238486
D31.7_91,beta,0.69063103
D31.7_92,pp,0.86276495
D31.7_93,alpha,0.6371505
D31.7_94,beta,0.59418213
D31.8_1,delta,0.6655004
D31.8_2,alpha,0.6351382
D31.8_3,beta,0.28900507
D31.8_4,acinar,0.73193306
D31.8_5,alpha,0.5774748
D31.8_6,alpha,0.32302156
D31.8_7,acinar,0.7192282
D31.8_8,beta,0.60483724
D31.8_9,alpha,0.102437355
D31.8_10,pp,0.83408815
D31.8_11,acinar,0.65358335
D31.8_12,alpha,0.24752642
D31.8_13,beta,0.482838
D31.8_14,alpha,0.3200004
D31.8_15,pp,0.8426315
D31.8_17,delta,0.68635994
D31.8_18,mesenchymal,0.89773226
D31.8_19,duct,0.6007754
D31.8_20,duct,0.6203761
D31.8_21,beta,0.6804412
D31.8_23,duct,0.4117371
D31.8_24,alpha,0.6547581
D31.8_25,beta,0.15954679
D31.8_26,pp,0.8059886
D31.8_27,acinar,0.73636883
D31.8_28,delta,0.67296416
D31.8_29,beta,0.49326864
D31.8_30,duct,0.5884704
D31.8_31,beta,0.607115
D31.8_33,alpha,0.33145997
D31.8_34,delta,0.7543203
D31.8_36,pp,0.87741923
D31.8_37,duct,0.5943839
D31.8_38,alpha,0.57891387
D31.8_39,endothelial,0.8488237
D31.8_40,acinar,0.79566807
D31.8_41,beta,0.22685131
D31.8_42,delta,0.78675973
D31.8_43,beta,0.31653455
D31.8_44,alpha,0.16649789
D31.8_45,duct,0.39774764
D31.8_46,alpha,0.45708275
D31.8_47,endothelial,-0.9043642
D31.8_48,beta,0.70798075
D31.8_49,beta,0.54259986
D31.8_50,beta,0.43383187
D31.8_52,alpha,0.6543088
D31.8_53,acinar,0.7664865
D31.8_56,mesenchymal,0.8840757
D31.8_57,alpha,0.46772778
D31.8_58,duct,0.57893074
D31.8_60,beta,0.66729796
D31.8_61,alpha,0.5230014
D31.8_62,alpha,0.6422007
D31.8_63,acinar,0.75305784
D31.8_64,beta,0.56833607
D31.8_65,alpha,0.63123643
D31.8_66,delta,0.66083705
D31.8_67,pp,0.7674171
D31.8_69,delta,0.66238177
D31.8_70,pp,0.79012823
D31.8_71,delta,0.7864516
D31.8_73,beta,0.48998374
D31.8_74,beta,0.47010484
D31.8_75,duct,0.5666229
D31.8_76,delta,0.67799574
D31.8_77,duct,0.29986992
D31.8_78,beta,0.7010087
D31.8_80,duct,0.32480747
D31.8_81,acinar,0.7322915
D31.8_82,alpha,0.08952914
D31.8_83,beta,0.5699335
D31.8_84,beta,0.6101166
D31.8_85,duct,0.604089
D31.8_86,alpha,0.52511144
D31.8_87,pp,0.79755044
D31.8_88,beta,0.667357
D31.8_89,acinar,0.7127864
D31.8_90,duct,0.55580014
D31.8_91,acinar,0.54314053
D31.8_92,mesenchymal,0.89435726
D31.8_93,alpha,0.50042504
D31.8_94,duct,0.62043697
D30.1_1,acinar,0.6473358
D30.1_4,alpha,0.5958859
D30.1_5,delta,0.8025252
D30.1_6,delta,0.79383045
D30.1_7,alpha,0.21167633
D30.1_9,alpha,0.5841326
D30.1_10,alpha,0.31834194
D30.1_13,duct,0.48063838
D30.1_14,beta,0.7094179
D30.1_15,alpha,0.25094578
D30.1_16,alpha,0.2930414
D30.1_17,alpha,0.3855782
D30.1_19,acinar,0.68063414
D30.1_20,delta,0.7885776
D30.1_21,alpha,0.3934083
D30.1_22,acinar,0.7269965
D30.1_23,alpha,0.43574053
D30.1_24,alpha,0.25484776
D30.1_25,mesenchymal,0.83386654
D30.1_26,beta,0.5851839
D30.1_27,alpha,0.30571982
D30.1_28,alpha,0.08269743
D30.1_29,acinar,0.7073318
D30.1_30,acinar,0.63976246
D30.1_31,duct,0.2554344
D30.1_33,beta,0.67907155
D30.1_35,alpha,0.21441552
D30.1_36,duct,0.59194493
D30.1_37,alpha,0.10232724
D30.1_38,alpha,0.31294248
D30.1_39,beta,0.64836776
D30.1_40,alpha,0.069979206
D30.1_41,alpha,0.6516029
D30.1_42,duct,0.6157317
D30.1_43,duct,0.5574165
D30.1_44,endothelial,0.8406658
D30.1_45,beta,0.6541864
D30.1_46,duct,0.5998388
D30.1_47,alpha,0.44232723
D30.1_49,alpha,0.13394624
D30.1_51,beta,0.6540401
D30.1_52,alpha,0.6151416
D30.1_53,beta,0.7052698
D30.1_54,alpha,0.19687101
D30.1_55,acinar,0.64582855
D30.1_56,alpha,0.6207911
D30.1_57,beta,0.64385575
D30.1_58,alpha,0.6323628
D30.1_59,alpha,0.13295187
D30.1_60,alpha,0.64819694
D30.1_61,acinar,0.6900755
D30.1_63,acinar,0.5571677
D30.1_64,alpha,0.59214884
D30.1_65,beta,0.71056527
D30.1_66,alpha,0.59186226
D30.1_67,beta,0.69742495
D30.1_69,delta,0.6998548
D30.1_70,mesenchymal,0.8850235
D30.1_71,alpha,0.41391253
D30.1_72,acinar,0.68957186
D30.1_73,alpha,0.1805455
D30.1_74,beta,0.65967953
D30.1_75,alpha,0.54360986
D30.1_77,endothelial,0.83078766
D30.1_78,duct,0.6152251
D30.1_79,unclear,-0.67650247
D30.1_81,alpha,0.6355539
D30.1_82,alpha,0.29729095
D30.1_83,delta,0.7719146
D30.1_84,alpha,0.46028653
D30.1_85,beta,0.6526049
D30.1_86,alpha,0.6487687
D30.1_87,alpha,0.5011403
D30.1_88,duct,0.48710558
D30.1_89,beta,0.66295516
D30.1_90,alpha,0.18196681
D30.1_91,acinar,0.67786694
D30.1_93,beta,0.65011317
D30.1_94,beta,0.5933072
D30.2_1,acinar,0.7221281
D30.2_2,alpha,0.6128597
D30.2_3,delta,0.7340027
D30.2_4,duct,0.4841667
D30.2_5,alpha,0.52773243
D30.2_6,mesenchymal,0.8608815
D30.2_7,beta,0.69599634
D30.2_8,pp,0.8072545
D30.2_9,duct,0.59792495
D30.2_10,alpha,0.102417335
D30.2_11,acinar,0.6861735
D30.2_12,alpha,0.20263623
D30.2_13,alpha,0.630052
D30.2_14,alpha,0.655672
D30.2_15,alpha,0.412318
D30.2_16,alpha,0.540365
D30.2_17,acinar,0.6146453
D30.2_18,alpha,0.4064829
D30.2_19,alpha,0.621454
D30.2_20,delta,0.80411994
D30.2_21,alpha,0.59560245
D30.2_22,delta,0.79836255
D30.2_23,alpha,0.5875535
D30.2_24,alpha,0.14377797
D30.2_25,alpha,0.6421644
D30.2_26,delta,0.6807187
D30.2_27,acinar,0.75942254
D30.2_28,alpha,0.5012723
D30.2_29,mesenchymal,0.91031754
D30.2_30,beta,0.6858713
D30.2_31,beta,0.29798827
D30.2_32,beta,0.65039784
D30.2_33,beta,0.6615241
D30.2_34,alpha,0.21370292
D30.2_35,duct,0.44471484
D30.2_37,alpha,0.56712866
D30.2_38,duct,0.22897094
D30.2_39,delta,0.6912561
D30.2_40,alpha,0.6078194
D30.2_41,acinar,0.7009764
D30.2_42,acinar,0.6903462
D30.2_43,acinar,0.77759814
D30.2_44,beta,0.6305877
D30.2_45,acinar,0.6485103
D30.2_46,beta,0.64913225
D30.2_47,alpha,0.5496044
D30.2_48,beta,0.6917642
D30.2_49,delta,0.399652
D30.2_50,duct,0.61956793
D30.2_51,acinar,0.7951886
D30.2_52,delta,0.58188343
D30.2_53,acinar,0.645635
D30.2_54,delta,0.60891354
D30.2_55,beta,0.2317657
D30.2_56,acinar,0.78108174
D30.2_57,beta,0.6416427
D30.2_58,duct,0.6195875
D30.2_59,mesenchymal,0.8858866
D30.2_60,acinar,0.7550057
D30.2_61,beta,0.6811507
D30.2_62,alpha,0.51195616
D30.2_65,alpha,0.48085243
D30.2_67,alpha,0.566944
D30.2_68,alpha,0.4047831
D30.2_70,alpha,0.6154837
D30.2_71,beta,0.7087083
D30.2_72,alpha,0.5953046
D30.2_73,alpha,0.5358477
D30.2_74,delta,0.45289075
D30.2_75,alpha,0.59104556
D30.2_76,acinar,0.68776244
D30.2_77,mesenchymal,0.89783436
D30.2_78,alpha,0.6529267
D30.2_79,duct,0.2278028
D30.2_80,alpha,0.5578772
D30.2_81,alpha,0.5421105
D30.2_82,delta,0.4490392
D30.2_83,alpha,0.6337009
D30.2_84,duct,-0.1430863
D30.2_85,alpha,0.5667331
D30.2_86,alpha,0.58473444
D30.2_87,beta,0.63025594
D30.2_88,alpha,0.60763067
D30.2_89,delta,0.647731
D30.2_90,beta,0.09743723
D30.2_91,alpha,0.5790121
D30.2_92,mesenchymal,0.88796324
D30.2_93,mesenchymal,0.8775809
D30.2_94,alpha,0.5039449
D30.3_1,alpha,0.54257095
D30.3_2,acinar,0.6931465
D30.3_3,beta,0.6138939
D30.3_4,alpha,0.65426993
D30.3_5,alpha,0.4308077
D30.3_6,mesenchymal,0.87714946
D30.3_7,mesenchymal,0.8586161
D30.3_8,duct,0.4856975
D30.3_9,beta,0.6351677
D30.3_10,beta,0.70769155
D30.3_11,alpha,0.21886311
D30.3_12,alpha,0.5521004
D30.3_13,beta,0.677429
D30.3_14,beta,0.59476715
D30.3_15,pp,0.8335606
D30.3_16,alpha,0.4821244
D30.3_17,duct,0.5450327
D30.3_18,delta,0.7669419
D30.3_19,alpha,0.5751294
D30.3_20,alpha,0.29710183
D30.3_21,pp,0.8446337
D30.3_22,delta,0.76975316
D30.3_23,delta,0.5792003
D30.3_24,alpha,0.58861834
D30.3_25,alpha,0.56416565
D30.3_26,alpha,0.4921252
D30.3_27,alpha,0.54317206
D30.3_28,alpha,0.4961628
D30.3_29,alpha,0.5701444
D30.3_30,alpha,0.5754365
D30.3_31,alpha,0.55164605
D30.3_32,duct,0.61595327
D30.3_33,alpha,0.6316945
D30.3_34,alpha,0.37465212
D30.3_35,alpha,0.62383646
D30.3_36,beta,0.6577367
D30.3_37,alpha,0.36798492
D30.3_38,beta,0.42363048
D30.3_39,mesenchymal,0.88689274
D30.3_40,alpha,0.24526453
D30.3_41,alpha,0.5790326
D30.3_42,alpha,0.48061398
D30.3_43,delta,0.7302751
D30.3_44,alpha,0.6096297
D30.3_45,acinar,0.78672063
D30.3_46,alpha,0.37335616
D30.3_47,alpha,0.60533226
D30.3_48,alpha,0.55127054
D30.3_49,duct,0.5184296
D30.3_50,alpha,0.5669947
D30.3_51,beta,0.6553457
D30.3_52,beta,0.7104972
D30.3_53,beta,0.22938916
D30.3_54,beta,0.20787933
D30.3_55,beta,0.14719173
D30.3_56,alpha,0.41539308
D30.3_57,alpha,0.6362724
D30.3_58,beta,0.38180864
D30.3_59,mesenchymal,0.90805906
D30.3_60,alpha,0.6467513
D30.3_61,mesenchymal,0.8925605
D30.3_62,delta,0.41306692
D30.3_63,acinar,0.7409547
D30.3_64,alpha,0.55182344
D30.3_65,alpha,0.59189427
D30.3_67,beta,0.7114774
D30.3_68,alpha,0.62463194
D30.3_69,delta,0.45017803
D30.3_70,alpha,0.6151961
D30.3_71,beta,0.71071154
D30.3_72,mesenchymal,0.8975353
D30.3_73,alpha,0.5256062
D30.3_74,alpha,0.5205197
D30.3_75,delta,0.7507796
D30.3_76,delta,0.64282376
D30.3_77,beta,0.7082057
D30.3_78,beta,0.7012726
D30.3_79,alpha,0.44300914
D30.3_80,alpha,0.63434553
