,cellular_classification,silhouette_score
D28.2_86,acinar,0.7643246
D28.2_87,acinar,0.8022136
D28.2_89,acinar,0.70975673
D28.2_90,alpha,0.45121637
D28.2_91,pp,0.80429286
D28.3_3,alpha,0.61541075
D28.3_4,acinar,0.5827576
D28.3_5,alpha,0.6588141
D28.3_6,beta,0.66094077
D28.3_7,alpha,0.6227749
D28.3_8,alpha,0.5053309
D28.3_13,alpha,0.39674038
D28.3_14,pp,0.8259135
D28.3_15,alpha,0.45423713
D28.3_16,delta,0.603834
D28.3_17,duct,0.36169162
D28.3_18,pp,0.8413159
D28.3_25,acinar,0.7833148
D28.3_26,acinar,0.6927078
D28.3_27,beta,0.58551294
D28.3_28,acinar,0.626938
D28.3_29,duct,0.09776215
D28.3_30,beta,0.67814636
D28.3_31,acinar,0.721506
D28.3_37,beta,0.5839739
D28.3_38,alpha,0.538341
D28.3_40,acinar,0.7709827
D28.3_41,beta,0.25328144
D28.3_42,alpha,0.656439
D28.3_43,endothelial,0.8071458
D28.3_44,acinar,0.6844383
D28.3_49,duct,-0.45509598
D28.3_50,acinar,0.6329979
D28.3_51,acinar,0.76798123
D28.3_52,acinar,0.7329727
D28.3_53,duct,0.47962034
D28.3_54,duct,0.5814246
D28.3_55,alpha,0.48985454
D28.3_61,delta,0.58002234
D28.3_62,acinar,0.59243786
D28.3_63,duct,0.5458412
D28.3_64,alpha,0.65864956
D28.3_65,acinar,0.77635676
D28.3_68,alpha,0.5693957
D28.3_69,alpha,0.61758804
D28.3_73,duct,0.37239924
D28.3_75,acinar,0.67609155
D28.3_76,alpha,0.5481775
D28.3_77,acinar,0.7881254
D28.3_78,delta,0.76488954
D28.3_79,alpha,0.6161293
D28.3_85,acinar,0.78809196
D28.3_86,duct,0.4264517
D28.3_88,duct,0.26162022
D28.3_89,alpha,-0.3175581
D28.3_90,acinar,0.78702444
D28.3_91,acinar,0.79154575
D28.3_92,alpha,0.64180094
D28.4_1,duct,0.15770608
D28.4_3,delta,0.71662605
D28.4_4,acinar,0.76683444
D28.4_13,alpha,0.44607827
D28.4_14,duct,-0.8632659
D28.4_15,alpha,0.5096008
D28.4_17,acinar,0.66817427
D28.4_22,duct,0.46218604
D28.4_26,pp,0.87451357
D28.4_27,alpha,0.47269148
D28.4_28,duct,-0.53099674
D28.4_29,alpha,0.61124486
D28.4_30,alpha,0.58156776
D28.4_31,beta,0.70543766
D28.4_37,alpha,0.54989487
D28.4_38,pp,0.8709873
D28.4_39,alpha,0.6549682
D28.4_40,duct,-0.5280382
D28.4_41,alpha,0.403434
D28.4_43,duct,0.373061
D28.4_49,acinar,0.76097107
D28.4_50,duct,0.5846585
D28.4_51,acinar,0.7694468
D28.4_52,duct,0.60255563
D28.4_53,acinar,0.635377
D28.4_54,acinar,0.7414908
D28.4_55,duct,0.43410748
D28.4_56,alpha,0.40142238
D28.4_61,acinar,0.6508242
D28.4_62,alpha,0.5281352
D28.4_63,acinar,0.7052716
D28.4_65,alpha,0.55640525
D28.4_67,acinar,0.7135958
D28.4_73,duct,0.52215034
D28.4_74,duct,0.40619156
D28.4_75,duct,-0.55740017
D28.4_76,alpha,0.48595732
D28.4_77,beta,0.6702094
D28.4_78,duct,0.32663664
D28.4_85,acinar,0.71515894
D28.4_86,acinar,0.65539044
D28.4_87,alpha,0.6309204
D28.4_88,alpha,-0.32150447
D28.4_89,acinar,0.6360717
D28.4_90,pp,0.8142217
D28.4_91,duct,0.4122744
D29.1_1,alpha,0.4545556
D29.1_2,endothelial,0.8092642
D29.1_3,delta,0.80705136
D29.1_4,alpha,0.5607648
D29.1_6,alpha,0.093850985
D29.1_7,alpha,0.09387791
D29.1_8,delta,0.7469195
D29.1_11,alpha,0.5965081
D29.1_12,pp,0.83034503
D29.1_13,alpha,0.26681238
D29.1_15,pp,0.8558272
D29.1_16,delta,0.7334864
D29.1_17,alpha,0.61562794
D29.1_18,alpha,0.12361446
D29.1_19,alpha,0.6181553
D29.1_20,alpha,0.48653564
D29.1_21,beta,0.15721259
D29.1_24,beta,0.59063035
D29.1_26,alpha,0.15408677
D29.1_27,alpha,0.64626336
D29.1_29,alpha,0.40263295
D29.1_30,pp,0.87410307
D29.1_32,alpha,0.60022587
D29.1_33,delta,0.7791471
D29.1_34,alpha,0.47531548
D29.1_35,pp,0.8666129
D29.1_36,beta,0.55235714
D29.1_37,alpha,0.44279936
D29.1_38,alpha,0.15346655
D29.1_39,beta,0.47722167
D29.1_40,beta,0.24286006
D29.1_41,alpha,0.6038095
D29.1_42,delta,0.7444796
D29.1_44,alpha,0.56730795
D29.1_45,delta,0.7339434
D29.1_46,alpha,0.081901155
D29.1_47,alpha,0.5862872
D29.1_48,beta,0.58347297
D29.1_49,delta,0.6805969
D29.1_50,alpha,0.6539174
D29.1_51,alpha,0.5363095
D29.1_52,beta,0.5584713
D29.1_53,beta,0.4547743
D29.1_54,duct,0.29808086
D29.1_55,alpha,0.4680002
D29.1_56,delta,0.7663826
D29.1_57,delta,0.51968414
D29.1_58,pp,0.87639457
D29.1_59,alpha,0.6370066
D29.1_60,alpha,0.5697213
D29.1_61,mesenchymal,0.78616816
D29.1_62,alpha,0.1780876
D29.1_65,duct,0.5780812
D29.1_66,pp,0.8182108
D29.1_67,pp,0.86591834
D29.1_68,acinar,0.63349843
D29.1_69,alpha,0.46501875
D29.1_70,beta,0.61792964
D29.1_71,pp,0.80815345
D29.1_72,pp,0.82490444
D29.1_73,pp,0.84409326
D29.1_74,delta,0.7602893
D29.1_75,beta,0.68217653
D29.1_76,alpha,0.51987886
D29.1_77,beta,0.58052546
D29.1_78,beta,0.5667386
D29.1_79,beta,0.5324593
D29.1_80,alpha,0.62532943
D29.1_81,beta,0.6625094
D29.1_82,beta,0.66343987
D29.1_83,delta,0.77327067
D29.1_84,beta,0.56128716
D29.1_86,pp,0.86122924
D29.1_87,alpha,0.030234465
D29.1_88,beta,0.54575014
D29.1_89,alpha,0.6107166
D29.1_90,pp,0.77510655
D29.1_92,beta,0.5811839
D29.1_93,delta,0.80649626
D29.1_94,beta,0.63010293
D29.2_1,mesenchymal,0.8477432
D29.2_3,alpha,0.56971264
D29.2_4,delta,0.71878654
D29.2_5,beta,0.5683672
D29.2_6,alpha,0.4774499
D29.2_7,duct,0.40100873
D29.2_8,alpha,0.5988057
D29.2_9,delta,0.76736665
D29.2_10,delta,0.7120506
D29.2_11,beta,0.4911342
D29.2_12,duct,0.5917408
D29.2_13,alpha,0.45639196
D29.2_15,alpha,0.16674498
D29.2_16,delta,0.73672765
D29.2_18,beta,0.6456863
D29.2_19,pp,0.8707043
D29.2_20,beta,0.67330384
D29.2_22,alpha,0.6462849
D29.2_24,beta,0.50344855
D29.2_25,alpha,0.58560276
D29.2_26,beta,0.67960346
D29.2_27,beta,0.6455131
D29.2_28,alpha,0.5473341
D29.2_30,beta,0.64962727
D29.2_31,alpha,0.15551803
D29.2_33,alpha,0.5940672
D29.2_34,delta,0.77590835
D29.2_35,alpha,0.4778051
D29.2_37,alpha,0.6129845
D29.2_38,alpha,0.55864125
D29.2_39,alpha,0.407071
D29.2_41,alpha,0.4425266
D29.2_42,pp,0.873571
D29.2_43,pp,0.8128975
D29.2_45,alpha,0.45668685
D29.2_46,delta,0.7604062
D29.2_47,pp,0.82326776
D29.2_48,alpha,0.40089363
D29.2_49,duct,0.13252017
D29.2_50,beta,0.5985861
D29.2_51,alpha,0.584761
D29.2_52,alpha,0.62482476
D29.2_53,beta,0.58831954
D29.2_54,duct,-0.49063247
D29.2_56,beta,0.6673534
D29.2_57,duct,0.40769166
D29.2_58,pp,0.88147354
D29.2_59,pp,0.88283575
D29.2_60,beta,0.67051846
D29.2_61,duct,0.5564433
D29.2_62,beta,0.7026221
D29.2_63,duct,0.40065664
D29.2_64,pp,0.88126713
D29.2_65,duct,0.60389864
D29.2_66,beta,0.6712188
D29.2_67,alpha,0.53082365
D29.2_68,pp,0.8709625
D29.2_69,alpha,0.6212899
D29.2_70,beta,0.70466137
D29.2_71,alpha,0.6592189
D29.2_72,beta,0.44761798
D29.2_74,alpha,0.55026597
D29.2_75,alpha,0.4621927
D29.2_76,alpha,0.5802289
D29.2_78,pp,0.8826217
D29.2_79,beta,0.61754507
D29.2_80,beta,0.6535059
D29.2_81,beta,0.5694502
D29.2_82,delta,0.7841495
D29.2_84,alpha,0.46681198
D29.2_87,pp,0.8786575
D29.2_88,duct,0.6193256
D29.2_89,beta,0.6077752
D29.2_90,alpha,0.48227462
D29.2_91,alpha,0.5016676
D29.2_92,pp,0.85077125
D29.2_93,alpha,0.6416424
D29.2_94,alpha,0.4466233
D29.3_1,pp,0.8797871
D29.3_3,alpha,0.20512179
D29.3_5,beta,0.4933774
D29.3_6,acinar,0.5733206
D29.3_7,beta,0.62342453
D29.3_8,delta,0.77411985
D29.3_9,delta,0.7943337
D29.3_11,delta,0.76822543
D29.3_12,beta,-0.078689866
D29.3_13,delta,0.79770726
D29.3_15,pp,0.8379901
D29.3_16,pp,0.8129019
D29.3_17,duct,0.57600176
D29.3_18,alpha,0.6546234
D29.3_21,beta,0.33604082
D29.3_22,alpha,0.16278653
D29.3_23,beta,0.43858662
D29.3_24,beta,0.657852
D29.3_25,alpha,0.17048219
D29.3_28,beta,0.30930713
D29.3_29,alpha,0.60968894
D29.3_30,alpha,0.52881855
D29.3_31,alpha,0.13347648
D29.3_32,pp,0.88310456
D29.3_33,alpha,0.62671334
D29.3_34,alpha,0.19346447
D29.3_36,beta,0.51046586
D29.3_37,beta,0.47876132
D29.3_38,alpha,0.61976117
D29.3_39,beta,0.5785713
D29.3_40,alpha,0.6326203
D29.3_42,alpha,0.59146994
D29.3_43,delta,0.7673086
D29.3_44,pp,0.871724
D29.3_45,delta,0.6770461
D29.3_47,alpha,0.57341397
D29.3_48,beta,0.4759775
D29.3_49,alpha,0.5205256
D29.3_50,unclear,-0.52633935
D29.3_51,beta,0.57563764
D29.3_52,beta,0.6393196
D29.3_53,alpha,0.61451244
D29.3_54,alpha,0.37664416
D29.3_56,alpha,0.63034225
D29.3_57,delta,0.7715474
D29.3_58,delta,0.7879449
D29.3_59,beta,0.58500874
D29.3_60,alpha,0.60448635
D29.3_61,beta,0.64768183
D29.3_64,beta,0.4604689
D29.3_66,alpha,0.48336735
D29.3_68,beta,0.48356426
D29.3_69,delta,0.55938935
D29.3_71,pp,0.8159259
D29.3_72,alpha,0.52667624
D29.3_73,mesenchymal,0.8001796
D29.3_74,alpha,0.49334788
D29.3_76,alpha,0.6362815
D29.3_77,alpha,0.62659675
D29.3_78,beta,0.28150967
D29.3_79,alpha,0.6455135
D29.3_81,alpha,0.6400169
D29.3_82,delta,0.78082883
D29.3_83,beta,0.43385717
D29.3_84,alpha,0.370876
D29.3_85,delta,0.7801484
D29.3_86,beta,0.6071094
D29.3_87,beta,0.28985813
D29.3_92,alpha,0.60719734
D29.3_93,alpha,0.578054
D29.3_94,beta,0.5089987
D29.4_2,alpha,0.2690967
D29.4_3,pp,0.84489304
D29.4_4,pp,0.8826614
D29.4_5,alpha,0.49970695
D29.4_6,pp,0.8832026
D29.4_8,mesenchymal,0.84205854
D29.4_9,alpha,0.48674825
D29.4_12,alpha,0.5816721
D29.4_13,alpha,0.44973636
D29.4_15,alpha,0.49854866
D29.4_16,alpha,0.27059987
D29.4_17,delta,0.80380285
D29.4_18,alpha,0.5496505
D29.4_19,beta,0.48049772
D29.4_20,pp,0.8232185
D29.4_22,alpha,0.5007834
D29.4_23,beta,0.5315504
D29.4_25,alpha,0.62266606
D29.4_26,alpha,0.37832615
D29.4_27,beta,0.6182828
D29.4_28,alpha,0.5652329
D29.4_29,alpha,0.41567576
D29.4_30,alpha,0.09110232
D29.4_31,beta,0.5977184
D29.4_33,alpha,0.4861344
D29.4_34,alpha,0.48977146
D29.4_35,alpha,0.53934485
D29.4_38,alpha,0.33712178
D29.4_39,beta,0.6122716
D29.4_41,delta,0.7964827
D29.4_42,beta,0.52737856
D29.4_43,delta,0.7145361
D29.4_44,beta,0.66965103
D29.4_45,duct,0.59054226
D29.4_46,alpha,0.6599821
D29.4_47,duct,0.51304877
D29.4_48,pp,0.8465767
D29.4_49,alpha,0.5736156
D29.4_50,alpha,0.56646085
D29.4_51,alpha,0.6348847
D29.4_52,beta,0.6756408
D29.4_53,alpha,0.3904363
D29.4_55,alpha,0.54910696
D29.4_56,alpha,0.4532621
D29.4_57,alpha,0.63705814
D29.4_58,alpha,0.5926992
D29.4_59,beta,0.70348173
D29.4_60,alpha,0.58980924
D29.4_61,alpha,0.5599507
D29.4_62,alpha,0.5446162
D29.4_63,beta,0.19436339
D29.4_64,delta,0.79638034
D29.4_65,alpha,0.6281364
D29.4_66,alpha,0.5806546
D29.4_67,beta,0.67128617
D29.4_68,alpha,0.54756117
D29.4_70,alpha,0.47956488
D29.4_72,alpha,0.14230552
D29.4_73,beta,0.24275163
D29.4_74,alpha,0.15885714
D29.4_75,alpha,0.4812099
D29.4_77,alpha,0.2795939
D29.4_79,beta,0.6741917
D29.4_80,alpha,0.6226856
D29.4_81,delta,0.78568363
D29.4_82,mesenchymal,0.8562198
D29.4_83,delta,0.7731578
D29.4_85,alpha,0.28595307
D29.4_86,pp,0.87319106
D29.4_88,beta,0.610775
D29.4_90,delta,0.7593933
D29.4_92,beta,0.61792535
