,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
PHF21A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CDC37,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
ALPK3,0.1,1.1,1.1,1.1,0.1,1.1,0.1,1.1,0.1
FABP4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPL35,2.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
SCIN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLC25A46,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
JTB,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.5999999
ENAM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AVPR1A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MAP7,0.1,1.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1
CCDC25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GPBP1L1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COX17,1.1,3.1,3.1,3.1,1.1,1.1,0.1,3.1,0.6
SPOCK1,0.1,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1
BIVM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SNX1,1.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
ASH1L,0.1,1.1,2.1,1.1,1.1,1.1,1.1,1.1,1.1
PARK7,1.1,2.1,1.1,1.1,1.1,1.1,1.5999999,1.1,0.1
HCFC1,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1
FGFBP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HSD17B4,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TTR,6.1,287.1,35.1,17.1,5.1,7.1,5.1,63.1,14.6
CLCN5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PPY,0.1,0.1,0.1,0.1,0.1,0.1,0.1,476.6,0.1
DMXL2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BIRC6,0.1,1.1,1.1,1.1,1.1,1.1,0.6,1.1,0.1
EPHX2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SSH1,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1
TULP4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
IGFBP5,0.1,0.1,0.1,0.1,0.1,0.1,3.6,0.1,0.1
RAI1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EML6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RND1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000250462,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CCDC86,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DAG1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1
SLMAP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
C5orf24,0.1,1.1,1.1,1.1,1.1,2.1,1.1,1.1,1.5999999
TMEM30B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
ZMYND8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SERPINE1,0.1,0.1,0.1,0.1,0.1,7.1,12.6,0.1,0.1
GBE1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MANEA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOX18,0.1,0.1,0.1,0.1,0.1,7.1,0.1,0.1,0.1
HEPACAM2,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1
PGC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UGDH,4.1,0.1,1.1,0.1,0.1,0.1,1.1,1.1,1.1
SSR4,0.1,0.1,0.1,1.1,0.1,0.1,0.1,1.1,0.1
ZFP36,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1,1.5999999
PPP6R1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STK39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NTPCR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHCHD7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NXPE3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPN1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZC3H15,0.1,0.1,1.1,1.1,1.1,1.1,1.1,0.6,0.1
AUTS2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPL18,1.1,1.1,1.1,1.1,0.1,0.1,1.1,1.1,0.1
RBMX2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ADAM10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SRSF2,1.1,1.1,1.1,1.1,1.1,1.1,2.1,1.1,2.1
ARL16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
OPA3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
SYNE1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UBE2S,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
