,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
ENSG00000117640,0.0,0.0,0.0,0.0,0.0,0.0,0.374909,0.0
ENSG00000117632,0.58495635,0.0,0.0,0.75433147,0.5494223,0.0,0.0,0.0
ENSG00000197245,0.7495024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142669,1.6764722,1.7620547,1.5312486,2.1505864,2.7106233,1.040452,1.3346257,1.0860173
ENSG00000198830,0.8958781,0.8749674,1.1006057,1.0422608,0.9209434,1.3795311,1.1638453,1.4943235
ENSG00000117676,0.0,0.0,0.0,0.0,0.33198306,0.0,0.0,0.0
ENSG00000117713,0.0,0.0,0.0,0.0,0.39722192,0.0,0.0,0.0
ENSG00000090273,0.5834174,0.51491207,0.6580368,0.07683325,0.56316924,0.76104456,0.8466698,0.7563553
ENSG00000158195,1.2171105,1.1647345,1.2824274,0.50720686,1.0934474,1.0595503,1.0299152,1.3265545
ENSG00000000938,0.0,0.0,0.0,0.0,0.3897953,0.0,0.0,0.0
ENSG00000126709,0.5077777,0.7371818,0.0,0.0,0.0,0.0,0.32978085,0.0
ENSG00000117758,0.39736682,0.0,0.0,0.0,0.5869878,0.4240858,0.0,0.4659483
ENSG00000130775,0.0,0.0,0.0,0.0,0.5596265,0.0,0.0,0.0
ENSG00000117748,0.0,0.0,0.3797838,0.0,0.0,0.0,0.0,0.0
ENSG00000169403,0.0,0.0,0.0,0.0,0.33363378,0.0,0.0,0.0
ENSG00000126698,0.8349024,0.9086347,0.79460025,0.5918961,0.7915299,0.8049584,0.8319899,0.8001459
ENSG00000130770,1.042799,1.0222775,0.9395044,0.9514682,0.95642316,1.0800302,1.1250033,0.9773013
ENSG00000204138,0.61336374,0.6040598,0.0,0.0,0.2821522,0.0,0.0,0.0
ENSG00000197989,0.0,0.0,0.0,0.0,0.42220452,0.0,0.0,0.0
ENSG00000198492,0.47532177,0.0,0.0,0.0,0.36809438,0.0,0.0,0.0
ENSG00000116350,0.6004526,0.48780248,0.45033956,0.0,0.4720527,0.5275876,0.52663016,0.47772834
ENSG00000162511,0.0,0.0,0.0,1.1389616,2.5010152,0.0,0.0,0.0
ENSG00000134644,0.417863,0.4969797,0.30478135,0.0,0.39957896,0.0,0.0,0.0
ENSG00000142910,1.1153381,1.0968376,0.0,0.0,0.0,2.2345917,1.5058452,0.0
ENSG00000162517,0.4211857,0.0,0.0,0.0,0.0,0.43730694,0.52335894,0.0
ENSG00000184007,0.64585453,0.7790424,0.9275581,0.81762004,0.92253846,0.7041255,0.6864403,1.0529243
ENSG00000121774,0.8172314,0.84562516,0.71639395,0.23369163,0.67828596,0.76560026,0.6749573,0.7155248
ENSG00000084623,0.81887627,0.62413263,0.817667,0.0,0.6424347,0.7880976,0.7383064,0.89673656
ENSG00000116478,0.34900254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175130,0.90046823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176261,0.0,0.0,0.0,0.0,0.29509896,0.0,0.2279879,0.0
ENSG00000162521,0.3884078,0.25905147,0.34517974,0.0,0.4290502,0.38258544,0.29417306,0.53357667
ENSG00000004455,0.23182304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134686,0.278149,0.0,0.5785173,0.0,0.66844624,0.61466706,0.4756328,0.6074265
ENSG00000163866,0.0,0.0,0.0,0.0,0.0,0.6066477,0.34673938,0.0
ENSG00000187513,0.0,0.0,0.0,0.0,0.0,1.2308688,0.0,0.0
ENSG00000116560,0.9350263,0.9086347,0.65530705,1.0572841,0.94974005,0.78626025,0.5574175,0.62276775
ENSG00000126067,0.62588197,0.63042593,0.5857407,0.0,0.6249587,0.67520547,0.6409378,0.7652005
ENSG00000054116,0.0,0.0,0.0,0.0,0.43135715,0.38040018,0.43238956,0.0
ENSG00000116871,0.0,0.0,0.0,0.0,0.39466512,0.0,0.3375677,0.0
ENSG00000054118,0.78036916,0.8019005,0.8243372,0.69476956,0.72392416,0.8248947,0.8146635,0.7756752
ENSG00000142694,0.47912937,0.5028999,0.6211509,0.0,0.0,0.5098144,0.5517384,0.40554845
ENSG00000181817,0.0,0.0,0.0,0.0,0.4390629,0.0,0.0,0.0
ENSG00000116898,0.25846136,0.0,0.40746674,0.0,0.4360871,0.5790943,0.44663727,0.3798203
ENSG00000163875,0.0,0.37179026,0.40265182,0.0,0.3858508,0.4649998,0.5759657,0.47772834
ENSG00000197982,0.0,0.48654372,0.7563353,0.0,0.38852277,0.66462076,0.77578586,0.68371576
ENSG00000174574,0.0,0.0,0.0,0.0,0.3073734,0.3061226,0.25441664,0.0
ENSG00000168653,1.1126058,1.2402272,1.3930771,1.1368449,1.2309661,1.6330407,1.6903579,1.3333381
ENSG00000127603,0.9516295,1.4212232,0.6541629,0.0,0.6662512,0.7062006,0.96164167,0.4843807
ENSG00000090621,0.0,0.0,0.40156192,0.0,0.7822689,0.3934886,0.26301658,0.0
ENSG00000084072,0.0,0.0,0.0,0.0,0.0,0.0,0.25952664,0.0
ENSG00000131236,0.8633076,0.8160333,0.7220609,1.1318157,1.7068582,1.4496684,1.3052862,0.8047306
ENSG00000131238,0.0,0.0,0.0,0.0,1.2571553,0.39441502,0.45793384,0.0
ENSG00000084070,0.0,0.0,0.0,0.5178711,1.0815738,0.0,0.0,0.0
ENSG00000127125,0.51095897,0.3801564,0.528682,0.0,0.52354115,0.3941058,0.563707,0.41222757
ENSG00000065978,2.2066536,2.1288955,2.1500754,2.0384102,2.5549517,2.4828587,2.4627824,2.303283
ENSG00000177868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44509113
ENSG00000117394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6537198
ENSG00000117395,0.0,0.0,0.0,0.0,0.0,0.34141934,0.33881477,0.0
ENSG00000066056,0.683854,0.62413263,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000066322,0.3406941,0.26796025,0.0,0.0,0.39734197,0.0,0.0,0.0
ENSG00000178922,0.0,0.0,0.0,0.0,0.0,0.30032063,0.53013074,0.0
ENSG00000117410,0.681504,0.76513904,0.60687554,0.9355433,1.6826684,0.76162237,0.7068875,0.62276775
ENSG00000117419,0.0,0.0,0.22169288,0.0,0.0,0.0,0.2902307,0.0
ENSG00000142937,4.1461744,3.844696,3.6551409,3.6815133,3.4329906,3.6766708,3.4644523,3.9381251
ENSG00000126088,0.0,0.0,0.0,0.0,0.0,0.3362952,0.31329012,0.41804907
ENSG00000117450,1.7095678,1.9381928,1.8215549,1.440882,1.682138,1.7372754,1.8559711,1.8952467
ENSG00000117448,0.4612339,0.44729742,0.576409,0.0,0.9373621,0.37692988,0.49635655,0.5891767
ENSG00000132780,0.93235207,0.890001,0.35962227,0.17045884,0.613791,0.46060646,0.0,0.269369
ENSG00000117461,0.7728245,0.55972296,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173660,1.3158199,1.0973473,1.1151053,1.2726574,1.470428,1.6278844,1.3748636,1.075089
ENSG00000079277,0.0,0.0,0.0,0.0,0.52377963,0.0,0.0,0.0
ENSG00000159658,0.52921194,0.5048187,0.33812034,0.0,0.41860846,0.29443586,0.35114232,0.2829775
ENSG00000142973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40554845
ENSG00000186377,0.0,0.37890995,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162368,0.6172708,0.65988994,0.79756117,0.21341237,0.6199571,0.6237107,0.84712654,0.6476461
ENSG00000186564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42409465
ENSG00000132122,0.0,0.0,0.4671452,0.0,0.0,0.0,0.0,0.0
ENSG00000123080,0.0,0.0,0.30072713,0.0,0.0,0.0,0.33106428,0.0
ENSG00000123091,0.0,0.6053603,0.3022053,0.0,0.0,0.31164604,0.56269777,0.0
ENSG00000085832,0.0,0.41544127,0.4725755,0.0,0.58389044,0.0,0.0,0.40554845
ENSG00000117859,0.0,0.0,0.55914474,0.0,0.0,0.43737984,0.4479915,0.0
