,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
ENSG00000163154,0.0,0.0,0.0,0.0,0.2998821,0.0,0.0,0.0
ENSG00000159352,0.64747244,0.6979313,0.6458277,0.26588774,0.6686434,0.8209373,0.7411264,0.77878726
ENSG00000143416,0.0,0.0,0.45763534,0.0,0.0,0.62173814,0.32627428,0.38144797
ENSG00000159377,0.6917378,0.814243,0.6566781,0.23232411,0.6432259,0.8036218,0.84982014,0.7032738
ENSG00000143376,0.0,0.0,0.0,0.0,0.3038202,0.0,0.0,0.0
ENSG00000197747,2.3255024,1.6412815,2.4089305,1.8266578,2.5961516,0.0,1.3020208,2.0432017
ENSG00000163191,2.173225,1.8778844,2.5555592,1.6166914,3.199423,1.9406663,2.3764205,1.9330568
ENSG00000163220,0.0,0.0,0.0,0.0,1.670392,0.0,0.0,0.0
ENSG00000197956,2.8480926,3.5282562,3.8878193,2.723959,3.3806067,3.5249238,3.971805,4.090961
ENSG00000196154,0.0,0.3245487,2.0711927,2.763967,3.4907436,2.3248527,2.79458,1.7855366
ENSG00000188643,1.130181,0.86625135,0.59259117,0.0,0.0,0.0,0.58572304,0.75862193
ENSG00000189171,1.1836448,1.3931016,1.896477,0.0,0.0,0.0,0.8367529,1.3009014
ENSG00000143553,0.0,0.0,0.0,0.0,0.0,0.41860855,0.36063838,0.0
ENSG00000143621,0.6171332,0.5836918,0.48398715,0.0,0.52444005,0.44405654,0.48975205,0.64087963
ENSG00000169418,0.36593032,0.65304524,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143570,0.52801037,0.48821545,0.5713655,0.0,0.66057926,0.49826902,0.43959236,0.49176693
ENSG00000143543,0.7183409,0.6979313,0.8668878,0.9059518,0.9300844,0.71956456,0.7401935,0.7155248
ENSG00000143545,1.4748998,1.2402272,1.0540595,0.0,0.7544657,1.2738719,1.0754281,1.0466477
ENSG00000177954,3.7679117,3.5574937,3.5310585,3.9293697,3.4660783,3.6774232,3.3811464,3.5245752
ENSG00000143549,1.5677879,1.3956671,0.8188702,1.2021327,1.8948545,0.2308722,0.0,1.1186973
ENSG00000143612,0.62277806,0.58903384,0.5320652,0.0,0.82473886,0.72105134,0.6816529,0.56498235
ENSG00000143569,0.0,0.0,0.0,0.0,0.31609792,0.0,0.0,0.0
ENSG00000143575,0.4742652,0.3908213,0.53086513,0.559296,0.48305675,0.60713184,0.63523674,0.5366263
ENSG00000169291,0.6691327,0.78952795,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160710,0.47761208,0.6620418,0.0,0.0,0.37154573,0.0,0.0,0.0
ENSG00000163344,0.0,0.0,0.28822955,0.0,0.39842469,0.41860855,0.5139158,0.0
ENSG00000163346,0.0,0.0,0.0,0.0,0.0,0.5304471,0.61204696,0.0
ENSG00000160691,0.6453635,0.3974298,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173207,0.0,0.0,0.40225804,0.0,0.0,0.0,0.0,0.0
ENSG00000143537,1.2448436,0.5503681,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169242,0.64157206,0.29200485,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179085,0.5558914,0.6364492,0.64245635,0.0,0.35876155,0.53431386,0.5080149,0.7379786
