cluster,n_cells,percentage
Endothelial1,2228,14.06
Endothelial2,243,1.53
Fibroblast,3118,19.68
Lymphocyte,694,4.38
Macrophage,3350,21.15
Microvasculature,2088,13.18
Smooth Muscle,3994,25.21
Uncharacterized,127,0.8
