cluster,count
AT2,18192
Macro_alveolar,17098
Fibro_adventitial,10170
Endothelia_vascular_Cap_g,9348
NK_CD16hi,8116
Fibro_alveolar,7420
AT1,7315
SMG_Mucous,6951
CD4_EM/Effector,6367
Monocyte_CD14,5932
Basal,5814
SMG_Serous,5180
Macro_intravascular,5033
Monocyte_CD16,3916
Endothelia_Lymphatic,3885
CD4_naive/CM,3804
Endothelia_vascular_venous_systemic,3798
Ciliated,3796
CD8_EM,3781
Endothelia_vascular_Cap_a,3247
Mast_cell,2984
Macro_intermediate,2598
NKT,2335
Endothelia_vascular_arterial_pulmonary,2172
Secretory_Club,2149
CD8_EM/EMRA,2085
Endothelia_vascular_venous_pulmonary,2075
CD8_TRM,2023
Chondrocyte,2013
Suprabasal,1918
CD4_TRM,1859
CD8_TRM/EM,1854
Macro_CHIT1,1853
Muscle_smooth_pulmonary,1789
B_memory,1753
Secretory_Goblet,1632
Muscle_pericyte_pulmonary,1359
DC_2,1301
MAIT,1254
Fibro_peribronchial,1083
NK_CD11d,982
NK_CD56bright,876
Fibro_myofibroblast,870
B_plasma_IgA,844
gdT,841
T_reg,808
SMG_Duct,803
B_plasma_IgG,733
Muscle_perivascular_immune_recruiting,679
Muscle_smooth_arterial_systemic,645
B_naive,638
ILC,517
Muscle_smooth_airway,505
Macro_AW_CX3CR1,468
DC_activated,459
Myoepithelial,439
Fibro_perichondrial,411
Macro_alveolar_metallothioneins,410
DC_1,395
SMG_Basal,381
Macro_CCL,358
Macro_interstitial,335
Erythrocyte,328
DC_plasmacytoid,322
Dividing_Basal,273
Endothelia_vascular_arterial_systemic,215
Dividing_AT2,180
Muscle_pericyte_systemic,179
NAF_perineurial,165
Macro_dividing,156
Mesothelia,140
Schwann_nonmyelinating,112
NAF_endoneurial,74
Deuterosomal,71
B_plasmablast,62
Fibro_immune_recruiting,59
Ionocyte_n_Brush,54
Neuroendocrine,44
Megakaryocyte,14
Schwann_Myelinating,11
