Celltypes,mean_silhouette,std_silhouette,median_silhouette,count
AT1,0.32791632,0.2760756,0.4167207,7315
AT2,0.2189753,0.23728955,0.27861643,18192
B_memory,-0.14880826,0.18582684,-0.1457311,1753
B_naive,0.19113283,0.17931005,0.27659434,638
B_plasma_IgA,0.23284557,0.10199774,0.2540471,844
B_plasma_IgG,-0.2510781,0.117390774,-0.24978766,733
B_plasmablast,-0.43865228,0.13926084,-0.46502036,62
Basal,-0.091454744,0.19980416,-0.120012306,5814
CD4_EM/Effector,-0.24499615,0.11954614,-0.26200047,6367
CD4_TRM,-0.22400402,0.15850112,-0.21229376,1859
CD4_naive/CM,-0.076144464,0.1767754,-0.079046965,3804
CD8_EM,-0.20238015,0.14925882,-0.15666622,3781
CD8_EM/EMRA,0.08282801,0.30936643,0.1876849,2085
CD8_TRM,-0.045090947,0.20363659,0.033661723,2023
CD8_TRM/EM,-0.27883592,0.13156699,-0.29380214,1854
Chondrocyte,0.55703896,0.27162284,0.6425736,2013
Ciliated,-0.028875157,0.23155557,0.0555034,3796
DC_1,-0.32125637,0.14377353,-0.26643366,395
DC_2,0.10458744,0.26964745,0.20854504,1301
DC_activated,-0.071727656,0.29280576,0.09845388,459
DC_plasmacytoid,0.0669765,0.36308417,0.24063084,322
Deuterosomal,0.28329152,0.19062904,0.3692834,71
Dividing_AT2,-0.19052261,0.21551299,-0.21470417,180
Dividing_Basal,-0.4121879,0.16672613,-0.46762025,273
Endothelia_Lymphatic,0.4225772,0.4095234,0.5561546,3885
Endothelia_vascular_Cap_a,0.34384003,0.32059932,0.48569638,3247
Endothelia_vascular_Cap_g,-0.26974496,0.14776313,-0.2772264,9348
Endothelia_vascular_arterial_pulmonary,0.07483021,0.22431447,0.1280885,2172
Endothelia_vascular_arterial_systemic,0.12773645,0.27798203,0.21250029,215
Endothelia_vascular_venous_pulmonary,0.08881848,0.27287006,0.15542607,2075
Endothelia_vascular_venous_systemic,0.16314515,0.2680033,0.27793294,3798
Erythrocyte,-0.17348194,0.42728236,-0.07277804,328
Fibro_adventitial,-0.15407401,0.25404286,-0.1559374,10170
Fibro_alveolar,0.02010405,0.3353462,0.17580166,7420
Fibro_immune_recruiting,0.00094648363,0.16459282,-0.0081375325,59
Fibro_myofibroblast,-0.3276562,0.14478531,-0.31420225,870
Fibro_peribronchial,0.035337575,0.19506204,0.09672401,1083
Fibro_perichondrial,0.0646721,0.26509362,0.12736472,411
ILC,-0.1062568,0.19827858,-0.063475125,517
Ionocyte_n_Brush,-0.49131608,0.25326234,-0.5312223,54
MAIT,-0.022768185,0.200491,0.021867925,1254
Macro_AW_CX3CR1,-0.21388412,0.1494759,-0.20998883,468
Macro_CCL,-0.3822088,0.1815541,-0.43486303,358
Macro_CHIT1,0.1744223,0.2093451,0.24792899,1853
Macro_alveolar,-0.03884567,0.21385922,0.042601686,17098
Macro_alveolar_metallothioneins,-0.42113745,0.15156266,-0.38895234,410
Macro_dividing,-0.14463955,0.15599377,-0.096444234,156
Macro_intermediate,-0.33215797,0.2128169,-0.37839156,2598
Macro_interstitial,-0.46463487,0.14371732,-0.5032272,335
Macro_intravascular,-0.19980007,0.16273957,-0.21663612,5033
Mast_cell,0.558846,0.123093426,0.57843745,2984
Megakaryocyte,-0.60067695,0.09245583,-0.63698983,14
Mesothelia,-0.38764358,0.12312028,-0.34638476,140
Monocyte_CD14,0.23678803,0.21458001,0.26960766,5932
Monocyte_CD16,0.21228509,0.31442228,0.35218826,3916
Muscle_pericyte_pulmonary,0.26506037,0.2541814,0.35209438,1359
Muscle_pericyte_systemic,-0.16159074,0.27917802,-0.21818069,179
Muscle_perivascular_immune_recruiting,-0.04071794,0.2962588,0.050610434,679
Muscle_smooth_airway,0.56027466,0.28008875,0.6645469,505
Muscle_smooth_arterial_systemic,0.14837196,0.28487718,0.27045342,645
Muscle_smooth_pulmonary,-0.3686298,0.1916715,-0.3758144,1789
Myoepithelial,0.06304098,0.31327733,0.20655482,439
NAF_endoneurial,-0.15478456,0.25372788,-0.09561992,74
NAF_perineurial,-0.3703907,0.16109343,-0.31762525,165
NKT,-0.27731377,0.15634713,-0.29309672,2335
NK_CD11d,-0.08851606,0.114799045,-0.045881517,982
NK_CD16hi,-0.1435739,0.19922768,-0.16059482,8116
NK_CD56bright,0.011775672,0.12832858,0.031286463,876
Neuroendocrine,-0.57805383,0.17200696,-0.5706119,44
SMG_Basal,0.029779203,0.24560414,0.11199759,381
SMG_Duct,-0.072811596,0.2468646,-0.030571183,803
SMG_Mucous,0.5078342,0.23669122,0.575102,6951
SMG_Serous,0.47341257,0.23671976,0.56006336,5180
Schwann_Myelinating,-0.6807675,0.13898823,-0.6855248,11
Schwann_nonmyelinating,-0.7270093,0.11348984,-0.75200975,112
Secretory_Club,0.0019648033,0.2884491,0.09911955,2149
Secretory_Goblet,0.25740042,0.28230563,0.37239918,1632
Suprabasal,0.21126793,0.25224394,0.27039212,1918
T_reg,-0.2017469,0.093124434,-0.17084415,808
gdT,-0.12255716,0.29063642,-0.045808576,841
