,Best4+ Enterocytes,CD4+ Activated Fos-hi,CD4+ Activated Fos-lo,CD4+ Memory,CD4+ PD1+,CD69+ Mast,CD69- Mast,CD8+ IELs,CD8+ IL17+,CD8+ LP,Cycling B,Cycling T,Cycling TA,DC2,Enterocyte Progenitors,Enterocytes,Enteroendocrine,Follicular,GC,Goblet,Immature Enterocytes 1,Immature Enterocytes 2,Immature Goblet,M cells,MT-hi,Macrophages,NKs,Plasma,Secretory TA,Stem,TA 1,TA 2,Tregs,Tuft
ENSG00000000419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8826363158948494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9465847918481538,0.0,0.0,0.0,0.0,0.8910848624778517,0.8787878787878788,0.0,0.8960101441903547,0.0,0.0
ENSG00000002549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002586,0.0,0.7693242791927222,0.0,0.0,0.6666666666666666,0.0,0.0,0.7716239744966681,0.0,0.7859678629672888,0.0,0.7224982416991031,0.7079110542933146,0.0,0.0,0.0,0.691581691756393,0.0,0.0,0.0,0.0,0.0,0.0,0.6685716509819031,0.0,0.0,0.8139777346090837,0.0,0.6871285528847666,0.7005569718100808,0.0,0.7013508876164755,0.0,0.0
ENSG00000002726,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92903978174383,0.0,0.0,0.0,0.0,0.9270094560854363,0.9130173831275015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.8845149134144639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7878787878787878,0.0,0.0,0.8030398560292793,0.0,0.0,0.0,0.0,0.0,0.849666385939627,0.0,0.0,0.0,0.0,0.0,0.0,0.7982511899688027,0.7988976763956475,0.0,0.8076485937291925,0.0,0.8811413465124188
ENSG00000003402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8681999282403425,0.0,0.8010368997400458,0.8446538881822065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.8083595705754829,0.8159214113697861,0.0,0.7953104196172772,0.8304731358181346,0.0
ENSG00000004455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9294996424154802,0.0,0.8446973724798723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8272851542993025,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.8278675097407717,0.8419247974048961,0.0,0.8447901462063645,0.0,0.0
ENSG00000004534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004779,0.7272727272727273,0.0,0.0,0.0,0.0,0.7346911538730968,0.0,0.0,0.0,0.0,0.7687762415770328,0.0,0.7981127843712316,0.0,0.0,0.0,0.7567920793186534,0.0,0.0,0.0,0.0,0.739353515885093,0.0,0.7723606879060919,0.0,0.0,0.0,0.0,0.7579287398945201,0.7460021810098127,0.0,0.8043428930369291,0.0,0.0
ENSG00000005022,0.44630384987050836,0.0,0.0,0.0,0.44590431813037756,0.364491267637773,0.3605788494601394,0.0,0.0,0.0,0.576988576036511,0.3950801401427298,0.47329266866048175,0.378581267414671,0.4735842581951257,0.5401776613611163,0.40396707166324963,0.0,0.5361004345344774,0.3454191829219009,0.4251828572966836,0.5697618090745175,0.3928923480438464,0.40954921101078845,0.0,0.3454843813722784,0.0,0.3333333333333333,0.4290408022475965,0.41001631996848364,0.3788605783924912,0.49664007353060174,0.0,0.0
ENSG00000005059,0.0,0.0,0.0,0.0,0.9745809255224286,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005075,0.7372416817780697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316680680621754,0.0,0.749822836933714,0.7800541502056699,0.0,0.8260766195528435,0.0,0.0,0.0,0.0,0.0,0.7907860893191714,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.7665865312923085,0.7321646069035386,0.0,0.7485185969959606,0.0,0.0
ENSG00000006015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292849298679468,0.909200541900866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8412906437209158,0.0,0.0,0.0,0.0,0.8322838508721554,0.824019426649267,0.0,0.8181818181818182,0.8743945576927878,0.0
ENSG00000006042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8890850417541735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787878787878788,0.0,0.0,0.0,0.0,0.8855931957562765,0.9272130673581903,0.0,0.8920904723080721,0.0,0.0
ENSG00000006625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9654694651112412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9425130667108478,0.9393939393939394,0.0,0.0,0.0,0.0
ENSG00000007080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8009323983481436,0.8259462623885183,0.0,0.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.844639413284533,0.0,0.0,0.0,0.0,0.818673393943093,0.8204346497853597,0.0,0.8006934975132798,0.8344783782958984,0.0
ENSG00000007306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539844502102245,0.0,0.0,0.0,0.0,0.9426376187440121,0.9393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402007749586394,0.0,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,0.9581114685896671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008018,0.5384107719768177,0.0,0.0,0.0,0.0,0.6873216863834497,0.5151515151515151,0.0,0.0,0.0,0.7238012750943502,0.6111964836265101,0.5925255201079629,0.578237842429768,0.0,0.5244519999532988,0.5590485496954485,0.0,0.6768144206567244,0.0,0.0,0.5486032601558801,0.0,0.6438274600289084,0.0,0.0,0.6527302499973413,0.5240969495339827,0.5744884899168303,0.5807268565351312,0.0,0.5979563955104712,0.0,0.0
ENSG00000008324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8583110823775782,0.0,0.7898517901247198,0.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.8049935572075121,0.0,0.8108734506549258,0.0,0.0,0.0,0.0,0.8193038557515,0.8121044400966528,0.0,0.8785075111822649,0.0,0.0
ENSG00000008517,0.0,0.6246068387320547,0.6283713199875571,0.5984198848406473,0.6350456223343358,0.0,0.0,0.6640802838585593,0.645082849444765,0.6301718552907308,0.0,0.6477716872186372,0.0,0.0,0.0,0.6304831811876008,0.0,0.0,0.0,0.5757575757575758,0.617997017773715,0.5814975066618486,0.0,0.0,0.643650006164204,0.0,0.5852441281983347,0.0,0.0,0.0,0.0,0.0,0.7044307300538728,0.0
ENSG00000008952,0.0,0.0,0.0,0.0,0.8602682063073823,0.0,0.0,0.0,0.0,0.0,0.8994302478703585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370819781765793,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.892669753594832,0.8253911571069197,0.8357142065510605,0.0,0.0,0.0,0.0
ENSG00000008988,0.1242976567961953,0.25776600295847113,0.30525065913344873,0.3348025914394494,0.374037914203875,0.2990952892736955,0.23693523443106448,0.25184422370159265,0.18898961399540756,0.2895902286876332,0.22184013597892993,0.25297708041740186,0.19487152316353537,0.22653234908075043,0.10908041578350645,0.09090909090909091,0.18155178518006296,0.35610750949744024,0.28953236522096576,0.0,0.0,0.09906857663934882,0.18707499901453653,0.14918257612170596,0.0,0.23078192183465668,0.17304538416140008,0.13211950027581418,0.20095709056565256,0.23339239395026004,0.14810193307471997,0.1760511217695294,0.18596928408651642,0.14423958099249637
ENSG00000009307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.9795233842098352,0.0,0.0,0.0,0.0
ENSG00000009790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000010244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010256,0.6990154349442684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759913274736116,0.0,0.7443772301529393,0.0,0.7345289118362196,0.6763584956978307,0.7177017493681475,0.0,0.0,0.0,0.0,0.748273385293556,0.6666666666666666,0.6966333208662091,0.0,0.0,0.0,0.0,0.713666765978842,0.6986552332386826,0.0,0.7599510442126881,0.0,0.0
ENSG00000010278,0.5457420656175325,0.0,0.0,0.0,0.0,0.6585067528666873,0.6764223322723851,0.0,0.0,0.0,0.0,0.0,0.5676395531856653,0.48484848484848486,0.5522022590492711,0.5448529070073908,0.5116686206875425,0.0,0.0,0.49607092503345374,0.515920406038111,0.5870944225426876,0.5349189187541152,0.5878130016904889,0.0,0.0,0.0,0.0,0.547201572042523,0.5747545469890941,0.5285082206581578,0.5963485475742456,0.0,0.5249732750834841
ENSG00000010438,0.7588537588264003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.6641795165611036,0.8465716712402575,0.6436741586887476,0.0,0.0,0.761963306051312,0.8303257732680349,0.7986388766404354,0.0,0.6862852031534369,0.0,0.0,0.0,0.0,0.6576796752033811,0.6384249257318901,0.0,0.7095680092320298,0.0,0.7267476482824846
ENSG00000010810,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
