CellType,mean_silhouette,std_silhouette,median_silhouette,count
Best4+ Enterocytes,0.24578492,0.42550546,0.43525073,1097
CD4+ Activated Fos-hi,-0.750904,0.11120334,-0.7108394,28
CD4+ Activated Fos-lo,-0.63919425,0.153823,-0.6038108,25
CD4+ Memory,-0.45865646,0.22015148,-0.4264289,79
CD4+ PD1+,-0.6975172,0.14365077,-0.65052366,8
CD8+ IELs,-0.25767612,0.2103669,-0.26363227,1063
CD8+ IL17+,-0.3775202,0.22852902,-0.35771638,10
CD8+ LP,-0.32392052,0.27922902,-0.2715967,55
CD69+ Mast,-0.8239884,0.122998536,-0.8642982,14
CD69- Mast,0.87485003,0.031190952,0.8856297,48
Cycling B,0.4440184,0.40133762,0.6143632,29
Cycling T,-0.28955314,0.23966125,-0.22766916,19
Cycling TA,-0.08635873,0.30801103,-0.04287842,5343
DC2,0.5933906,0.2601782,0.6839251,7
Enterocyte Progenitors,0.22472437,0.26455846,0.29787555,2533
Enterocytes,0.2950835,0.24653037,0.39340782,1839
Enteroendocrine,-0.16215256,0.3715846,0.11232852,117
Follicular,0.40482357,0.21269366,0.48222703,171
GC,-0.24169755,0.20250794,-0.19804177,35
Goblet,0.35354915,0.32466328,0.46827176,777
Immature Enterocytes 1,0.077600755,0.2993549,0.14495632,3230
Immature Enterocytes 2,0.12000709,0.28221366,0.1765517,3760
Immature Goblet,0.39542568,0.25127742,0.4931055,2252
M cells,-0.49801156,0.087378696,-0.47989243,15
MT-hi,0.28859165,0.17392728,0.34514073,14
Macrophages,-0.67393464,0.096807785,-0.70065963,38
NKs,0.46906412,0.24460013,0.54842055,25
Plasma,0.8385116,0.32510042,0.90626717,80
Secretory TA,0.20721436,0.30484775,0.30147249,1834
Stem,0.4331331,0.23049442,0.5180937,694
TA 1,-0.15979949,0.31535667,-0.13151324,4881
TA 2,0.10270904,0.30206382,0.17853646,4413
Tregs,-0.80324906,0.09156165,-0.80284053,6
Tuft,-0.24627331,0.18372628,-0.17649388,228
